ENSBMUP00000027708	ENSBMUG00000020759	Bos_mutus
ENSBTAP00000065023	ENSBTAG00000050803	Bos_taurus
ENSBIXP00000032166	ENSBIXG00000001813	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000000717	ENSBBBG00000009869	Bison_bison_bison
ENSBIXP00005038230	ENSBIXG00005003381	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000034397	ENSSSCG00000002438	Sus_scrofa_strain_reference
ENSPTIP00000006345	ENSPTIG00000008297	Panthera_tigris_altaica
ENSPPRP00000008602	ENSPPRG00000003353	Panthera_pardus
ENSFCAP00000050243	ENSFCAG00000042733	Felis_catus
ENSUPAP00010028583	ENSUPAG00010022575	Urocitellus_parryii
ENSSDAP00000022495	ENSSDAG00000020457	Spermophilus_dauricus
ENSPSMP00000021501	ENSPSMG00000015193	Prolemur_simus
