ENSSLDP00000005826	ENSSLDG00000004638	Seriola_lalandi_dorsalis
ENSHHUP00000037556	ENSHHUG00000023507	Hucho_hucho
ENSSFOP00015021752	ENSSFOG00015014001	Scleropages_formosus
ENSLSDP00000008656	ENSLSDG00000006461	Lonchura_striata_domestica
ENSFALP00000014326	ENSFALG00000013728	Ficedula_albicollis
ENSPMJP00000027421	ENSPMJG00000019946	Parus_major
ENSGALP00000056504	ENSGALG00000054624	Gallus_gallus
ENSNPEP00000000821	ENSNPEG00000000653	Nothoprocta_perdicaria
ENSCABP00000018563	ENSCABG00000013727	Chelonoidis_abingdonii
ENSNSUP00000010338	ENSNSUG00000007862	Notechis_scutatus
ENSMOCP00000025410	ENSMOCG00000021535	Microtus_ochrogaster
ENSMUGP00000004423	ENSMUGG00000003819	Meriones_unguiculatus
ENSCCNP00000021783	ENSCCNG00000021480	Castor_canadensis
ENSTSYP00000002589	ENSTSYG00000002816	Carlito_syrichta
