ENSMFAP00000010472	ENSMFAG00000007498	Macaca_fascicularis	ENSMFAT00000040722
ENSMNEP00000006452	ENSMNEG00000027467	Macaca_nemestrina	ENSMNET00000030278
ENSMLEP00000001566	ENSMLEG00000006099	Mandrillus_leucophaeus	ENSMLET00000006764
ENSTGEP00000011978	ENSTGEG00000009768	Theropithecus_gelada	ENSTGET00000014403
ENSPANP00000028600	ENSPANG00000030769	Papio_anubis	ENSPANT00000042580
ENSCATP00000007245	ENSCATG00000021769	Cercocebus_atys	ENSCATT00000025176
ENSRBIP00000012726	ENSRBIG00000030344	Rhinopithecus_bieti	ENSRBIT00000036458
ENSRROP00000003331	ENSRROG00000013236	Rhinopithecus_roxellana	ENSRROT00000014709
ENSPTRP00000077254	ENSPTRG00000046482	Pan_troglodytes	ENSPTRT00000101911
ENSPPAP00000037206	ENSPPAG00000041361	Pan_paniscus	ENSPPAT00000060105
ENSPTRP00000092554	ENSPTRG00000050200	Pan_troglodytes	ENSPTRT00000100410
ENSNLEP00000028141	ENSNLEG00000030128	Nomascus_leucogenys	ENSNLET00000059206
ENSGGOP00000048821	ENSGGOG00000042663	Gorilla_gorilla	ENSGGOT00000045825
