ENSMSIP00000014920	ENSMSIG00000012834	Mus_spicilegus
ENSSPUP00000006647	ENSSPUG00000005119	Sphenodon_punctatus
ENSTTRP00000009641	ENSTTRG00000010167	Tursiops_truncatus
ENSORLP00015020243	ENSORLG00015021354	Oryzias_latipes_ASM223469v1
ENSLCAP00010008078	ENSLCAG00010003919	Lates_calcarifer
ENSLAFP00000001770	ENSLAFG00000002115	Loxodonta_africana
ENSSHAP00000015845	ENSSHAG00000013500	Sarcophilus_harrisii
ENSNLEP00000010250	ENSNLEG00000008424	Nomascus_leucogenys
ENSPSMP00000031905	ENSPSMG00000022125	Prolemur_simus
ENSNGAP00000003239	ENSNGAG00000003595	Nannospalax_galili
ENSONIP00000019724	ENSONIG00000015672	Oreochromis_niloticus
ENSELUP00000014266	ENSELUG00000014307	Esox_lucius
ENSPEMP00000000688	ENSPEMG00000000497	Peromyscus_maniculatus_bairdii
ENSANAP00000013597	ENSANAG00000024709	Aotus_nancymaae
ENSCMIP00000042344	ENSCMIG00000017602	Callorhinchus_milii
ENSAMXP00005002277	ENSAMXG00005001247	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBIXP00000026976	ENSBIXG00000029035	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGGOP00000013654	ENSGGOG00000013997	Gorilla_gorilla
ENSEASP00005027045	ENSEASG00005018421	Equus_asinus_asinus
ENSPNYP00000031911	ENSPNYG00000024076	Pundamilia_nyererei
ENSCCNP00000014899	ENSCCNG00000015360	Castor_canadensis
ENSSCAP00000007995	ENSSCAG00000006132	Serinus_canaria
ENSAOWP00000023843	ENSAOWG00000016087	Apteryx_owenii
ENSPREP00000029317	ENSPREG00000019851	Poecilia_reticulata
ENSPCOP00000021162	ENSPCOG00000022582	Propithecus_coquereli
ENSJJAP00000012748	ENSJJAG00000015696	Jaculus_jaculus
ENSOPRP00000007632	ENSOPRG00000008340	Ochotona_princeps
ENSPTEP00000002176	ENSPTEG00000002523	Piliocolobus_tephrosceles
ENSMLUP00000000990	ENSMLUG00000001089	Myotis_lucifugus
ENSMUSP00000158547	ENSMUSG00000041199	Mus_musculus_strain_reference_(CL57BL6)
ENSMODP00000021069	ENSMODG00000016882	Monodelphis_domestica
ENSNMEP00000013047	ENSNMEG00000011963	Numida_meleagris
ENSRNOP00000015206	ENSRNOG00000023639	Rattus_norvegicus
ENSP00000455026	ENSG00000007376	Homo_sapiens
ENSPTRP00000012926	ENSPTRG00000007565	Pan_troglodytes
ENSMNEP00000039537	ENSMNEG00000042712	Macaca_nemestrina
ENSOGAP00000003376	ENSOGAG00000003795	Otolemur_garnettii
ENSMUNP00000018278	ENSMUNG00000013984	Melopsittacus_undulatus
ENSCVAP00000019393	ENSCVAG00000022746	Cyprinodon_variegatus
ENSDORP00000025440	ENSDORG00000026656	Dipodomys_ordii
ENSIPUP00000002180	ENSIPUG00000001570	Ictalurus_punctatus	ENSIPUT00000002291
ENSMGAP00000005357	ENSMGAG00000005447	Meleagris_gallopavo
ENSMAMP00000006948	ENSMAMG00000004735	Mastacembelus_armatus
ENSCANP00000010337	ENSCANG00000028576	Colobus_angolensis_palliatus
ENSHBUP00000035516	ENSHBUG00000023728	Haplochromis_burtoni
ENSLBEP00000017322	ENSLBEG00000013354	Labrus_bergylta
ENSPCIP00000028416	ENSPCIG00000021216	Phascolarctos_cinereus
ENSMMMP00000020205	ENSMMMG00000017848	Marmota_marmota_marmota
ENSCCEP00000026274	ENSCCEG00000023121	Cyanistes_caeruleus
ENSLACP00000010062	ENSLACG00000008869	Latimeria_chalumnae
MGP_CAROLIEiJ_P0043304	MGP_CAROLIEiJ_G0021244	Mus_caroli_strain_CAROLI_EIJ
ENSMVIP00005019078	ENSMVIG00005013527	Manacus_vitellinus
ENSCAPP00000013640	ENSCAPG00000014219	Cavia_aperea
ENSKMAP00000023302	ENSKMAG00000017287	Kryptolebias_marmoratus
ENSDARP00000113540	ENSDARG00000060192	Danio_rerio
ENSRBIP00000012538	ENSRBIG00000030238	Rhinopithecus_bieti
ENSGALP00000008504	ENSGALG00000005315	Gallus_gallus
ENSAHAP00000018768	ENSAHAG00000013305	Apteryx_haastii
ENSSLDP00000026841	ENSSLDG00000020853	Seriola_lalandi_dorsalis
ENSDCDP00000008957	ENSDCDG00000004505	Denticeps_clupeoides
ENSGACP00000018846	ENSGACG00000014276	Gasterosteus_aculeatus
ENSCJPP00005005885	ENSCJPG00005005566	Coturnix_japonica
ENSPVAP00000012358	ENSPVAG00000013104	Pteropus_vampyrus
ENSCHIP00000010312	ENSCHIG00000012872	Capra_hircus
ENSLBEP00000029747	ENSLBEG00000022502	Labrus_bergylta
ENSODEP00000023100	ENSODEG00000016945	Octodon_degus
ENSCCAP00000032706	ENSCCAG00000034385	Cebus_capucinus_imitator
ENSPANP00000013508	ENSPANG00000024401	Papio_anubis
ENSECAP00000028934	ENSECAG00000039586	Equus_caballus
