ENSSHAP00000000719	ENSSHAG00000000643	Sarcophilus_harrisii
ENSNLEP00000045828	ENSNLEG00000014801	Nomascus_leucogenys
ENSRNOP00000069902	ENSRNOG00000057554	Rattus_norvegicus
ENSCANP00000017018	ENSCANG00000031972	Colobus_angolensis_palliatus
ENSPCOP00000006545	ENSPCOG00000014445	Propithecus_coquereli
ENSSFOP00015033440	ENSSFOG00015021341	Scleropages_formosus
ENSODEP00000010978	ENSODEG00000008172	Octodon_degus
ENSCHAP00000030200	ENSCHAG00000014509	Clupea_harengus
ENSECAP00000019402	ENSECAG00000021842	Equus_caballus
ENSVPAP00000004804	ENSVPAG00000005178	Vicugna_pacos
ENSBIXP00005035272	ENSBIXG00005016477	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00000010350	ENSCGRG00000007586	Cricetulus_griseus_CriGri_1.0
MGP_PahariEiJ_P0049860	MGP_PahariEiJ_G0022118	Mus_pahari_strain_PAHARI_EIJ
ENSMSIP00000021569	ENSMSIG00000018180	Mus_spicilegus
ENSMOCP00000005766	ENSMOCG00000005284	Microtus_ochrogaster
ENSVVUP00000001076	ENSVVUG00000000857	Vulpes_vulpes
ENSVURP00010001934	ENSVURG00010001026	Vombatus_ursinus
ENSCHIP00000019870	ENSCHIG00000018707	Capra_hircus
ENSCABP00000000615	ENSCABG00000000534	Chelonoidis_abingdonii
ENSAHAP00000011495	ENSAHAG00000008304	Apteryx_haastii
ENSLOCP00000014308	ENSLOCG00000011643	Lepisosteus_oculatus
ENSNSUP00000020872	ENSNSUG00000015180	Notechis_scutatus
ENSNSUP00000020871	ENSNSUG00000015179	Notechis_scutatus
ENSCPBP00000032010	ENSCPBG00000022469	Chrysemys_picta_bellii
ENSSTOP00000003224	ENSSTOG00000003577	Ictidomys_tridecemlineatus
ENSMNEP00000012994	ENSMNEG00000030763	Macaca_nemestrina
ENSCATP00000007188	ENSCATG00000021541	Cercocebus_atys
ENSPVAP00000014093	ENSPVAG00000014951	Pteropus_vampyrus	ENSPVAT00000014951
ENSFDAP00000017359	ENSFDAG00000005926	Fukomys_damarensis
ENSPTEP00000003913	ENSPTEG00000004624	Piliocolobus_tephrosceles
ENSEASP00005032312	ENSEASG00005022020	Equus_asinus_asinus
