ENSPMAP00000006624	ENSPMAG00000005996	Petromyzon_marinus	ENSPMAT00000006654
ENSEBUP00000007546	ENSEBUG00000004905	Eptatretus_burgeri	ENSEBUT00000008032
ENSABRP00000020289	ENSABRG00000016957	Anser_brachyrhynchus
ENSAPLP00000013093	ENSAPLG00000013254	Anas_platyrhynchos_platyrhynchos
ENSGALP00000052128	ENSGALG00000013410	Gallus_gallus
ENSMGAP00000009750	ENSMGAG00000009393	Meleagris_gallopavo
ENSCJPP00005022818	ENSCJPG00005018109	Coturnix_japonica
ENSNMEP00000024588	ENSNMEG00000020837	Numida_meleagris
ENSCPUP00000029190	ENSCPUG00000019585	Calidris_pugnax
ENSCPGP00000011239	ENSCPGG00000007989	Calidris_pygmaea
ENSMUNP00000020253	ENSMUNG00000015423	Melopsittacus_undulatus
ENSJHYP00000017812	ENSJHYG00000013603	Junco_hyemalis
ENSZALP00000016736	ENSZALG00000013553	Zonotrichia_albicollis
ENSSCAP00000010497	ENSSCAG00000007959	Serinus_canaria
ENSTGUP00000010086	ENSTGUG00000009733	Taeniopygia_guttata
ENSTGUP00000016766	ENSTGUG00000016439	Taeniopygia_guttata
ENSLSDP00000012267	ENSLSDG00000008967	Lonchura_striata_domestica
ENSFALP00000013946	ENSFALG00000013365	Ficedula_albicollis
ENSCCEP00000023471	ENSCCEG00000021009	Cyanistes_caeruleus
ENSPMJP00000006564	ENSPMJG00000005263	Parus_major
ENSLCOP00000007580	ENSLCOG00000005583	Lepidothrix_coronata
ENSMVIP00005024869	ENSMVIG00005017428	Manacus_vitellinus
ENSAHAP00000023694	ENSAHAG00000016559	Apteryx_haastii
ENSAOWP00000019165	ENSAOWG00000013029	Apteryx_owenii
ENSARWP00000027838	ENSARWG00000018802	Apteryx_rowi
ENSDNVP00000017509	ENSDNVG00000012240	Dromaius_novaehollandiae
ENSNPEP00000003734	ENSNPEG00000002836	Nothoprocta_perdicaria
ENSCPRP00005022770	ENSCPRG00005015868	Crocodylus_porosus
ENSGAGP00000018979	ENSGAGG00000014041	Gopherus_agassizii
ENSCABP00000003189	ENSCABG00000001584	Chelonoidis_abingdonii
ENSCPBP00000000385	ENSCPBG00000000357	Chrysemys_picta_bellii
ENSPSIP00000017278	ENSPSIG00000015303	Pelodiscus_sinensis
ENSPVIP00000009698	ENSPVIG00000007703	Pogona_vitticeps
ENSACAP00000015092	ENSACAG00000015287	Anolis_carolinensis
ENSNSUP00000009428	ENSNSUG00000007215	Notechis_scutatus
ENSSMRP00000002965	ENSSMRG00000002519	Salvator_merianae
ENSSPUP00000015670	ENSSPUG00000012110	Sphenodon_punctatus
ENSVURP00010010063	ENSVURG00010007758	Vombatus_ursinus
ENSPCIP00000015160	ENSPCIG00000010311	Phascolarctos_cinereus
ENSMEUP00000004954	ENSMEUG00000005417	Notamacropus_eugenii
ENSSHAP00000019272	ENSSHAG00000016367	Sarcophilus_harrisii
ENSMODP00000004435	ENSMODG00000003622	Monodelphis_domestica
ENSLAFP00000003413	ENSLAFG00000004088	Loxodonta_africana
ENSETEP00000016371	ENSETEG00000020153	Echinops_telfairi
ENSPCAP00000009861	ENSPCAG00000010541	Procavia_capensis
ENSCHOP00000012060	ENSCHOG00000013626	Choloepus_hoffmanni
ENSDNOP00000010462	ENSDNOG00000013479	Dasypus_novemcinctus
ENSBIXP00000026943	ENSBIXG00000029115	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000015027	ENSBMUG00000011407	Bos_mutus
ENSBTAP00000071509	ENSBTAG00000015556	Bos_taurus
ENSBBBP00000028155	ENSBBBG00000007824	Bison_bison_bison
ENSOARP00000010829	ENSOARG00000010086	Ovis_aries
ENSBIXP00005046472	ENSBIXG00005031275	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSECAP00000043479	ENSECAG00000009659	Equus_caballus
ENSSSCP00000062172	ENSSSCG00000011506	Sus_scrofa_strain_reference
ENSVPAP00000001257	ENSVPAG00000001360	Vicugna_pacos
ENSTTRP00000014527	ENSTTRG00000015325	Tursiops_truncatus
ENSCHIP00000013749	ENSCHIG00000015026	Capra_hircus
ENSEASP00005002753	ENSEASG00005002027	Equus_asinus_asinus
ENSUMAP00000033293	ENSUMAG00000023994	Ursus_maritimus
ENSUAMP00000023622	ENSUAMG00000018494	Ursus_americanus
ENSAMEP00000010631	ENSAMEG00000010117	Ailuropoda_melanoleuca
ENSCAFP00000031707	ENSCAFG00000006548	Canis_lupus_familiaris
ENSCAFP00020014961	ENSCAFG00020012058	Canis_lupus_dingo
ENSVVUP00000019554	ENSVVUG00000014100	Vulpes_vulpes
ENSMPUP00000016854	ENSMPUG00000016958	Mustela_putorius_furo
ENSNVIP00000011457	ENSNVIG00000008993	Neovison_vison
ENSPPRP00000022115	ENSPPRG00000012852	Panthera_pardus
ENSPTIP00000024389	ENSPTIG00000020487	Panthera_tigris_altaica
ENSFCAP00000056466	ENSFCAG00000023111	Felis_catus
ENSSARP00000012671	ENSSARG00000014005	Sorex_araneus
ENSEEUP00000004964	ENSEEUG00000005430	Erinaceus_europaeus
ENSNVIP00000005769	ENSNVIG00000004641	Neovison_vison
ENSMLUP00000004976	ENSMLUG00000005450	Myotis_lucifugus
ENSPVAP00000000751	ENSPVAG00000000793	Pteropus_vampyrus
ENSPTRP00000043591	ENSPTRG00000015095	Pan_troglodytes
ENSPPAP00000017628	ENSPPAG00000031816	Pan_paniscus
ENSP00000354340	ENSG00000144744	Homo_sapiens
ENSGGOP00000003886	ENSGGOG00000003959	Gorilla_gorilla
ENSPPYP00000015351	ENSPPYG00000013729	Pongo_abelii
ENSNLEP00000002646	ENSNLEG00000002198	Nomascus_leucogenys
ENSRBIP00000041979	ENSRBIG00000044270	Rhinopithecus_bieti
ENSRROP00000024183	ENSRROG00000035874	Rhinopithecus_roxellana
ENSCANP00000017345	ENSCANG00000031920	Colobus_angolensis_palliatus
ENSPTEP00000029013	ENSPTEG00000028511	Piliocolobus_tephrosceles
ENSCSAP00000007844	ENSCSAG00000011650	Chlorocebus_sabaeus
ENSPANP00000036383	ENSPANG00000021492	Papio_anubis
ENSTGEP00000031916	ENSTGEG00000025523	Theropithecus_gelada
ENSMMUP00000070522	ENSMMUG00000008620	Macaca_mulatta
ENSMFAP00000038050	ENSMFAG00000036648	Macaca_fascicularis
ENSMNEP00000029706	ENSMNEG00000038119	Macaca_nemestrina
ENSCATP00000042868	ENSCATG00000043878	Cercocebus_atys
ENSMLEP00000038946	ENSMLEG00000043478	Mandrillus_leucophaeus
ENSSBOP00000024645	ENSSBOG00000028598	Saimiri_boliviensis_boliviensis
ENSCJAP00000024739	ENSCJAG00000013395	Callithrix_jacchus
ENSCCAP00000011262	ENSCCAG00000023356	Cebus_capucinus_imitator
ENSANAP00000037014	ENSANAG00000035877	Aotus_nancymaae
ENSCCAP00000003775	ENSCCAG00000018864	Cebus_capucinus_imitator
ENSSBOP00000022181	ENSSBOG00000027599	Saimiri_boliviensis_boliviensis
ENSANAP00000006839	ENSANAG00000021459	Aotus_nancymaae
ENSTSYP00000010196	ENSTSYG00000011113	Carlito_syrichta
ENSMICP00000029813	ENSMICG00000003407	Microcebus_murinus
ENSMICP00000047657	ENSMICG00000048105	Microcebus_murinus
ENSPCOP00000007138	ENSPCOG00000014784	Propithecus_coquereli
ENSPSMP00000025310	ENSPSMG00000017781	Prolemur_simus
ENSOGAP00000006957	ENSOGAG00000007771	Otolemur_garnettii
ENSCLAP00000005143	ENSCLAG00000003651	Chinchilla_lanigera
ENSCPOP00000029198	ENSCPOG00000030763	Cavia_porcellus
ENSODEP00000018681	ENSODEG00000013770	Octodon_degus
ENSODEP00000003736	ENSODEG00000002862	Octodon_degus
ENSODEP00000007578	ENSODEG00000005650	Octodon_degus
ENSODEP00000009481	ENSODEG00000007097	Octodon_degus
ENSHGLP00100019998	ENSHGLG00100014741	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027147	ENSHGLG00000019309	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015140	ENSHGLG00100011202	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006002	ENSHGLG00000004388	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000007362	ENSFDAG00000015892	Fukomys_damarensis
ENSMMMP00000005542	ENSMMMG00000004980	Marmota_marmota_marmota
ENSSTOP00000002872	ENSSTOG00000003215	Ictidomys_tridecemlineatus
ENSUPAP00010027733	ENSUPAG00010021916	Urocitellus_parryii
ENSSDAP00000011666	ENSSDAG00000010467	Spermophilus_dauricus
ENSJJAP00000002431	ENSJJAG00000004056	Jaculus_jaculus
ENSDORP00000000482	ENSDORG00000000516	Dipodomys_ordii
ENSCCNP00000017267	ENSCCNG00000017541	Castor_canadensis
ENSMUSP00000086701	ENSMUSG00000030061	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0078209	MGP_SPRETEiJ_G0029705	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000037939	ENSMSIG00000031611	Mus_spicilegus
MGP_PahariEiJ_P0051350	MGP_PahariEiJ_G0022428	Mus_pahari_strain_PAHARI_EIJ
