ENSPNAP00000011447	ENSPNAG00000017104	Pygocentrus_nattereri	ENSPNAT00000018409
ENSAMXP00000028519	ENSAMXG00000039191	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000045911
ENSHHUP00000056115	ENSHHUG00000033499	Hucho_hucho
ENSMALP00000020824	ENSMALG00000014564	Monopterus_albus
ENSLOCP00000018554	ENSLOCG00000015076	Lepisosteus_oculatus
ENSECRP00000001396	ENSECRG00000000971	Erpetoichthys_calabaricus
ENSDNOP00000004666	ENSDNOG00000006010	Dasypus_novemcinctus
ENSCHOP00000009058	ENSCHOG00000010206	Choloepus_hoffmanni
ENSPCAP00000001373	ENSPCAG00000001339	Procavia_capensis
ENSETEP00000014900	ENSETEG00000018330	Echinops_telfairi
ENSLAFP00000007725	ENSLAFG00000009212	Loxodonta_africana
ENSPTRP00000063423	ENSPTRG00000014475	Pan_troglodytes
ENSPPAP00000037491	ENSPPAG00000041490	Pan_paniscus
ENSP00000262726	ENSG00000186976	Homo_sapiens
ENSGGOP00000015096	ENSGGOG00000015468	Gorilla_gorilla
ENSPPYP00000013297	ENSPPYG00000011914	Pongo_abelii
ENSNLEP00000018941	ENSNLEG00000015528	Nomascus_leucogenys
ENSRROP00000028801	ENSRROG00000038194	Rhinopithecus_roxellana
ENSRBIP00000027754	ENSRBIG00000037752	Rhinopithecus_bieti
ENSPTEP00000020777	ENSPTEG00000021969	Piliocolobus_tephrosceles
ENSCANP00000037505	ENSCANG00000042420	Colobus_angolensis_palliatus
ENSCATP00000017043	ENSCATG00000032430	Cercocebus_atys
ENSMLEP00000030537	ENSMLEG00000039456	Mandrillus_leucophaeus
ENSPANP00000013482	ENSPANG00000004082	Papio_anubis
ENSTGEP00000006897	ENSTGEG00000005620	Theropithecus_gelada
ENSMFAP00000031649	ENSMFAG00000036892	Macaca_fascicularis
ENSMMUP00000007615	ENSMMUG00000005769	Macaca_mulatta
ENSMNEP00000040457	ENSMNEG00000043102	Macaca_nemestrina
ENSCSAP00000001828	ENSCSAG00000005576	Chlorocebus_sabaeus
ENSCCAP00000019926	ENSCCAG00000027808	Cebus_capucinus_imitator
ENSCCAP00000021297	ENSCCAG00000028479	Cebus_capucinus_imitator
ENSSBOP00000037072	ENSSBOG00000034619	Saimiri_boliviensis_boliviensis
ENSCJAP00000028134	ENSCJAG00000015219	Callithrix_jacchus
ENSANAP00000016455	ENSANAG00000026100	Aotus_nancymaae
ENSTSYP00000008763	ENSTSYG00000009558	Carlito_syrichta
ENSPCOP00000006463	ENSPCOG00000014397	Propithecus_coquereli
ENSPCOP00000011861	ENSPCOG00000017470	Propithecus_coquereli
ENSPSMP00000016292	ENSPSMG00000011592	Prolemur_simus
ENSMICP00000007155	ENSMICG00000007847	Microcebus_murinus
ENSOGAP00000001624	ENSOGAG00000001818	Otolemur_garnettii
ENSHGLP00000007181	ENSHGLG00000005238	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000419	ENSHGLG00100000353	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011032	ENSFDAG00000018663	Fukomys_damarensis
ENSCLAP00000023867	ENSCLAG00000016383	Chinchilla_lanigera
ENSODEP00000019715	ENSODEG00000014555	Octodon_degus
ENSCAPP00000008977	ENSCAPG00000010544	Cavia_aperea
ENSCPOP00000003896	ENSCPOG00000004320	Cavia_porcellus
ENSUPAP00010002449	ENSUPAG00010002017	Urocitellus_parryii
ENSSDAP00000008568	ENSSDAG00000007765	Spermophilus_dauricus
ENSMMMP00000002631	ENSMMMG00000002371	Marmota_marmota_marmota
ENSSTOP00000003635	ENSSTOG00000004012	Ictidomys_tridecemlineatus
ENSCCNP00000029371	ENSCCNG00000028158	Castor_canadensis
ENSCCNP00000010040	ENSCCNG00000010536	Castor_canadensis
ENSDORP00000007924	ENSDORG00000008442	Dipodomys_ordii
ENSMSIP00000021149	ENSMSIG00000017906	Mus_spicilegus
MGP_SPRETEiJ_P0041084	MGP_SPRETEiJ_G0021003	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000114909	ENSMUSG00000022441	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0039279	MGP_CAROLIEiJ_G0020106	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042631	MGP_PahariEiJ_G0020112	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015447	ENSRNOG00000011094	Rattus_norvegicus
ENSMUGP00000030147	ENSMUGG00000025032	Meriones_unguiculatus
ENSCGRP00015028209	ENSCGRG00015021333	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001026208	ENSCGRG00001023590	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019048	ENSCGRG00000013869	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000018022	ENSMAUG00000016708	Mesocricetus_auratus
ENSMOCP00000004690	ENSMOCG00000003964	Microtus_ochrogaster
ENSPEMP00000025343	ENSPEMG00000021803	Peromyscus_maniculatus_bairdii
ENSJJAP00000002210	ENSJJAG00000003593	Jaculus_jaculus
ENSOPRP00000008708	ENSOPRG00000009505	Ochotona_princeps
ENSTBEP00000009497	ENSTBEG00000010905	Tupaia_belangeri
ENSOCUP00000037517	ENSOCUG00000038561	Oryctolagus_cuniculus
ENSCHIP00000024692	ENSCHIG00000021779	Capra_hircus
ENSOARP00000020638	ENSOARG00000019214	Ovis_aries
ENSBIXP00000029936	ENSBIXG00000011679	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001466	ENSBIXG00005007967	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010796	ENSBTAG00000053264	Bos_taurus
ENSBMUP00000005673	ENSBMUG00000004418	Bos_mutus
ENSBBBP00000013803	ENSBBBG00000021544	Bison_bison_bison
ENSSSCP00000000029	ENSSSCG00000000028	Sus_scrofa_strain_reference
ENSTTRP00000001491	ENSTTRG00000001581	Tursiops_truncatus
ENSVPAP00000005856	ENSVPAG00000006310	Vicugna_pacos
ENSEASP00005032047	ENSEASG00005021875	Equus_asinus_asinus
ENSECAP00000006026	ENSECAG00000007792	Equus_caballus
ENSUAMP00000001901	ENSUAMG00000001772	Ursus_americanus
ENSUMAP00000027574	ENSUMAG00000020017	Ursus_maritimus
ENSAMEP00000007133	ENSAMEG00000006750	Ailuropoda_melanoleuca
ENSNVIP00000028195	ENSNVIG00000021759	Neovison_vison
ENSMPUP00000016181	ENSMPUG00000016284	Mustela_putorius_furo
ENSCAFP00000001286	ENSCAFG00000000902	Canis_lupus_familiaris
ENSCAFP00020011996	ENSCAFG00020009648	Canis_lupus_dingo
