,ENSVURT00010005368_ENSVURG00010003725,ENSPCIT00000021720_ENSPCIG00000013468,ENSPCIT00000021728_ENSPCIG00000013468,ENSMEUT00000009294_ENSMEUG00000009240,ENSOANT00000038506_ENSOANG00000030136,ENSMODT00000074472_ENSMODG00000015793,ENSMODT00000088109_ENSMODG00000015793,ENSMODT00000020060_ENSMODG00000015793,ENSOANT00000028947_ENSOANG00000019824,ENSCPOT00000004191_ENSCPOG00000004146,ENSCAPT00000022401_ENSCAPG00000017945,ENSODET00000010770_ENSODEG00000007917,ENSCLAT00000004452_ENSCLAG00000003104
ENSVURT00010005368_ENSVURG00010003725,1.0,0.64,0.33,0.39,0.08,0.99,0.94,0.94,0.1,0.97,0.77,0.93,0.97
ENSPCIT00000021720_ENSPCIG00000013468,0.64,1.0,0.03,0.25,1e-18,0.64,0.61,0.61,0.15,0.64,0.49,0.66,0.64
ENSPCIT00000021728_ENSPCIG00000013468,0.33,0.03,1.0,0.18,0.17,0.33,0.31,0.31,1e-18,0.32,0.29,0.28,0.32
ENSMEUT00000009294_ENSMEUG00000009240,0.39,0.25,0.18,1.0,0.03,0.39,0.37,0.37,0.07,0.39,0.32,0.37,0.39
ENSOANT00000038506_ENSOANG00000030136,0.08,1e-18,0.17,0.03,1.0,0.08,0.07,0.07,1e-18,0.08,0.07,0.08,0.08
ENSMODT00000074472_ENSMODG00000015793,0.99,0.64,0.33,0.39,0.08,1.0,0.94,0.94,0.1,0.97,0.77,0.93,0.97
ENSMODT00000088109_ENSMODG00000015793,0.94,0.61,0.31,0.37,0.07,0.94,1.0,0.94,0.1,0.93,0.74,0.89,0.93
ENSMODT00000020060_ENSMODG00000015793,0.94,0.61,0.31,0.37,0.07,0.94,0.94,1.0,0.1,0.93,0.74,0.89,0.93
ENSOANT00000028947_ENSOANG00000019824,0.1,0.15,1e-18,0.07,1e-18,0.1,0.1,0.1,1.0,0.1,0.06,0.11,0.1
ENSCPOT00000004191_ENSCPOG00000004146,0.97,0.64,0.32,0.39,0.08,0.97,0.93,0.93,0.1,1.0,0.77,0.93,0.97
ENSCAPT00000022401_ENSCAPG00000017945,0.77,0.49,0.29,0.32,0.07,0.77,0.74,0.74,0.06,0.77,1.0,0.74,0.77
ENSODET00000010770_ENSODEG00000007917,0.93,0.66,0.28,0.37,0.08,0.93,0.89,0.89,0.11,0.93,0.74,1.0,0.93
ENSCLAT00000004452_ENSCLAG00000003104,0.97,0.64,0.32,0.39,0.08,0.97,0.93,0.93,0.1,0.97,0.77,0.93,1.0
