,FBtr0071404_FBgn0028341,FBtr0100193_FBgn0028341,FBtr0100192_FBgn0028341,FBtr0333427_FBgn0028341,FBtr0303558_FBgn0028341,FBtr0071406_FBgn0028341,FBtr0071405_FBgn0028341,FBtr0303559_FBgn0028341,FBtr0071407_FBgn0028341,F44F4.2.1_WBGene00009701,F44F4.2.2_WBGene00009701
FBtr0071404_FBgn0028341,1.0,0.77,0.65,0.65,0.86,0.86,0.82,0.65,0.65,0.09,0.09
FBtr0100193_FBgn0028341,0.77,1.0,0.82,0.82,0.78,0.77,0.73,0.82,0.82,0.09,0.09
FBtr0100192_FBgn0028341,0.65,0.82,1.0,0.96,0.65,0.65,0.61,0.96,0.96,0.14,0.14
FBtr0333427_FBgn0028341,0.65,0.82,0.96,1.0,0.65,0.65,0.61,0.96,0.96,0.14,0.14
FBtr0303558_FBgn0028341,0.86,0.78,0.65,0.65,1.0,0.86,0.82,0.65,0.65,0.09,0.09
FBtr0071406_FBgn0028341,0.86,0.77,0.65,0.65,0.86,1.0,0.81,0.65,0.65,0.08,0.08
FBtr0071405_FBgn0028341,0.82,0.73,0.61,0.61,0.82,0.81,1.0,0.61,0.61,0.11,0.11
FBtr0303559_FBgn0028341,0.65,0.82,0.96,0.96,0.65,0.65,0.61,1.0,0.96,0.14,0.14
FBtr0071407_FBgn0028341,0.65,0.82,0.96,0.96,0.65,0.65,0.61,0.96,1.0,0.14,0.14
F44F4.2.1_WBGene00009701,0.09,0.09,0.14,0.14,0.09,0.08,0.11,0.14,0.14,1.0,0.98
F44F4.2.2_WBGene00009701,0.09,0.09,0.14,0.14,0.09,0.08,0.11,0.14,0.14,0.98,1.0
