,ENSCSAVT00000015241_ENSCSAVG00000008834,ENSCSAVT00000015242_ENSCSAVG00000008834,ENSCINT00000011275_ENSCING00000005459,ENSPCIT00000055803_ENSPCIG00000031336,ENSVURT00010014878_ENSVURG00010010060,ENSMEUT00000003305_ENSMEUG00000003301,ENSMODT00000070413_ENSMODG00000008397,ENSMODT00000010638_ENSMODG00000008397,ENSCPOT00000013555_ENSCPOG00000013423,ENSODET00000023976_ENSODEG00000017352
ENSCSAVT00000015241_ENSCSAVG00000008834,1.0,0.24,0.4,0.26,0.28,0.19,0.21,0.28,0.27,0.27
ENSCSAVT00000015242_ENSCSAVG00000008834,0.24,1.0,0.51,0.19,0.25,0.26,0.25,0.24,0.24,0.24
ENSCINT00000011275_ENSCING00000005459,0.4,0.51,1.0,0.19,0.24,0.16,0.18,0.23,0.23,0.23
ENSPCIT00000055803_ENSPCIG00000031336,0.26,0.19,0.19,1.0,0.62,0.41,0.47,0.61,0.58,0.58
ENSVURT00010014878_ENSVURG00010010060,0.28,0.25,0.24,0.62,1.0,0.41,0.67,0.86,0.83,0.83
ENSMEUT00000003305_ENSMEUG00000003301,0.19,0.26,0.16,0.41,0.41,1.0,0.41,0.41,0.39,0.39
ENSMODT00000070413_ENSMODG00000008397,0.21,0.25,0.18,0.47,0.67,0.41,1.0,0.7,0.64,0.64
ENSMODT00000010638_ENSMODG00000008397,0.28,0.24,0.23,0.61,0.86,0.41,0.7,1.0,0.83,0.83
ENSCPOT00000013555_ENSCPOG00000013423,0.27,0.24,0.23,0.58,0.83,0.39,0.64,0.83,1.0,0.88
ENSODET00000023976_ENSODEG00000017352,0.27,0.24,0.23,0.58,0.83,0.39,0.64,0.83,0.88,1.0
