,FBtr0079624_FBgn0028987,FBtr0339567_FBgn0028986,FBtr0081450_FBgn0028986,FBtr0079470_FBgn0083141,FBtr0335485_FBgn0083141,FBtr0300357_FBgn0028988,FBtr0110841_FBgn0051902,FBtr0079557_FBgn0053121,FBtr0309371_FBgn0033115,FBtr0086164_FBgn0033115,FBtr0110777_FBgn0034195
FBtr0079624_FBgn0028987,1.0,0.71,0.71,0.68,0.68,0.68,0.53,0.2,0.26,0.42,0.25
FBtr0339567_FBgn0028986,0.71,1.0,0.74,0.68,0.68,0.68,0.54,0.2,0.26,0.42,0.25
FBtr0081450_FBgn0028986,0.71,0.74,1.0,0.68,0.68,0.68,0.54,0.2,0.26,0.42,0.25
FBtr0079470_FBgn0083141,0.68,0.68,0.68,1.0,0.74,0.67,0.53,0.2,0.25,0.42,0.25
FBtr0335485_FBgn0083141,0.68,0.68,0.68,0.74,1.0,0.67,0.53,0.2,0.25,0.42,0.25
FBtr0300357_FBgn0028988,0.68,0.68,0.68,0.67,0.67,1.0,0.53,0.21,0.26,0.43,0.25
FBtr0110841_FBgn0051902,0.53,0.54,0.54,0.53,0.53,0.53,1.0,0.38,0.21,0.35,0.2
FBtr0079557_FBgn0053121,0.2,0.2,0.2,0.2,0.2,0.21,0.38,1.0,0.31,0.17,0.3
FBtr0309371_FBgn0033115,0.26,0.26,0.26,0.25,0.25,0.26,0.21,0.31,1.0,0.29,0.51
FBtr0086164_FBgn0033115,0.42,0.42,0.42,0.42,0.42,0.43,0.35,0.17,0.29,1.0,0.2
FBtr0110777_FBgn0034195,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.3,0.51,0.2,1.0
