,ENSVURT00010033949_ENSVURG00010022788,ENSVURT00010033963_ENSVURG00010022800,ENSPCIT00000050903_ENSPCIG00000030206,ENSPCIT00000050905_ENSPCIG00000030206,ENSPCIT00000068350_ENSPCIG00000030206,ENSPCIT00000055818_ENSPCIG00000030206,ENSMEUT00000008563_ENSMEUG00000008540,ENSSHAT00000005412_ENSSHAG00000004684,ENSMODT00000077889_ENSMODG00000020907,ENSMODT00000028975_ENSMODG00000020907,ENSMODT00000070575_ENSMODG00000020907
ENSVURT00010033949_ENSVURG00010022788,1.0,0.41,0.9,0.81,0.81,0.84,0.53,0.89,0.84,0.75,0.75
ENSVURT00010033963_ENSVURG00010022800,0.41,1.0,0.41,0.31,0.46,0.35,0.2,0.4,0.35,0.26,0.4
ENSPCIT00000050903_ENSPCIG00000030206,0.9,0.41,1.0,0.86,0.81,0.9,0.53,0.9,0.89,0.8,0.75
ENSPCIT00000050905_ENSPCIG00000030206,0.81,0.31,0.86,1.0,0.72,0.8,0.49,0.8,0.8,0.89,0.65
ENSPCIT00000068350_ENSPCIG00000030206,0.81,0.46,0.81,0.72,1.0,0.75,0.49,0.8,0.75,0.65,0.89
ENSPCIT00000055818_ENSPCIG00000030206,0.84,0.35,0.9,0.8,0.75,1.0,0.49,0.84,0.83,0.74,0.7
ENSMEUT00000008563_ENSMEUG00000008540,0.53,0.2,0.53,0.49,0.49,0.49,1.0,0.56,0.49,0.45,0.45
ENSSHAT00000005412_ENSSHAG00000004684,0.89,0.4,0.9,0.8,0.8,0.84,0.56,1.0,0.84,0.75,0.75
ENSMODT00000077889_ENSMODG00000020907,0.84,0.35,0.89,0.8,0.75,0.83,0.49,0.84,1.0,0.86,0.81
ENSMODT00000028975_ENSMODG00000020907,0.75,0.26,0.8,0.89,0.65,0.74,0.45,0.75,0.86,1.0,0.72
ENSMODT00000070575_ENSMODG00000020907,0.75,0.4,0.75,0.65,0.89,0.7,0.45,0.75,0.81,0.72,1.0
