,ENSPPAT00000054391_ENSPPAG00000038706,ENSPTRT00000032989_ENSPTRG00000017873,ENSGGOT00000001771_ENSGGOG00000001759,ENST00000259883_ENSG00000137338,ENSPPYT00000019027_ENSPPYG00000016369,ENSNLET00000055807_ENSNLEG00000036262,ENSPANT00000012303_ENSPANG00000016270,ENSTGET00000005085_ENSTGEG00000003511,ENSMLET00000056086_ENSMLEG00000040463,ENSCATT00000044373_ENSCATG00000033873,ENSMFAT00000004832_ENSMFAG00000042494,ENSMMUT00000082191_ENSMMUG00000007228,ENSMMUT00000010102_ENSMMUG00000007228,ENSMMUT00000103161_ENSMMUG00000007228,ENSMNET00000042235_ENSMNEG00000032959,ENSCSAT00000006062_ENSCSAG00000008007,ENSRBIT00000031397_ENSRBIG00000027815,ENSRROT00000064573_ENSRROG00000043333
ENSPPAT00000054391_ENSPPAG00000038706,1.0,1.0,0.99,0.99,0.98,0.84,0.97,0.97,0.97,0.97,0.97,0.89,0.97,0.97,0.97,0.97,0.97,0.97
ENSPTRT00000032989_ENSPTRG00000017873,1.0,1.0,0.99,0.99,0.98,0.84,0.97,0.97,0.97,0.97,0.97,0.89,0.97,0.97,0.97,0.97,0.97,0.97
ENSGGOT00000001771_ENSGGOG00000001759,0.99,0.99,1.0,1.0,0.99,0.84,0.97,0.97,0.97,0.97,0.97,0.9,0.97,0.97,0.97,0.97,0.97,0.97
ENST00000259883_ENSG00000137338,0.99,0.99,1.0,1.0,0.99,0.84,0.97,0.97,0.97,0.97,0.97,0.9,0.97,0.97,0.97,0.97,0.97,0.97
ENSPPYT00000019027_ENSPPYG00000016369,0.98,0.98,0.99,0.99,1.0,0.85,0.97,0.97,0.97,0.97,0.97,0.9,0.97,0.97,0.97,0.97,0.97,0.97
ENSNLET00000055807_ENSNLEG00000036262,0.84,0.84,0.84,0.84,0.85,1.0,0.83,0.83,0.83,0.84,0.83,0.87,0.83,0.83,0.83,0.84,0.84,0.84
ENSPANT00000012303_ENSPANG00000016270,0.97,0.97,0.97,0.97,0.97,0.83,1.0,0.99,0.99,1.0,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.99
ENSTGET00000005085_ENSTGEG00000003511,0.97,0.97,0.97,0.97,0.97,0.83,0.99,1.0,0.99,0.99,0.99,0.91,0.99,0.99,0.99,0.99,0.98,0.98
ENSMLET00000056086_ENSMLEG00000040463,0.97,0.97,0.97,0.97,0.97,0.83,0.99,0.99,1.0,1.0,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.98
ENSCATT00000044373_ENSCATG00000033873,0.97,0.97,0.97,0.97,0.97,0.84,1.0,0.99,1.0,1.0,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.99
ENSMFAT00000004832_ENSMFAG00000042494,0.97,0.97,0.97,0.97,0.97,0.83,0.99,0.99,0.99,0.99,1.0,0.92,1.0,1.0,1.0,0.99,0.98,0.98
ENSMMUT00000082191_ENSMMUG00000007228,0.89,0.89,0.9,0.9,0.9,0.87,0.92,0.91,0.92,0.92,0.92,1.0,0.93,0.93,0.92,0.91,0.91,0.91
ENSMMUT00000010102_ENSMMUG00000007228,0.97,0.97,0.97,0.97,0.97,0.83,0.99,0.99,0.99,0.99,1.0,0.93,1.0,1.0,1.0,0.99,0.98,0.98
ENSMMUT00000103161_ENSMMUG00000007228,0.97,0.97,0.97,0.97,0.97,0.83,0.99,0.99,0.99,0.99,1.0,0.93,1.0,1.0,1.0,0.99,0.98,0.98
ENSMNET00000042235_ENSMNEG00000032959,0.97,0.97,0.97,0.97,0.97,0.83,0.99,0.99,0.99,0.99,1.0,0.92,1.0,1.0,1.0,0.99,0.98,0.98
ENSCSAT00000006062_ENSCSAG00000008007,0.97,0.97,0.97,0.97,0.97,0.84,0.99,0.99,0.99,0.99,0.99,0.91,0.99,0.99,0.99,1.0,0.99,0.99
ENSRBIT00000031397_ENSRBIG00000027815,0.97,0.97,0.97,0.97,0.97,0.84,0.99,0.98,0.99,0.99,0.98,0.91,0.98,0.98,0.98,0.99,1.0,1.0
ENSRROT00000064573_ENSRROG00000043333,0.97,0.97,0.97,0.97,0.97,0.84,0.99,0.98,0.98,0.99,0.98,0.91,0.98,0.98,0.98,0.99,1.0,1.0
