,ENSLAFT00000028592_ENSLAFG00000027228,ENSPCAT00000003525_ENSPCAG00000003572,ENSDNOT00000006979_ENSDNOG00000006987,ENSCCAT00000031751_ENSCCAG00000024971,ENSCJAT00000038896_ENSCJAG00000019811,ENSANAT00000043843_ENSANAG00000030678,ENSMNET00000036579_ENSMNEG00000030501,ENSMNET00000036584_ENSMNEG00000030501,ENSMFAT00000018873_ENSMFAG00000039624,ENSMMUT00000055081_ENSMMUG00000044514,ENSMLET00000041484_ENSMLEG00000033186,ENSPANT00000000115_ENSPANG00000024487,ENSCATT00000062050_ENSCATG00000041589,ENSCATT00000013417_ENSCATG00000012013,ENSRBIT00000065995_ENSRBIG00000044290,ENSRROT00000040825_ENSRROG00000032470,ENSGGOT00000011223_ENSGGOG00000011181,ENST00000259845_ENSG00000204538,ENSPTRT00000077930_ENSPTRG00000052111,ENSPPAT00000046876_ENSPPAG00000035173,ENSPPYT00000020032_ENSPPYG00000017207,ENSNLET00000007246_ENSNLEG00000005700,ENSTGET00000018435_ENSTGEG00000012469,ENSTGET00000012628_ENSTGEG00000008597,ENSCSAT00000006438_ENSCSAG00000008388,ENSPTET00000044400_ENSPTEG00000031050
ENSLAFT00000028592_ENSLAFG00000027228,1.0,0.66,0.65,0.82,0.82,0.82,0.49,0.82,0.82,0.82,0.82,0.83,0.82,0.66,0.82,0.82,0.83,0.82,0.83,0.83,0.83,0.83,0.82,0.82,0.72,0.82
ENSPCAT00000003525_ENSPCAG00000003572,0.66,1.0,0.49,0.65,0.65,0.65,0.31,0.65,0.65,0.65,0.65,0.65,0.65,0.49,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.55,0.65
ENSDNOT00000006979_ENSDNOG00000006987,0.65,0.49,1.0,0.65,0.64,0.65,0.42,0.65,0.65,0.65,0.65,0.65,0.65,0.6,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65
ENSCCAT00000031751_ENSCCAG00000024971,0.82,0.65,0.65,1.0,0.88,0.88,0.52,0.87,0.87,0.87,0.87,0.87,0.86,0.7,0.87,0.87,0.87,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.77,0.87
ENSCJAT00000038896_ENSCJAG00000019811,0.82,0.65,0.64,0.88,1.0,0.88,0.52,0.87,0.86,0.86,0.86,0.86,0.86,0.7,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.86,0.86,0.76,0.86
ENSANAT00000043843_ENSANAG00000030678,0.82,0.65,0.65,0.88,0.88,1.0,0.52,0.87,0.87,0.87,0.86,0.87,0.86,0.7,0.86,0.86,0.87,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.77,0.87
ENSMNET00000036579_ENSMNEG00000030501,0.49,0.31,0.42,0.52,0.52,0.52,1.0,0.55,0.55,0.55,0.54,0.55,0.54,0.51,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55
ENSMNET00000036584_ENSMNEG00000030501,0.82,0.65,0.65,0.87,0.87,0.87,0.55,1.0,0.9,0.89,0.89,0.89,0.89,0.72,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.89
ENSMFAT00000018873_ENSMFAG00000039624,0.82,0.65,0.65,0.87,0.86,0.87,0.55,0.9,1.0,0.89,0.89,0.89,0.89,0.72,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.89
ENSMMUT00000055081_ENSMMUG00000044514,0.82,0.65,0.65,0.87,0.86,0.87,0.55,0.89,0.89,1.0,0.89,0.89,0.89,0.72,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.89
