,FBtr0330104_FBgn0035432,FBtr0330103_FBgn0035432,FBtr0073058_FBgn0035432,FBtr0073057_FBgn0035432,FBtr0073055_FBgn0035432,FBtr0073054_FBgn0035432,FBtr0073056_FBgn0035432,ENSCINT00000032956_ENSCING00000011998,ENSCINT00000022882_ENSCING00000011998,YMR243C_mRNA_YMR243C,YOR316C_mRNA_YOR316C
FBtr0330104_FBgn0035432,1.0,0.77,0.9,0.9,0.9,0.9,0.9,0.27,0.32,0.26,0.26
FBtr0330103_FBgn0035432,0.77,1.0,0.77,0.77,0.77,0.77,0.77,0.28,0.32,0.2,0.29
FBtr0073058_FBgn0035432,0.9,0.77,1.0,0.9,0.9,0.9,0.9,0.27,0.32,0.26,0.26
FBtr0073057_FBgn0035432,0.9,0.77,0.9,1.0,0.9,0.9,0.9,0.27,0.32,0.26,0.26
FBtr0073055_FBgn0035432,0.9,0.77,0.9,0.9,1.0,0.9,0.9,0.27,0.32,0.26,0.26
FBtr0073054_FBgn0035432,0.9,0.77,0.9,0.9,0.9,1.0,0.9,0.27,0.32,0.26,0.26
FBtr0073056_FBgn0035432,0.9,0.77,0.9,0.9,0.9,0.9,1.0,0.27,0.32,0.26,0.26
ENSCINT00000032956_ENSCING00000011998,0.27,0.28,0.27,0.27,0.27,0.27,0.27,1.0,0.8,0.14,0.21
ENSCINT00000022882_ENSCING00000011998,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.8,1.0,0.19,0.24
YMR243C_mRNA_YMR243C,0.26,0.2,0.26,0.26,0.26,0.26,0.26,0.14,0.19,1.0,0.53
YOR316C_mRNA_YOR316C,0.26,0.29,0.26,0.26,0.26,0.26,0.26,0.21,0.24,0.53,1.0
