,FBtr0084975_FBgn0039403,Y113G7B.24a.1_WBGene00013768,Y113G7B.24b.1_WBGene00013768,Y113G7B.24b.2_WBGene00013768,Y113G7B.24b.3_WBGene00013768,Y113G7B.24c.1_WBGene00013768,ENSPVIT00000033325_ENSPVIG00000020164,ENSSMRT00000029008_ENSSMRG00000019149,ENSSPUT00000011479_ENSSPUG00000008237,ENSCABT00000020680_ENSCABG00000013947,ENSGAGT00000040762_ENSGAGG00000025529
FBtr0084975_FBgn0039403,1.0,0.1,1e-18,1e-18,1e-18,1e-18,0.14,0.14,0.14,0.14,0.14
Y113G7B.24a.1_WBGene00013768,0.1,1.0,0.5,0.5,0.5,1e-18,0.06,0.06,0.06,0.07,0.06
Y113G7B.24b.1_WBGene00013768,1e-18,0.5,1.0,1.0,1.0,1e-18,0.06,0.06,0.06,0.07,0.06
Y113G7B.24b.2_WBGene00013768,1e-18,0.5,1.0,1.0,1.0,1e-18,0.06,0.06,0.06,0.07,0.06
Y113G7B.24b.3_WBGene00013768,1e-18,0.5,1.0,1.0,1.0,1e-18,0.06,0.06,0.06,0.07,0.06
Y113G7B.24c.1_WBGene00013768,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPVIT00000033325_ENSPVIG00000020164,0.14,0.06,0.06,0.06,0.06,1e-18,1.0,0.79,0.79,0.64,0.79
ENSSMRT00000029008_ENSSMRG00000019149,0.14,0.06,0.06,0.06,0.06,1e-18,0.79,1.0,0.79,0.64,0.79
ENSSPUT00000011479_ENSSPUG00000008237,0.14,0.06,0.06,0.06,0.06,1e-18,0.79,0.79,1.0,0.64,0.79
ENSCABT00000020680_ENSCABG00000013947,0.14,0.07,0.07,0.07,0.07,1e-18,0.64,0.64,0.64,1.0,0.64
ENSGAGT00000040762_ENSGAGG00000025529,0.14,0.06,0.06,0.06,0.06,1e-18,0.79,0.79,0.79,0.64,1.0
