,ENSMFAT00000026116_ENSMFAG00000040800,ENSMMUT00000033490_ENSMMUG00000063681,ENSMNET00000064639_ENSMNEG00000042989,ENSMNET00000064644_ENSMNEG00000042989,ENSCATT00000049766_ENSCATG00000036232,ENSCSAT00000001594_ENSCSAG00000003564,ENSRROT00000032984_ENSRROG00000028879,ENSRROT00000032986_ENSRROG00000028879,ENSRROT00000042895_ENSRROG00000033404,ENSNLET00000036817_ENSNLEG00000034616,ENSNLET00000000860_ENSNLEG00000000696,ENSRROT00000070155_ENSRROG00000045704,ENSRROT00000070156_ENSRROG00000045704,ENSRBIT00000053778_ENSRBIG00000038793,ENSPTET00000052077_ENSPTEG00000035877,ENSPTET00000052079_ENSPTEG00000035877
ENSMFAT00000026116_ENSMFAG00000040800,1.0,0.67,0.67,0.5,0.44,0.67,0.42,0.58,0.21,0.67,0.33,0.67,0.5,0.25,0.67,0.5
ENSMMUT00000033490_ENSMMUG00000063681,0.67,1.0,0.67,0.5,0.44,0.67,0.42,0.58,0.21,0.67,0.33,0.67,0.5,0.25,0.67,0.5
ENSMNET00000064639_ENSMNEG00000042989,0.67,0.67,1.0,0.5,0.44,0.67,0.42,0.58,0.21,0.67,0.33,0.67,0.5,0.25,0.67,0.5
ENSMNET00000064644_ENSMNEG00000042989,0.5,0.5,0.5,1.0,0.31,0.5,0.6,0.42,0.14,0.5,0.25,0.5,0.7,0.3,0.5,0.7
ENSCATT00000049766_ENSCATG00000036232,0.44,0.44,0.44,0.31,1.0,0.44,0.25,0.38,0.11,0.44,0.19,0.44,0.31,0.12,0.44,0.31
ENSCSAT00000001594_ENSCSAG00000003564,0.67,0.67,0.67,0.5,0.44,1.0,0.42,0.58,0.21,0.67,0.33,0.67,0.5,0.25,0.67,0.5
ENSRROT00000032984_ENSRROG00000028879,0.42,0.42,0.42,0.6,0.25,0.42,1.0,0.42,0.07,0.42,0.17,0.42,0.6,0.2,0.42,0.6
ENSRROT00000032986_ENSRROG00000028879,0.58,0.58,0.58,0.42,0.38,0.58,0.42,1.0,0.14,0.58,0.25,0.58,0.42,0.17,0.58,0.42
ENSRROT00000042895_ENSRROG00000033404,0.21,0.21,0.21,0.14,0.11,0.21,0.07,0.14,1.0,0.21,0.33,0.21,0.14,0.25,0.21,0.14
ENSNLET00000036817_ENSNLEG00000034616,0.67,0.67,0.67,0.5,0.44,0.67,0.42,0.58,0.21,1.0,0.33,0.67,0.5,0.25,0.67,0.5
ENSNLET00000000860_ENSNLEG00000000696,0.33,0.33,0.33,0.25,0.19,0.33,0.17,0.25,0.33,0.33,1.0,0.33,0.25,0.4,0.33,0.25
ENSRROT00000070155_ENSRROG00000045704,0.67,0.67,0.67,0.5,0.44,0.67,0.42,0.58,0.21,0.67,0.33,1.0,0.5,0.25,0.67,0.5
ENSRROT00000070156_ENSRROG00000045704,0.5,0.5,0.5,0.7,0.31,0.5,0.6,0.42,0.14,0.5,0.25,0.5,1.0,0.3,0.5,0.7
ENSRBIT00000053778_ENSRBIG00000038793,0.25,0.25,0.25,0.3,0.12,0.25,0.2,0.17,0.25,0.25,0.4,0.25,0.3,1.0,0.25,0.3
ENSPTET00000052077_ENSPTEG00000035877,0.67,0.67,0.67,0.5,0.44,0.67,0.42,0.58,0.21,0.67,0.33,0.67,0.5,0.25,1.0,0.5
ENSPTET00000052079_ENSPTEG00000035877,0.5,0.5,0.5,0.7,0.31,0.5,0.6,0.42,0.14,0.5,0.25,0.5,0.7,0.3,0.5,1.0
