,ENSXETT00000025566_ENSXETG00000014225,ENSXETT00000025591_ENSXETG00000014225,ENSXETT00000025611_ENSXETG00000014225,ENSXETT00000037930_ENSXETG00000014225,ENSXETT00000037993_ENSXETG00000014196,ENSXETT00000026420_ENSXETG00000013556,ENSXETT00000026425_ENSXETG00000013556,ENSXETT00000026428_ENSXETG00000013556,ENSXETT00000038513_ENSXETG00000013556,ENSXETT00000025707_ENSXETG00000014180,ENSXETT00000025721_ENSXETG00000013814,ENSXETT00000025726_ENSXETG00000013814,ENSXETT00000025753_ENSXETG00000013814,ENSXETT00000025767_ENSXETG00000013814,ENSAOWT00000014600_ENSAOWG00000008750,ENSAOWT00000014759_ENSAOWG00000008750,ENSAOWT00000014772_ENSAOWG00000008750,ENSAOWT00000014776_ENSAOWG00000008750,ENSAOWT00000014789_ENSAOWG00000008750,ENSAHAT00000022327_ENSAHAG00000014224,ENSAHAT00000022649_ENSAHAG00000014224,ENSAHAT00000022678_ENSAHAG00000014224,ENSAHAT00000022726_ENSAHAG00000014224,ENSAHAT00000022775_ENSAHAG00000014224,ENSARWT00000030051_ENSARWG00000017976
ENSXETT00000025566_ENSXETG00000014225,1.0,0.88,0.92,0.88,0.67,0.66,0.66,0.71,0.67,0.75,0.69,0.67,0.71,0.74,0.53,0.7,0.62,0.64,0.69,0.53,0.7,0.62,0.64,0.69,0.52
ENSXETT00000025591_ENSXETG00000014225,0.88,1.0,0.95,0.92,0.68,0.71,0.67,0.6,0.68,0.76,0.7,0.68,0.73,0.75,0.52,0.73,0.64,0.7,0.62,0.52,0.73,0.64,0.7,0.62,0.52
ENSXETT00000025611_ENSXETG00000014225,0.92,0.95,1.0,0.95,0.71,0.69,0.7,0.63,0.7,0.78,0.72,0.7,0.74,0.77,0.52,0.73,0.65,0.66,0.61,0.52,0.73,0.65,0.67,0.61,0.52
ENSXETT00000037930_ENSXETG00000014225,0.88,0.92,0.95,1.0,0.71,0.66,0.67,0.6,0.68,0.75,0.72,0.67,0.74,0.75,0.53,0.71,0.65,0.7,0.6,0.53,0.71,0.65,0.7,0.6,0.53
ENSXETT00000037993_ENSXETG00000014196,0.67,0.68,0.71,0.71,1.0,0.7,0.7,0.64,0.7,0.7,0.76,0.71,0.67,0.69,0.71,0.68,0.61,0.67,0.64,0.71,0.68,0.61,0.67,0.63,0.71
ENSXETT00000026420_ENSXETG00000013556,0.66,0.71,0.69,0.66,0.7,1.0,0.96,0.87,0.74,0.7,0.74,0.72,0.67,0.7,0.54,0.68,0.59,0.64,0.56,0.54,0.68,0.59,0.64,0.56,0.54
ENSXETT00000026425_ENSXETG00000013556,0.66,0.67,0.7,0.67,0.7,0.96,1.0,0.89,0.75,0.71,0.74,0.73,0.67,0.71,0.54,0.67,0.59,0.6,0.55,0.54,0.68,0.59,0.61,0.55,0.54
ENSXETT00000026428_ENSXETG00000013556,0.71,0.6,0.63,0.6,0.64,0.87,0.89,1.0,0.66,0.64,0.67,0.66,0.6,0.64,0.53,0.6,0.52,0.53,0.59,0.53,0.6,0.52,0.54,0.59,0.53
ENSXETT00000038513_ENSXETG00000013556,0.67,0.68,0.7,0.68,0.7,0.74,0.75,0.66,1.0,0.72,0.67,0.64,0.68,0.72,0.54,0.71,0.63,0.68,0.66,0.54,0.71,0.63,0.69,0.66,0.54
ENSXETT00000025707_ENSXETG00000014180,0.75,0.76,0.78,0.75,0.7,0.7,0.71,0.64,0.72,1.0,0.77,0.75,0.82,0.86,0.53,0.77,0.68,0.7,0.65,0.53,0.77,0.68,0.7,0.65,0.53
ENSXETT00000025721_ENSXETG00000013814,0.69,0.7,0.72,0.72,0.76,0.74,0.74,0.67,0.67,0.77,1.0,0.9,0.91,0.88,0.62,0.72,0.66,0.68,0.6,0.62,0.72,0.66,0.68,0.6,0.62
ENSXETT00000025726_ENSXETG00000013814,0.67,0.68,0.7,0.67,0.71,0.72,0.73,0.66,0.64,0.75,0.9,1.0,0.83,0.87,0.55,0.68,0.6,0.61,0.56,0.55,0.68,0.6,0.62,0.56,0.55
ENSXETT00000025753_ENSXETG00000013814,0.71,0.73,0.74,0.74,0.67,0.67,0.67,0.6,0.68,0.82,0.91,0.83,1.0,0.96,0.54,0.75,0.68,0.7,0.62,0.54,0.75,0.68,0.7,0.62,0.54
ENSXETT00000025767_ENSXETG00000013814,0.74,0.75,0.77,0.75,0.69,0.7,0.71,0.64,0.72,0.86,0.88,0.87,0.96,1.0,0.54,0.77,0.68,0.7,0.65,0.54,0.77,0.68,0.7,0.65,0.54
