,ENSCHAT00000046423_ENSCHAG00000019954,ENSCHAT00000046462_ENSCHAG00000019954,ENSCHAT00000046495_ENSCHAG00000019954,ENSCHAT00000046534_ENSCHAG00000019954,ENSCHAT00000046668_ENSCHAG00000019954,ENSCHAT00000046683_ENSCHAG00000019954,ENSCHAT00000046748_ENSCHAG00000019954,ENSCHAT00000046784_ENSCHAG00000019954,ENSCHAT00000046797_ENSCHAG00000019954,ENSCHAT00000046829_ENSCHAG00000019954,ENSDCDT00000022325_ENSDCDG00000012893,ENSDCDT00000022330_ENSDCDG00000012893,ENSDCDT00000022335_ENSDCDG00000012893,ENSDCDT00000022349_ENSDCDG00000012893,ENSDCDT00000022365_ENSDCDG00000012893,ENSDCDT00000022368_ENSDCDG00000012893,ENSEEET00000046836_ENSEEEG00000021806,ENSIPUT00000027780_ENSIPUG00000018043,ENSIPUT00000027830_ENSIPUG00000018043
ENSCHAT00000046423_ENSCHAG00000019954,1.0,0.98,0.99,0.99,0.93,0.97,0.89,0.9,0.92,0.9,0.86,0.85,0.85,0.77,0.78,0.76,0.77,0.83,0.81
ENSCHAT00000046462_ENSCHAG00000019954,0.98,1.0,0.97,0.97,0.91,0.95,0.87,0.88,0.9,0.88,0.85,0.87,0.83,0.76,0.76,0.75,0.75,0.81,0.8
ENSCHAT00000046495_ENSCHAG00000019954,0.99,0.97,1.0,0.97,0.91,0.95,0.88,0.89,0.9,0.88,0.85,0.84,0.84,0.76,0.77,0.75,0.76,0.81,0.8
ENSCHAT00000046534_ENSCHAG00000019954,0.99,0.97,0.97,1.0,0.92,0.98,0.9,0.89,0.91,0.89,0.85,0.83,0.87,0.78,0.77,0.77,0.77,0.84,0.83
ENSCHAT00000046668_ENSCHAG00000019954,0.93,0.91,0.91,0.92,1.0,0.9,0.92,0.96,0.9,0.96,0.8,0.78,0.79,0.76,0.79,0.77,0.78,0.77,0.78
ENSCHAT00000046683_ENSCHAG00000019954,0.97,0.95,0.95,0.98,0.9,1.0,0.89,0.88,0.89,0.87,0.84,0.82,0.85,0.78,0.76,0.76,0.76,0.83,0.82
ENSCHAT00000046748_ENSCHAG00000019954,0.89,0.87,0.88,0.9,0.92,0.89,1.0,0.89,0.84,0.89,0.77,0.75,0.78,0.79,0.77,0.78,0.78,0.77,0.78
ENSCHAT00000046784_ENSCHAG00000019954,0.9,0.88,0.89,0.89,0.96,0.88,0.89,1.0,0.9,0.94,0.78,0.76,0.77,0.74,0.79,0.77,0.76,0.75,0.76
ENSCHAT00000046797_ENSCHAG00000019954,0.92,0.9,0.9,0.91,0.9,0.89,0.84,0.9,1.0,0.88,0.78,0.77,0.78,0.72,0.78,0.76,0.74,0.75,0.76
ENSCHAT00000046829_ENSCHAG00000019954,0.9,0.88,0.88,0.89,0.96,0.87,0.89,0.94,0.88,1.0,0.77,0.76,0.76,0.74,0.77,0.76,0.75,0.74,0.75
ENSDCDT00000022325_ENSDCDG00000012893,0.86,0.85,0.85,0.85,0.8,0.84,0.77,0.78,0.78,0.77,1.0,0.98,0.99,0.9,0.9,0.89,0.77,0.83,0.82
ENSDCDT00000022330_ENSDCDG00000012893,0.85,0.87,0.84,0.83,0.78,0.82,0.75,0.76,0.77,0.76,0.98,1.0,0.97,0.89,0.89,0.87,0.76,0.81,0.8
ENSDCDT00000022335_ENSDCDG00000012893,0.85,0.83,0.84,0.87,0.79,0.85,0.78,0.77,0.78,0.76,0.99,0.97,1.0,0.91,0.9,0.9,0.77,0.84,0.83
ENSDCDT00000022349_ENSDCDG00000012893,0.77,0.76,0.76,0.78,0.76,0.78,0.79,0.74,0.72,0.74,0.9,0.89,0.91,1.0,0.9,0.91,0.78,0.77,0.79
ENSDCDT00000022365_ENSDCDG00000012893,0.78,0.76,0.77,0.77,0.79,0.76,0.77,0.79,0.78,0.77,0.9,0.89,0.9,0.9,1.0,0.97,0.8,0.76,0.77
ENSDCDT00000022368_ENSDCDG00000012893,0.76,0.75,0.75,0.77,0.77,0.76,0.78,0.77,0.76,0.76,0.89,0.87,0.9,0.91,0.97,1.0,0.79,0.76,0.77
ENSEEET00000046836_ENSEEEG00000021806,0.77,0.75,0.76,0.77,0.78,0.76,0.78,0.76,0.74,0.75,0.77,0.76,0.77,0.78,0.8,0.79,1.0,0.83,0.84
ENSIPUT00000027780_ENSIPUG00000018043,0.83,0.81,0.81,0.84,0.77,0.83,0.77,0.75,0.75,0.74,0.83,0.81,0.84,0.77,0.76,0.76,0.83,1.0,0.98
ENSIPUT00000027830_ENSIPUG00000018043,0.81,0.8,0.8,0.83,0.78,0.82,0.78,0.76,0.76,0.75,0.82,0.8,0.83,0.79,0.77,0.77,0.84,0.98,1.0
