,ENSCHAT00000024716_ENSCHAG00000011187,ENSCHAT00000024733_ENSCHAG00000011187,ENSCHAT00000024745_ENSCHAG00000011187,ENSCHAT00000024760_ENSCHAG00000011187,ENSCHAT00000024774_ENSCHAG00000011187,ENSCHAT00000024796_ENSCHAG00000011187,ENSDCDT00000073920_ENSDCDG00000035093,ENSDCDT00000073926_ENSDCDG00000035093,ENSDCDT00000073930_ENSDCDG00000035093,ENSDCDT00000073935_ENSDCDG00000035093,ENSDCDT00000073937_ENSDCDG00000035093,ENSDCDT00000073938_ENSDCDG00000035093,ENSDCDT00000073939_ENSDCDG00000035093,ENSDCDT00000073940_ENSDCDG00000035093,ENSDCDT00000073942_ENSDCDG00000035093,ENSDCDT00000073943_ENSDCDG00000035093,ENSAMXT00000052720_ENSAMXG00000030447
ENSCHAT00000024716_ENSCHAG00000011187,1.0,0.7,0.79,0.67,0.76,0.2,0.57,0.56,0.56,0.5,0.75,0.7,0.56,0.65,0.62,0.55,0.1
ENSCHAT00000024733_ENSCHAG00000011187,0.7,1.0,0.59,0.58,0.63,0.2,0.55,0.52,0.48,0.5,0.56,0.52,0.5,0.5,0.48,0.52,0.07
ENSCHAT00000024745_ENSCHAG00000011187,0.79,0.59,1.0,0.56,0.64,0.21,0.48,0.46,0.52,0.42,0.63,0.66,0.52,0.54,0.52,0.5,0.1
ENSCHAT00000024760_ENSCHAG00000011187,0.67,0.58,0.56,1.0,0.74,0.18,0.5,0.47,0.48,0.38,0.56,0.52,0.41,0.56,0.6,0.5,0.05
ENSCHAT00000024774_ENSCHAG00000011187,0.76,0.63,0.64,0.74,1.0,0.21,0.56,0.52,0.54,0.42,0.63,0.59,0.46,0.66,0.63,0.6,0.04
ENSCHAT00000024796_ENSCHAG00000011187,0.2,0.2,0.21,0.18,0.21,1.0,0.22,0.23,0.24,0.18,0.27,0.29,0.26,0.29,0.27,0.35,1e-18
ENSDCDT00000073920_ENSDCDG00000035093,0.57,0.55,0.48,0.5,0.56,0.22,1.0,0.9,0.87,0.51,0.63,0.59,0.57,0.55,0.53,0.5,0.13
ENSDCDT00000073926_ENSDCDG00000035093,0.56,0.52,0.46,0.47,0.52,0.23,0.9,1.0,0.83,0.5,0.61,0.57,0.55,0.54,0.52,0.46,0.13
ENSDCDT00000073930_ENSDCDG00000035093,0.56,0.48,0.52,0.48,0.54,0.24,0.87,0.83,1.0,0.46,0.62,0.58,0.5,0.54,0.52,0.48,0.14
ENSDCDT00000073935_ENSDCDG00000035093,0.5,0.5,0.42,0.38,0.42,0.18,0.51,0.5,0.46,1.0,0.6,0.57,0.63,0.53,0.52,0.4,0.07
ENSDCDT00000073937_ENSDCDG00000035093,0.75,0.56,0.63,0.56,0.63,0.27,0.63,0.61,0.62,0.6,1.0,0.86,0.69,0.8,0.76,0.61,0.09
ENSDCDT00000073938_ENSDCDG00000035093,0.7,0.52,0.66,0.52,0.59,0.29,0.59,0.57,0.58,0.57,0.86,1.0,0.72,0.75,0.72,0.64,0.1
ENSDCDT00000073939_ENSDCDG00000035093,0.56,0.5,0.52,0.41,0.46,0.26,0.57,0.55,0.5,0.63,0.69,0.72,1.0,0.6,0.58,0.5,0.09
ENSDCDT00000073940_ENSDCDG00000035093,0.65,0.5,0.54,0.56,0.66,0.29,0.55,0.54,0.54,0.53,0.8,0.75,0.6,1.0,0.8,0.64,0.04
ENSDCDT00000073942_ENSDCDG00000035093,0.62,0.48,0.52,0.6,0.63,0.27,0.53,0.52,0.52,0.52,0.76,0.72,0.58,0.8,1.0,0.61,0.03
ENSDCDT00000073943_ENSDCDG00000035093,0.55,0.52,0.5,0.5,0.6,0.35,0.5,0.46,0.48,0.4,0.61,0.64,0.5,0.64,0.61,1.0,0.02
ENSAMXT00000052720_ENSAMXG00000030447,0.1,0.07,0.1,0.05,0.04,1e-18,0.13,0.13,0.14,0.07,0.09,0.1,0.09,0.04,0.03,0.02,1.0
