,ENSPKIT00000026165_ENSPKIG00000020183,ENSSFOT00015009875_ENSSFOG00015006271,ENSTRUT00000036760_ENSTRUG00000014324,ENSMMOT00000003802_ENSMMOG00000002986,ENSLCRT00005004265_ENSLCRG00005000323,ENSLCRT00005004446_ENSLCRG00005000323,ENSLCRT00005005737_ENSLCRG00005000323,ENSLCRT00005005747_ENSLCRG00005000323,ENSLCRT00005005762_ENSLCRG00005000323,ENSLCRT00005005766_ENSLCRG00005000323,ENSLCRT00005005768_ENSLCRG00005000323,ENSLCRT00005005769_ENSLCRG00005000323,ENSLCRT00005005776_ENSLCRG00005000323,ENSLCRT00005005780_ENSLCRG00005000323,ENSLBET00000006341_ENSLBEG00000004617,ENSLBET00000006670_ENSLBEG00000004617,ENSLBET00000007001_ENSLBEG00000004617,ENSLBET00000007080_ENSLBEG00000004617,ENSCGOT00000036908_ENSCGOG00000013887,ENSCGOT00000036914_ENSCGOG00000013887,ENSCGOT00000036920_ENSCGOG00000013887,ENSMALT00000018355_ENSMALG00000012511,ENSMALT00000018390_ENSMALG00000012511,ENSMALT00000018422_ENSMALG00000012511,ENSMAMT00000033128_ENSMAMG00000021699,ENSMAMT00000033134_ENSMAMG00000021699,ENSMAMT00000033141_ENSMAMG00000021699,ENSATET00000020568_ENSATEG00000014057,ENSATET00000020604_ENSATEG00000014057,ENSBSLT00000004557_ENSBSLG00000002064,ENSBSLT00000004559_ENSBSLG00000002064,ENSBSLT00000004562_ENSBSLG00000002064,ENSBSLT00000004563_ENSBSLG00000002064,ENSBSLT00000004565_ENSBSLG00000002064,ENSBSLT00000004566_ENSBSLG00000002064,ENSBSLT00000004567_ENSBSLG00000002064,ENSBSLT00000004571_ENSBSLG00000002064,ENSBSLT00000004573_ENSBSLG00000002064,ENSSDUT00000023135_ENSSDUG00000016505,ENSSDUT00000023179_ENSSDUG00000016505,ENSSDUT00000023234_ENSSDUG00000016505
ENSPKIT00000026165_ENSPKIG00000020183,1.0,0.64,0.75,0.75,0.77,0.73,0.76,0.67,0.64,0.69,0.7,0.68,0.79,0.62,1e-18,0.35,0.75,0.7,0.72,0.66,0.67,0.73,0.76,0.73,0.73,0.76,0.68,0.68,0.71,0.68,0.71,0.76,0.69,0.65,0.75,0.65,0.69,0.68,0.73,0.76,0.85
ENSSFOT00015009875_ENSSFOG00015006271,0.64,1.0,0.59,0.66,0.6,0.56,0.67,0.58,0.58,0.6,0.61,0.62,0.64,0.45,1e-18,0.45,0.64,0.59,0.68,0.57,0.68,0.65,0.67,0.64,0.65,0.67,0.62,0.62,0.65,0.62,0.65,0.67,0.6,0.69,0.64,0.58,0.67,0.6,0.65,0.67,0.64
ENSTRUT00000036760_ENSTRUG00000014324,0.75,0.59,1.0,0.76,0.65,0.62,0.69,0.62,0.6,0.62,0.65,0.62,0.77,0.57,1e-18,0.33,0.67,0.65,0.67,0.56,0.62,0.66,0.69,0.67,0.66,0.69,0.62,0.62,0.64,0.62,0.64,0.69,0.62,0.62,0.7,0.59,0.62,0.62,0.66,0.69,0.73
ENSMMOT00000003802_ENSMMOG00000002986,0.75,0.66,0.76,1.0,0.65,0.62,0.76,0.69,0.66,0.69,0.72,0.68,0.77,0.59,1e-18,0.39,0.75,0.73,0.74,0.61,0.7,0.73,0.76,0.75,0.73,0.76,0.68,0.68,0.71,0.68,0.71,0.76,0.69,0.67,0.75,0.63,0.69,0.66,0.73,0.76,0.73
ENSLCRT00005004265_ENSLCRG00005000323,0.77,0.6,0.65,0.65,1.0,0.67,0.79,0.6,0.59,0.63,0.62,0.82,0.7,0.54,1e-18,0.32,0.65,0.6,0.66,0.6,0.62,0.76,0.79,0.65,0.76,0.79,0.75,0.8,0.83,0.8,0.83,0.7,0.63,0.6,0.67,0.69,0.72,0.71,0.76,0.79,0.75
ENSLCRT00005004446_ENSLCRG00005000323,0.73,0.56,0.62,0.62,0.67,1.0,0.66,0.74,0.73,0.74,0.77,0.59,0.67,0.54,1e-18,0.32,0.62,0.62,0.64,0.58,0.6,0.63,0.66,0.65,0.63,0.66,0.59,0.59,0.62,0.59,0.62,0.66,0.6,0.58,0.67,0.57,0.63,0.59,0.63,0.66,0.75
ENSLCRT00005005737_ENSLCRG00005000323,0.76,0.67,0.69,0.76,0.79,0.66,1.0,0.7,0.69,0.74,0.73,0.82,0.74,0.59,1e-18,0.38,0.76,0.72,0.75,0.62,0.71,0.88,0.91,0.76,0.88,0.91,0.82,0.82,0.85,0.82,0.85,0.81,0.74,0.67,0.76,0.73,0.77,0.8,0.88,0.91,0.74
ENSLCRT00005005747_ENSLCRG00005000323,0.67,0.58,0.62,0.69,0.6,0.74,0.7,1.0,0.77,0.78,0.85,0.63,0.69,0.54,1e-18,0.36,0.69,0.69,0.72,0.6,0.68,0.67,0.7,0.73,0.67,0.7,0.63,0.63,0.65,0.63,0.65,0.7,0.63,0.64,0.73,0.59,0.65,0.61,0.67,0.7,0.71
ENSLCRT00005005762_ENSLCRG00005000323,0.64,0.58,0.6,0.66,0.59,0.73,0.69,0.77,1.0,0.77,0.8,0.65,0.64,0.52,1e-18,0.35,0.66,0.66,0.67,0.56,0.63,0.69,0.69,0.68,0.69,0.69,0.65,0.65,0.65,0.65,0.65,0.72,0.65,0.6,0.68,0.59,0.65,0.61,0.69,0.69,0.66
ENSLCRT00005005766_ENSLCRG00005000323,0.69,0.6,0.62,0.69,0.63,0.74,0.74,0.78,0.77,1.0,0.81,0.67,0.67,0.52,1e-18,0.36,0.71,0.67,0.68,0.56,0.64,0.71,0.74,0.69,0.71,0.74,0.67,0.67,0.69,0.67,0.69,0.74,0.67,0.6,0.69,0.62,0.65,0.65,0.71,0.74,0.67
ENSLCRT00005005768_ENSLCRG00005000323,0.7,0.61,0.65,0.72,0.62,0.77,0.73,0.85,0.8,0.81,1.0,0.65,0.72,0.57,1e-18,0.38,0.72,0.72,0.75,0.62,0.71,0.7,0.73,0.76,0.7,0.73,0.65,0.65,0.68,0.65,0.68,0.73,0.66,0.67,0.76,0.61,0.68,0.63,0.7,0.73,0.74
ENSLCRT00005005769_ENSLCRG00005000323,0.68,0.62,0.62,0.68,0.82,0.59,0.82,0.63,0.65,0.67,0.65,1.0,0.66,0.52,1e-18,0.35,0.68,0.64,0.69,0.58,0.65,0.86,0.82,0.68,0.86,0.82,0.85,0.9,0.86,0.9,0.86,0.78,0.71,0.62,0.68,0.7,0.73,0.72,0.86,0.82,0.66
ENSLCRT00005005776_ENSLCRG00005000323,0.79,0.64,0.77,0.77,0.7,0.67,0.74,0.69,0.64,0.67,0.72,0.66,1.0,0.62,1e-18,0.37,0.7,0.68,0.74,0.63,0.7,0.71,0.74,0.75,0.71,0.74,0.66,0.66,0.69,0.66,0.69,0.74,0.67,0.7,0.77,0.63,0.67,0.66,0.71,0.74,0.81
ENSLCRT00005005780_ENSLCRG00005000323,0.62,0.45,0.57,0.59,0.54,0.54,0.59,0.54,0.52,0.52,0.57,0.52,0.62,1.0,1e-18,0.27,0.55,0.67,0.59,0.57,0.54,0.56,0.59,0.59,0.56,0.59,0.52,0.52,0.54,0.52,0.54,0.59,0.52,0.52,0.61,0.5,0.54,0.52,0.56,0.59,0.64
