,ENSSCAT00000021520_ENSSCAG00000013910,ENSTGUT00000011679_ENSTGUG00000011205,ENSFALT00000005775_ENSFALG00000005522,ENSJHYT00000006427_ENSJHYG00000004286,ENSZALT00000011090_ENSZALG00000006884,ENSPMJT00000026186_ENSPMJG00000014984,ENSPMJT00000026187_ENSPMJG00000014984,ENSCCET00000018130_ENSCCEG00000011318,ENSMVIT00005016654_ENSMVIG00005010611,ENSLCOT00000017809_ENSLCOG00000011976,ENSCPGT00000023795_ENSCPGG00000015154,ENSCPUT00000027032_ENSCPUG00000015579,ENSCPUT00000027033_ENSCPUG00000015579,ENSGALT00000015102_ENSGALG00000009282,ENSMGAT00000013098_ENSMGAG00000011652,ENSNMET00000034141_ENSNMEG00000019950,ENSMUNT00000000890_ENSMUNG00000000707,ENSNPET00000003742_ENSNPEG00000002804,ENSCPRT00005030914_ENSCPRG00005018346,ENSCPRT00005030916_ENSCPRG00005018346,ENSGAGT00000007975_ENSGAGG00000005543,ENSGAGT00000007980_ENSGAGG00000005543,ENSGAGT00000007982_ENSGAGG00000005543,ENSCABT00000003559_ENSCABG00000002509,ENSCABT00000003560_ENSCABG00000002509
ENSSCAT00000021520_ENSSCAG00000013910,1.0,0.79,0.88,0.88,0.88,0.83,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSTGUT00000011679_ENSTGUG00000011205,0.79,1.0,0.79,0.79,0.79,0.79,0.62,0.79,0.79,0.75,0.75,0.62,0.79,0.79,0.86,0.79,0.69,0.71,0.62,0.62,0.79,0.79,0.79,0.73,0.75
ENSFALT00000005775_ENSFALG00000005522,0.88,0.79,1.0,0.88,0.88,0.83,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSJHYT00000006427_ENSJHYG00000004286,0.88,0.79,0.88,1.0,0.88,0.83,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSZALT00000011090_ENSZALG00000006884,0.88,0.79,0.88,0.88,1.0,0.83,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSPMJT00000026186_ENSPMJG00000014984,0.83,0.79,0.83,0.83,0.83,1.0,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.79,0.65,0.65,0.83,0.83,0.83,0.77,0.83
ENSPMJT00000026187_ENSPMJG00000014984,0.65,0.62,0.65,0.65,0.65,0.65,1.0,0.65,0.65,0.62,0.65,0.54,0.65,0.65,0.62,0.65,0.64,0.62,0.54,0.54,0.65,0.65,0.65,0.61,0.62
ENSCCET00000018130_ENSCCEG00000011318,0.83,0.79,0.83,0.83,0.83,0.83,0.65,1.0,0.83,0.79,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSMVIT00005016654_ENSMVIG00005010611,0.83,0.79,0.83,0.83,0.83,0.83,0.65,0.83,1.0,0.83,0.79,0.65,0.83,0.83,0.79,0.83,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSLCOT00000017809_ENSLCOG00000011976,0.79,0.75,0.79,0.79,0.79,0.79,0.62,0.79,0.83,1.0,0.75,0.62,0.79,0.79,0.75,0.79,0.69,0.71,0.62,0.62,0.79,0.79,0.79,0.73,0.75
ENSCPGT00000023795_ENSCPGG00000015154,0.79,0.75,0.79,0.79,0.79,0.79,0.65,0.79,0.79,0.75,1.0,0.65,0.83,0.83,0.79,0.79,0.73,0.79,0.62,0.62,0.79,0.79,0.79,0.73,0.75
ENSCPUT00000027032_ENSCPUG00000015579,0.65,0.62,0.65,0.65,0.65,0.65,0.54,0.65,0.65,0.62,0.65,1.0,0.69,0.69,0.65,0.65,0.57,0.62,0.83,0.83,0.65,0.65,0.65,0.61,0.62
ENSCPUT00000027033_ENSCPUG00000015579,0.83,0.79,0.83,0.83,0.83,0.83,0.65,0.83,0.83,0.79,0.83,0.69,1.0,0.88,0.83,0.83,0.73,0.79,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSGALT00000015102_ENSGALG00000009282,0.83,0.79,0.83,0.83,0.83,0.83,0.65,0.83,0.83,0.79,0.83,0.69,0.88,1.0,0.83,0.83,0.73,0.79,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSMGAT00000013098_ENSMGAG00000011652,0.79,0.86,0.79,0.79,0.79,0.79,0.62,0.79,0.79,0.75,0.79,0.65,0.83,0.83,1.0,0.79,0.69,0.75,0.62,0.62,0.79,0.79,0.79,0.73,0.75
ENSNMET00000034141_ENSNMEG00000019950,0.83,0.79,0.83,0.83,0.83,0.83,0.65,0.83,0.83,0.79,0.79,0.65,0.83,0.83,0.79,1.0,0.73,0.75,0.65,0.65,0.83,0.83,0.83,0.77,0.79
ENSMUNT00000000890_ENSMUNG00000000707,0.73,0.69,0.73,0.73,0.73,0.73,0.64,0.73,0.73,0.69,0.73,0.57,0.73,0.73,0.69,0.73,1.0,0.69,0.57,0.57,0.73,0.73,0.73,0.68,0.69
ENSNPET00000003742_ENSNPEG00000002804,0.75,0.71,0.75,0.75,0.75,0.79,0.62,0.75,0.75,0.71,0.79,0.62,0.79,0.79,0.75,0.75,0.69,1.0,0.58,0.58,0.75,0.75,0.75,0.69,0.75
ENSCPRT00005030914_ENSCPRG00005018346,0.65,0.62,0.65,0.65,0.65,0.65,0.54,0.65,0.65,0.62,0.62,0.83,0.65,0.65,0.62,0.65,0.57,0.58,1.0,0.88,0.65,0.65,0.65,0.61,0.62
ENSCPRT00005030916_ENSCPRG00005018346,0.65,0.62,0.65,0.65,0.65,0.65,0.54,0.65,0.65,0.62,0.62,0.83,0.65,0.65,0.62,0.65,0.57,0.58,0.88,1.0,0.65,0.65,0.65,0.61,0.62
