,Y51H4A.5.1_WBGene00013101,C39B5.14.1_WBGene00189950,C39B5.14.2_WBGene00189950,Y49E10.18.1_WBGene00013037,Y49E10.16a.1_WBGene00013035,Y49E10.16b.1_WBGene00013035,Y54G2A.45a.1_WBGene00044488,Y54G2A.45a.2_WBGene00044488,Y54G2A.45b.1_WBGene00044488,Y54G2A.45c.1_WBGene00044488,K03H6.2a.1_WBGene00019368,K03H6.2b.1_WBGene00019368,K03H6.2c.1_WBGene00019368,Y49E10.25.1_WBGene00013044
Y51H4A.5.1_WBGene00013101,1.0,0.83,0.83,0.81,0.8,0.56,0.69,0.69,0.5,0.45,0.66,0.46,0.56,0.65
C39B5.14.1_WBGene00189950,0.83,1.0,0.87,0.81,0.8,0.56,0.69,0.69,0.5,0.45,0.66,0.46,0.56,0.65
C39B5.14.2_WBGene00189950,0.83,0.87,1.0,0.81,0.8,0.56,0.69,0.69,0.5,0.45,0.66,0.46,0.56,0.65
Y49E10.18.1_WBGene00013037,0.81,0.81,0.81,1.0,0.8,0.56,0.73,0.73,0.53,0.49,0.69,0.49,0.56,0.65
Y49E10.16a.1_WBGene00013035,0.8,0.8,0.8,0.8,1.0,0.6,0.69,0.69,0.5,0.45,0.67,0.47,0.56,0.65
Y49E10.16b.1_WBGene00013035,0.56,0.56,0.56,0.56,0.6,1.0,0.5,0.5,0.61,0.56,0.49,0.55,0.41,0.48
Y54G2A.45a.1_WBGene00044488,0.69,0.69,0.69,0.73,0.69,0.5,1.0,0.94,0.67,0.49,0.84,0.5,0.54,0.59
Y54G2A.45a.2_WBGene00044488,0.69,0.69,0.69,0.73,0.69,0.5,0.94,1.0,0.67,0.49,0.84,0.5,0.54,0.59
Y54G2A.45b.1_WBGene00044488,0.5,0.5,0.5,0.53,0.5,0.61,0.67,0.67,1.0,0.64,0.62,0.62,0.4,0.43
Y54G2A.45c.1_WBGene00044488,0.45,0.45,0.45,0.49,0.45,0.56,0.49,0.49,0.64,1.0,0.47,0.76,0.5,0.39
K03H6.2a.1_WBGene00019368,0.66,0.66,0.66,0.69,0.67,0.49,0.84,0.84,0.62,0.47,1.0,0.56,0.55,0.56
K03H6.2b.1_WBGene00019368,0.46,0.46,0.46,0.49,0.47,0.55,0.5,0.5,0.62,0.76,0.56,1.0,0.47,0.41
K03H6.2c.1_WBGene00019368,0.56,0.56,0.56,0.56,0.56,0.41,0.54,0.54,0.4,0.5,0.55,0.47,1.0,0.49
Y49E10.25.1_WBGene00013044,0.65,0.65,0.65,0.65,0.65,0.48,0.59,0.59,0.43,0.39,0.56,0.41,0.49,1.0
