,ENSRROT00000027446_ENSRROG00000024689,ENSRBIT00000043485_ENSRBIG00000033801,ENSPTET00000040607_ENSPTEG00000028642,ENSRROT00000046082_ENSRROG00000034841,ENSRBIT00000062916_ENSRBIG00000042925,ENSPTET00000040454_ENSPTEG00000028547,ENSMLET00000042152_ENSMLEG00000033531,ENSCATT00000004980_ENSCATG00000004566,ENSMFAT00000002603_ENSMFAG00000045574,ENSMMUT00000008573_ENSMMUG00000006133,ENSMNET00000066162_ENSMNEG00000043651,ENSTGET00000013876_ENSTGEG00000009412,ENSPANT00000043613_ENSPANG00000032486,ENSGGOT00000057796_ENSGGOG00000040768,ENSNLET00000056341_ENSNLEG00000034982
ENSRROT00000027446_ENSRROG00000024689,1.0,0.76,0.75,0.46,0.52,0.52,0.65,0.66,0.75,0.75,0.75,0.65,0.66,0.64,0.53
ENSRBIT00000043485_ENSRBIG00000033801,0.76,1.0,0.99,0.59,0.66,0.65,0.79,0.79,0.99,0.99,0.99,0.78,0.79,0.78,0.66
ENSPTET00000040607_ENSPTEG00000028642,0.75,0.99,1.0,0.58,0.65,0.66,0.78,0.78,0.99,0.98,0.99,0.78,0.79,0.77,0.65
ENSRROT00000046082_ENSRROG00000034841,0.46,0.59,0.58,1.0,0.82,0.82,0.64,0.64,0.58,0.58,0.58,0.64,0.64,0.64,0.78
ENSRBIT00000062916_ENSRBIG00000042925,0.52,0.66,0.65,0.82,1.0,0.93,0.72,0.72,0.65,0.65,0.65,0.72,0.72,0.72,0.9
ENSPTET00000040454_ENSPTEG00000028547,0.52,0.65,0.66,0.82,0.93,1.0,0.72,0.72,0.65,0.65,0.65,0.72,0.72,0.71,0.89
ENSMLET00000042152_ENSMLEG00000033531,0.65,0.79,0.78,0.64,0.72,0.72,1.0,0.99,0.79,0.79,0.79,0.99,0.99,0.97,0.79
ENSCATT00000004980_ENSCATG00000004566,0.66,0.79,0.78,0.64,0.72,0.72,0.99,1.0,0.79,0.79,0.79,0.99,0.99,0.97,0.78
ENSMFAT00000002603_ENSMFAG00000045574,0.75,0.99,0.99,0.58,0.65,0.65,0.79,0.79,1.0,1.0,1.0,0.79,0.79,0.77,0.65
ENSMMUT00000008573_ENSMMUG00000006133,0.75,0.99,0.98,0.58,0.65,0.65,0.79,0.79,1.0,1.0,1.0,0.79,0.79,0.77,0.65
ENSMNET00000066162_ENSMNEG00000043651,0.75,0.99,0.99,0.58,0.65,0.65,0.79,0.79,1.0,1.0,1.0,0.79,0.79,0.77,0.65
ENSTGET00000013876_ENSTGEG00000009412,0.65,0.78,0.78,0.64,0.72,0.72,0.99,0.99,0.79,0.79,0.79,1.0,0.99,0.97,0.78
ENSPANT00000043613_ENSPANG00000032486,0.66,0.79,0.79,0.64,0.72,0.72,0.99,0.99,0.79,0.79,0.79,0.99,1.0,0.97,0.79
ENSGGOT00000057796_ENSGGOG00000040768,0.64,0.78,0.77,0.64,0.72,0.71,0.97,0.97,0.77,0.77,0.77,0.97,0.97,1.0,0.8
ENSNLET00000056341_ENSNLEG00000034982,0.53,0.66,0.65,0.78,0.9,0.89,0.79,0.78,0.65,0.65,0.65,0.78,0.79,0.8,1.0
