,ENSELUT00000040775_ENSELUG00000000732,ENSHHUT00000053155_ENSHHUG00000030916,ENSHHUT00000020316_ENSHHUG00000012242,ENSNBRT00000007233_ENSNBRG00000005504,ENSMZET00005015142_ENSMZEG00005011029,ENSACLT00000041047_ENSACLG00000027026,ENSPNYT00000010254_ENSPNYG00000007603,ENSACLT00000027498_ENSACLG00000018272,ENSHBUT00000002957_ENSHBUG00000009336,ENSPNYT00000023877_ENSPNYG00000017592,ENSSFOT00015011609_ENSSFOG00015007396,ENSNBRT00000019573_ENSNBRG00000014712,ENSECRT00000032473_ENSECRG00000021534
ENSELUT00000040775_ENSELUG00000000732,1.0,0.16,0.15,0.24,0.16,0.15,0.22,0.23,0.15,0.21,0.08,0.15,0.17
ENSHHUT00000053155_ENSHHUG00000030916,0.16,1.0,0.16,0.16,0.17,0.22,0.14,0.15,0.14,0.14,0.18,0.15,0.17
ENSHHUT00000020316_ENSHHUG00000012242,0.15,0.16,1.0,0.24,0.26,0.24,0.14,0.14,0.22,0.14,0.1,0.23,0.29
ENSNBRT00000007233_ENSNBRG00000005504,0.24,0.16,0.24,1.0,0.25,0.14,0.24,0.24,0.34,0.22,0.1,0.23,0.3
ENSMZET00005015142_ENSMZEG00005011029,0.16,0.17,0.26,0.25,1.0,0.38,0.15,0.16,0.25,0.16,0.09,0.26,0.37
ENSACLT00000041047_ENSACLG00000027026,0.15,0.22,0.24,0.14,0.38,1.0,0.14,0.14,0.13,0.14,0.14,0.15,0.15
ENSPNYT00000010254_ENSPNYG00000007603,0.22,0.14,0.14,0.24,0.15,0.14,1.0,0.59,0.45,0.48,0.2,0.15,0.15
ENSACLT00000027498_ENSACLG00000018272,0.23,0.15,0.14,0.24,0.16,0.14,0.59,1.0,0.45,0.48,0.2,0.15,0.16
ENSHBUT00000002957_ENSHBUG00000009336,0.15,0.14,0.22,0.34,0.25,0.13,0.45,0.45,1.0,0.38,0.2,0.23,0.29
ENSPNYT00000023877_ENSPNYG00000017592,0.21,0.14,0.14,0.22,0.16,0.14,0.48,0.48,0.38,1.0,0.18,0.15,0.16
ENSSFOT00015011609_ENSSFOG00015007396,0.08,0.18,0.1,0.1,0.09,0.14,0.2,0.2,0.2,0.18,1.0,0.08,0.1
ENSNBRT00000019573_ENSNBRG00000014712,0.15,0.15,0.23,0.23,0.26,0.15,0.15,0.15,0.23,0.15,0.08,1.0,0.29
ENSECRT00000032473_ENSECRG00000021534,0.17,0.17,0.29,0.3,0.37,0.15,0.15,0.16,0.29,0.16,0.1,0.29,1.0
