,FBtr0089682_FBgn0261618,FBtr0301181_FBgn0261618,FBtr0301180_FBgn0261618,FBtr0306389_FBgn0261618,FBtr0306388_FBgn0261618,FBtr0089680_FBgn0261618,FBtr0306390_FBgn0261618,R144.7a.1_WBGene00020097,R144.7b.1_WBGene00020097,R144.7b.2_WBGene00020097,ENSCSAVT00000015383_ENSCSAVG00000008918
FBtr0089682_FBgn0261618,1.0,0.9,0.49,0.49,0.53,0.9,0.49,0.22,0.16,0.16,0.27
FBtr0301181_FBgn0261618,0.9,1.0,0.49,0.49,0.53,0.9,0.49,0.22,0.16,0.16,0.27
FBtr0301180_FBgn0261618,0.49,0.49,1.0,0.95,0.7,0.49,0.95,0.11,0.06,0.06,0.16
FBtr0306389_FBgn0261618,0.49,0.49,0.95,1.0,0.7,0.49,0.95,0.11,0.06,0.06,0.16
FBtr0306388_FBgn0261618,0.53,0.53,0.7,0.7,1.0,0.53,0.7,0.15,0.1,0.1,0.2
FBtr0089680_FBgn0261618,0.9,0.9,0.49,0.49,0.53,1.0,0.49,0.22,0.16,0.16,0.27
FBtr0306390_FBgn0261618,0.49,0.49,0.95,0.95,0.7,0.49,1.0,0.11,0.06,0.06,0.16
R144.7a.1_WBGene00020097,0.22,0.22,0.11,0.11,0.15,0.22,0.11,1.0,0.67,0.67,0.29
R144.7b.1_WBGene00020097,0.16,0.16,0.06,0.06,0.1,0.16,0.06,0.67,1.0,0.98,0.23
R144.7b.2_WBGene00020097,0.16,0.16,0.06,0.06,0.1,0.16,0.06,0.67,0.98,1.0,0.23
ENSCSAVT00000015383_ENSCSAVG00000008918,0.27,0.27,0.16,0.16,0.2,0.27,0.16,0.29,0.23,0.23,1.0
