,ENSEBUT00000021062_ENSEBUG00000012693,ENSEBUT00000021090_ENSEBUG00000012693,ENSVURT00010003713_ENSVURG00010002629,ENSPCIT00000042791_ENSPCIG00000025724,ENSPCIT00000042792_ENSPCIG00000025724,ENSPCIT00000042793_ENSPCIG00000025724,ENSPCIT00000042799_ENSPCIG00000025724,ENSSHAT00000016799_ENSSHAG00000014171,ENSSHAT00000016800_ENSSHAG00000014171,ENSMODT00000031070_ENSMODG00000017736,ENSMODT00000085109_ENSMODG00000017736,ENSPCAT00000016949_ENSPCAG00000016921,ENSETET00000004803_ENSETEG00000004798,ENSUAMT00000007953_ENSUAMG00000006142,ENSUMAT00000034653_ENSUMAG00000021256,ENSAMET00000001367_ENSAMEG00000001214,ENSNVIT00000019547_ENSNVIG00000013024,ENSNVIT00000019561_ENSNVIG00000013024,ENSNVIT00000019570_ENSNVIG00000013024
ENSEBUT00000021062_ENSEBUG00000012693,1.0,0.82,0.45,0.44,0.38,0.45,0.55,0.45,0.35,0.45,0.42,0.27,0.2,0.55,0.55,0.42,0.45,0.55,0.37
ENSEBUT00000021090_ENSEBUG00000012693,0.82,1.0,0.47,0.47,0.4,0.47,0.58,0.47,0.37,0.47,0.44,0.29,0.21,0.58,0.58,0.44,0.47,0.58,0.38
ENSVURT00010003713_ENSVURG00010002629,0.45,0.47,1.0,0.88,0.8,0.91,0.67,0.9,0.65,0.9,0.85,0.45,0.35,0.65,0.65,0.8,0.86,0.65,0.72
ENSPCIT00000042791_ENSPCIG00000025724,0.44,0.47,0.88,1.0,0.83,0.89,0.67,0.88,0.64,0.88,0.82,0.43,0.33,0.64,0.64,0.78,0.83,0.64,0.69
ENSPCIT00000042792_ENSPCIG00000025724,0.38,0.4,0.8,0.83,1.0,0.81,0.6,0.8,0.58,0.8,0.74,0.41,0.32,0.57,0.57,0.7,0.75,0.57,0.62
ENSPCIT00000042793_ENSPCIG00000025724,0.45,0.47,0.91,0.89,0.81,1.0,0.68,0.9,0.65,0.9,0.85,0.45,0.35,0.65,0.65,0.8,0.86,0.65,0.72
ENSPCIT00000042799_ENSPCIG00000025724,0.55,0.58,0.67,0.67,0.6,0.68,1.0,0.67,0.5,0.67,0.62,0.39,0.29,0.85,0.85,0.64,0.65,0.85,0.52
ENSSHAT00000016799_ENSSHAG00000014171,0.45,0.47,0.9,0.88,0.8,0.9,0.67,1.0,0.66,0.9,0.85,0.45,0.35,0.65,0.65,0.8,0.86,0.65,0.72
ENSSHAT00000016800_ENSSHAG00000014171,0.35,0.37,0.65,0.64,0.58,0.65,0.5,0.66,1.0,0.65,0.61,0.37,0.27,0.48,0.48,0.59,0.62,0.48,0.53
ENSMODT00000031070_ENSMODG00000017736,0.45,0.47,0.9,0.88,0.8,0.9,0.67,0.9,0.65,1.0,0.86,0.45,0.35,0.65,0.65,0.8,0.86,0.65,0.72
ENSMODT00000085109_ENSMODG00000017736,0.42,0.44,0.85,0.82,0.74,0.85,0.62,0.85,0.61,0.86,1.0,0.42,0.32,0.61,0.61,0.76,0.81,0.61,0.68
ENSPCAT00000016949_ENSPCAG00000016921,0.27,0.29,0.45,0.43,0.41,0.45,0.39,0.45,0.37,0.45,0.42,1.0,0.34,0.41,0.41,0.47,0.48,0.41,0.46
ENSETET00000004803_ENSETEG00000004798,0.2,0.21,0.35,0.33,0.32,0.35,0.29,0.35,0.27,0.35,0.32,0.34,1.0,0.3,0.3,0.36,0.36,0.3,0.34
ENSUAMT00000007953_ENSUAMG00000006142,0.55,0.58,0.65,0.64,0.57,0.65,0.85,0.65,0.48,0.65,0.61,0.41,0.3,1.0,0.91,0.69,0.67,0.91,0.54
ENSUMAT00000034653_ENSUMAG00000021256,0.55,0.58,0.65,0.64,0.57,0.65,0.85,0.65,0.48,0.65,0.61,0.41,0.3,0.91,1.0,0.69,0.67,0.91,0.54
ENSAMET00000001367_ENSAMEG00000001214,0.42,0.44,0.8,0.78,0.7,0.8,0.64,0.8,0.59,0.8,0.76,0.47,0.36,0.69,0.69,1.0,0.85,0.69,0.74
ENSNVIT00000019547_ENSNVIG00000013024,0.45,0.47,0.86,0.83,0.75,0.86,0.65,0.86,0.62,0.86,0.81,0.48,0.36,0.67,0.67,0.85,1.0,0.68,0.77
ENSNVIT00000019561_ENSNVIG00000013024,0.55,0.58,0.65,0.64,0.57,0.65,0.85,0.65,0.48,0.65,0.61,0.41,0.3,0.91,0.91,0.69,0.68,1.0,0.55
ENSNVIT00000019570_ENSNVIG00000013024,0.37,0.38,0.72,0.69,0.62,0.72,0.52,0.72,0.53,0.72,0.68,0.46,0.34,0.54,0.54,0.74,0.77,0.55,1.0
