,FBtr0088941_FBgn0033210,H20J04.8.1_WBGene00003390,H20J04.8.2_WBGene00003390,ENSPVIT00000006750_ENSPVIG00000004298,ENSPVIT00000006751_ENSPVIG00000004298,ENSACAT00000003179_ENSACAG00000003173,ENSNSUT00000002881_ENSNSUG00000002204,ENSSMRT00000033784_ENSSMRG00000022283,ENSSPUT00000015072_ENSSPUG00000010899,ENSNPET00000011076_ENSNPEG00000008121,ENSNPET00000011079_ENSNPEG00000008121,ENSCPGT00000021985_ENSCPGG00000014058,ENSGALT00000011612_ENSGALG00000007170,ENSGALT00000089609_ENSGALG00000007170,ENSCJPT00005036055_ENSCJPG00005020683,ENSCJPT00005036072_ENSCJPG00005020683,ENSNMET00000040040_ENSNMEG00000023218,ENSMUNT00000012773_ENSMUNG00000008682,ENSCCET00000013806_ENSCCEG00000008909,ENSFALT00000010683_ENSFALG00000010195,ENSSCAT00000014450_ENSSCAG00000009581,ENSJHYT00000021084_ENSJHYG00000013338,ENSJHYT00000021090_ENSJHYG00000013338,ENSLCOT00000007402_ENSLCOG00000005126,ENSMVIT00005016662_ENSMVIG00005010619,ENSPMJT00000016788_ENSPMJG00000009778,ENSPMJT00000016790_ENSPMJG00000009778
FBtr0088941_FBgn0033210,1.0,0.57,0.57,0.1,0.16,0.1,0.1,0.1,0.11,0.11,0.12,0.1,0.1,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.09,0.11
H20J04.8.1_WBGene00003390,0.57,1.0,0.6,0.11,0.16,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.11
H20J04.8.2_WBGene00003390,0.57,0.6,1.0,0.11,0.16,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.11
ENSPVIT00000006750_ENSPVIG00000004298,0.1,0.11,0.11,1.0,0.76,0.9,0.9,0.9,0.74,0.72,0.35,0.9,0.9,0.53,0.45,0.9,0.9,0.75,0.9,0.9,0.9,0.73,0.4,0.9,0.9,0.89,0.52
ENSPVIT00000006751_ENSPVIG00000004298,0.16,0.16,0.16,0.76,1.0,0.76,0.76,0.76,0.76,0.57,0.21,0.75,0.75,0.39,0.31,0.75,0.75,0.61,0.75,0.75,0.75,0.75,0.38,0.75,0.75,0.74,0.38
ENSACAT00000003179_ENSACAG00000003173,0.1,0.11,0.11,0.9,0.76,1.0,0.9,0.9,0.74,0.72,0.34,0.9,0.9,0.53,0.45,0.9,0.9,0.75,0.9,0.9,0.9,0.73,0.4,0.9,0.9,0.89,0.52
ENSNSUT00000002881_ENSNSUG00000002204,0.1,0.11,0.11,0.9,0.76,0.9,1.0,0.9,0.75,0.72,0.35,0.9,0.9,0.53,0.45,0.9,0.9,0.75,0.9,0.9,0.9,0.73,0.4,0.9,0.9,0.89,0.52
ENSSMRT00000033784_ENSSMRG00000022283,0.1,0.11,0.11,0.9,0.76,0.9,0.9,1.0,0.74,0.72,0.35,0.9,0.9,0.53,0.45,0.9,0.9,0.75,0.9,0.9,0.9,0.73,0.4,0.9,0.9,0.89,0.52
ENSSPUT00000015072_ENSSPUG00000010899,0.11,0.11,0.11,0.74,0.76,0.74,0.75,0.74,1.0,0.58,0.24,0.74,0.74,0.41,0.34,0.74,0.74,0.61,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.73,0.4
ENSNPET00000011076_ENSNPEG00000008121,0.11,0.11,0.11,0.72,0.57,0.72,0.72,0.72,0.58,1.0,0.49,0.72,0.72,0.35,0.32,0.72,0.72,0.57,0.72,0.72,0.72,0.57,0.24,0.72,0.72,0.71,0.34
