,FBtr0072527_FBgn0035110,FBtr0072526_FBgn0035110,B0513.2a.1_WBGene00007195,B0513.2a.2_WBGene00007195,B0513.2b.1_WBGene00007195,ENSCHAT00000063263_ENSCHAG00000026411,ENSCHAT00000063272_ENSCHAG00000026411,ENSCHAT00000063276_ENSCHAG00000026411,ENSDCDT00000030817_ENSDCDG00000017329,ENSAMXT00000014847_ENSAMXG00000014367
FBtr0072527_FBgn0035110,1.0,0.8,0.09,0.09,0.08,0.14,0.13,0.14,0.2,0.14
FBtr0072526_FBgn0035110,0.8,1.0,0.09,0.09,0.08,0.14,0.13,0.14,0.2,0.14
B0513.2a.1_WBGene00007195,0.09,0.09,1.0,0.95,0.3,0.13,0.15,0.17,0.12,0.13
B0513.2a.2_WBGene00007195,0.09,0.09,0.95,1.0,0.3,0.13,0.15,0.17,0.12,0.13
B0513.2b.1_WBGene00007195,0.08,0.08,0.3,0.3,1.0,0.12,0.12,0.12,0.11,0.12
ENSCHAT00000063263_ENSCHAG00000026411,0.14,0.14,0.13,0.13,0.12,1.0,0.67,0.69,0.66,0.83
ENSCHAT00000063272_ENSCHAG00000026411,0.13,0.13,0.15,0.15,0.12,0.67,1.0,0.55,0.52,0.65
ENSCHAT00000063276_ENSCHAG00000026411,0.14,0.14,0.17,0.17,0.12,0.69,0.55,1.0,0.66,0.67
ENSDCDT00000030817_ENSDCDG00000017329,0.2,0.2,0.12,0.12,0.11,0.66,0.52,0.66,1.0,0.66
ENSAMXT00000014847_ENSAMXG00000014367,0.14,0.14,0.13,0.13,0.12,0.83,0.65,0.67,0.66,1.0
