,ENSMICT00000014611_ENSMICG00000014616,ENSPSMT00000038376_ENSPSMG00000022979,ENSPSMT00000038377_ENSPSMG00000022979,ENSPCOT00000034833_ENSPCOG00000024248,ENSPPAT00000004460_ENSPPAG00000004059,ENSPPAT00000004492_ENSPPAG00000004059,ENSPTRT00000076905_ENSPTRG00000007259,ENSPTRT00000013394_ENSPTRG00000007259,ENST00000331090_ENSG00000183324,ENST00000560581_ENSG00000183324,ENSGGOT00000000745_ENSGGOG00000000741,ENSGGOT00000060000_ENSGGOG00000000741,ENSNLET00000018137_ENSNLEG00000014221,ENSNLET00000059913_ENSNLEG00000014221,ENSMFAT00000007212_ENSMFAG00000003031,ENSMFAT00000007214_ENSMFAG00000003031,ENSMMUT00000013787_ENSMMUG00000009867,ENSMMUT00000040373_ENSMMUG00000009867,ENSMNET00000042341_ENSMNEG00000033004,ENSMNET00000042344_ENSMNEG00000033004,ENSCATT00000038817_ENSCATG00000031364,ENSCATT00000038822_ENSCATG00000031364,ENSMLET00000038537_ENSMLEG00000031713,ENSMLET00000038542_ENSMLEG00000031713,ENSTGET00000041096_ENSTGEG00000027599,ENSTGET00000041098_ENSTGEG00000027599,ENSPANT00000022495_ENSPANG00000016123,ENSPANT00000038109_ENSPANG00000016123,ENSCSAT00000012101_ENSCSAG00000014012,ENSRROT00000066837_ENSRROG00000044322,ENSRROT00000066838_ENSRROG00000044322,ENSPTET00000034998_ENSPTEG00000025075,ENSPTET00000035000_ENSPTEG00000025075
ENSMICT00000014611_ENSMICG00000014616,1.0,0.97,0.8,0.84,0.94,0.77,0.94,0.77,0.9,0.73,0.94,0.77,0.94,0.77,0.94,0.77,0.8,0.94,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.94,0.76,0.94,0.77
ENSPSMT00000038376_ENSPSMG00000022979,0.97,1.0,0.83,0.84,0.94,0.77,0.94,0.77,0.9,0.73,0.94,0.77,0.94,0.76,0.94,0.76,0.79,0.94,0.94,0.76,0.94,0.76,0.93,0.76,0.93,0.76,0.93,0.76,0.93,0.93,0.76,0.93,0.76
ENSPSMT00000038377_ENSPSMG00000022979,0.8,0.83,1.0,0.66,0.77,0.94,0.77,0.94,0.73,0.89,0.77,0.94,0.76,0.94,0.76,0.94,0.67,0.76,0.76,0.94,0.76,0.94,0.76,0.94,0.76,0.94,0.76,0.94,0.76,0.76,0.93,0.76,0.94
ENSPCOT00000034833_ENSPCOG00000024248,0.84,0.84,0.66,1.0,0.81,0.63,0.81,0.63,0.76,0.59,0.81,0.63,0.8,0.63,0.8,0.63,0.67,0.8,0.8,0.63,0.8,0.63,0.8,0.63,0.8,0.63,0.8,0.63,0.8,0.8,0.63,0.8,0.63
ENSPPAT00000004460_ENSPPAG00000004059,0.94,0.94,0.77,0.81,1.0,0.83,1.0,0.83,0.96,0.78,1.0,0.82,0.99,0.82,0.99,0.81,0.84,0.99,0.99,0.81,0.99,0.81,0.98,0.81,0.99,0.81,0.99,0.81,0.98,0.98,0.81,0.98,0.81
ENSPPAT00000004492_ENSPPAG00000004059,0.77,0.77,0.94,0.63,0.83,1.0,0.83,1.0,0.78,0.95,0.82,1.0,0.82,0.99,0.81,0.99,0.72,0.81,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.81,0.98,0.81,0.98
ENSPTRT00000076905_ENSPTRG00000007259,0.94,0.94,0.77,0.81,1.0,0.83,1.0,0.83,0.96,0.78,1.0,0.82,0.99,0.82,0.99,0.81,0.84,0.99,0.99,0.81,0.99,0.81,0.98,0.81,0.99,0.81,0.99,0.81,0.98,0.98,0.81,0.98,0.81
ENSPTRT00000013394_ENSPTRG00000007259,0.77,0.77,0.94,0.63,0.83,1.0,0.83,1.0,0.78,0.95,0.82,1.0,0.82,0.99,0.81,0.99,0.72,0.81,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.99,0.81,0.81,0.98,0.81,0.98
ENST00000331090_ENSG00000183324,0.9,0.9,0.73,0.76,0.96,0.78,0.96,0.78,1.0,0.83,0.95,0.78,0.95,0.77,0.94,0.77,0.8,0.94,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.77,0.94,0.94,0.77,0.94,0.77
ENST00000560581_ENSG00000183324,0.73,0.73,0.89,0.59,0.78,0.95,0.78,0.95,0.83,1.0,0.78,0.94,0.77,0.94,0.77,0.94,0.68,0.77,0.77,0.94,0.77,0.93,0.77,0.93,0.77,0.93,0.77,0.93,0.77,0.77,0.93,0.77,0.93
