,ENSSFOT00015026784_ENSSFOG00015016948,ENSSFOT00015026843_ENSSFOG00015016948,ENSSFOT00015026897_ENSSFOG00015016948,ENSPKIT00000034240_ENSPKIG00000024957,ENSPKIT00000034256_ENSPKIG00000024957,ENSPKIT00000034277_ENSPKIG00000024957,ENSSFOT00015016159_ENSSFOG00015010227,ENSSFOT00015016199_ENSSFOG00015010227,ENSSFOT00015016239_ENSSFOG00015010227,ENSSFOT00015016293_ENSSFOG00015010227,ENSPKIT00000026548_ENSPKIG00000020334,ENSPKIT00000026605_ENSPKIG00000020334,ENSPKIT00000026670_ENSPKIG00000020334,ENSPKIT00000026746_ENSPKIG00000020334,ENSPKIT00000026809_ENSPKIG00000020334,ENSPKIT00000026866_ENSPKIG00000020334,ENSPKIT00000026916_ENSPKIG00000020334
ENSSFOT00015026784_ENSSFOG00015016948,1.0,0.98,0.95,0.78,0.74,0.54,0.87,0.84,0.85,0.53,0.84,0.81,0.86,0.81,0.79,0.79,0.73
ENSSFOT00015026843_ENSSFOG00015016948,0.98,1.0,0.92,0.76,0.72,0.56,0.84,0.86,0.82,0.55,0.81,0.84,0.84,0.79,0.77,0.77,0.75
ENSSFOT00015026897_ENSSFOG00015016948,0.95,0.92,1.0,0.83,0.78,0.55,0.83,0.8,0.9,0.54,0.79,0.77,0.81,0.77,0.84,0.8,0.73
ENSPKIT00000034240_ENSPKIG00000024957,0.78,0.76,0.83,1.0,0.93,0.66,0.73,0.72,0.8,0.6,0.7,0.68,0.71,0.68,0.75,0.7,0.7
ENSPKIT00000034256_ENSPKIG00000024957,0.74,0.72,0.78,0.93,1.0,0.65,0.7,0.68,0.76,0.59,0.66,0.65,0.68,0.65,0.7,0.67,0.66
ENSPKIT00000034277_ENSPKIG00000024957,0.54,0.56,0.55,0.66,0.65,1.0,0.51,0.52,0.52,0.66,0.52,0.54,0.54,0.5,0.52,0.53,0.62
ENSSFOT00015016159_ENSSFOG00015010227,0.87,0.84,0.83,0.73,0.7,0.51,1.0,0.96,0.91,0.58,0.83,0.81,0.86,0.81,0.8,0.8,0.73
ENSSFOT00015016199_ENSSFOG00015010227,0.84,0.86,0.8,0.72,0.68,0.52,0.96,1.0,0.88,0.59,0.81,0.83,0.83,0.78,0.77,0.78,0.75
ENSSFOT00015016239_ENSSFOG00015010227,0.85,0.82,0.9,0.8,0.76,0.52,0.91,0.88,1.0,0.59,0.81,0.79,0.84,0.78,0.86,0.82,0.75
ENSSFOT00015016293_ENSSFOG00015010227,0.53,0.55,0.54,0.6,0.59,0.66,0.58,0.59,0.59,1.0,0.55,0.57,0.57,0.53,0.55,0.56,0.64
ENSPKIT00000026548_ENSPKIG00000020334,0.84,0.81,0.79,0.7,0.66,0.52,0.83,0.81,0.81,0.55,1.0,0.96,0.96,0.95,0.93,0.93,0.81
ENSPKIT00000026605_ENSPKIG00000020334,0.81,0.84,0.77,0.68,0.65,0.54,0.81,0.83,0.79,0.57,0.96,1.0,0.93,0.92,0.91,0.91,0.83
ENSPKIT00000026670_ENSPKIG00000020334,0.86,0.84,0.81,0.71,0.68,0.54,0.86,0.83,0.84,0.57,0.96,0.93,1.0,0.92,0.91,0.91,0.83
ENSPKIT00000026746_ENSPKIG00000020334,0.81,0.79,0.77,0.68,0.65,0.5,0.81,0.78,0.78,0.53,0.95,0.92,0.92,1.0,0.9,0.9,0.78
ENSPKIT00000026809_ENSPKIG00000020334,0.79,0.77,0.84,0.75,0.7,0.52,0.8,0.77,0.86,0.55,0.93,0.91,0.91,0.9,1.0,0.94,0.81
ENSPKIT00000026866_ENSPKIG00000020334,0.79,0.77,0.8,0.7,0.67,0.53,0.8,0.78,0.82,0.56,0.93,0.91,0.91,0.9,0.94,1.0,0.82
ENSPKIT00000026916_ENSPKIG00000020334,0.73,0.75,0.73,0.7,0.66,0.62,0.73,0.75,0.75,0.64,0.81,0.83,0.83,0.78,0.81,0.82,1.0
