,ENSAPET00000023447_ENSAPEG00000016281,ENSAOCT00000001038_ENSAOCG00000012462,ENSAPOT00000009346_ENSAPOG00000006470,ENSSPAT00000019989_ENSSPAG00000014850,ENSPRNT00000011519_ENSPRNG00000006093,ENSKMAT00000028762_ENSKMAG00000021055,ENSMALT00000015322_ENSMALG00000010557,ENSMAMT00000025006_ENSMAMG00000016404,ENSATET00000009087_ENSATEG00000006290,ENSBSLT00000062725_ENSBSLG00000026719
ENSAPET00000023447_ENSAPEG00000016281,1.0,0.89,0.86,0.19,0.72,0.73,0.74,0.68,0.67,0.7
ENSAOCT00000001038_ENSAOCG00000012462,0.89,1.0,0.86,0.19,0.72,0.73,0.74,0.68,0.68,0.71
ENSAPOT00000009346_ENSAPOG00000006470,0.86,0.86,1.0,0.19,0.71,0.72,0.73,0.67,0.67,0.7
ENSSPAT00000019989_ENSSPAG00000014850,0.19,0.19,0.19,1.0,0.16,0.18,0.16,0.14,0.14,0.14
ENSPRNT00000011519_ENSPRNG00000006093,0.72,0.72,0.71,0.16,1.0,0.7,0.74,0.68,0.67,0.7
ENSKMAT00000028762_ENSKMAG00000021055,0.73,0.73,0.72,0.18,0.7,1.0,0.72,0.65,0.64,0.68
ENSMALT00000015322_ENSMALG00000010557,0.74,0.74,0.73,0.16,0.74,0.72,1.0,0.73,0.72,0.74
ENSMAMT00000025006_ENSMAMG00000016404,0.68,0.68,0.67,0.14,0.68,0.65,0.73,1.0,0.83,0.69
ENSATET00000009087_ENSATEG00000006290,0.67,0.68,0.67,0.14,0.67,0.64,0.72,0.83,1.0,0.71
ENSBSLT00000062725_ENSBSLG00000026719,0.7,0.71,0.7,0.14,0.7,0.68,0.74,0.69,0.71,1.0
