,FBtr0346075_FBgn0052488,FBtr0073008_FBgn0052488,FBtr0071773_FBgn0034713,FBtr0347063_FBgn0036759,FBtr0075162_FBgn0036759,FBtr0073007_FBgn0052487,FBtr0075161_FBgn0036760,C45E5.1.1_WBGene00016664,C45E5.1.2_WBGene00016664,ENSCSAVT00000009658_ENSCSAVG00000005605
FBtr0346075_FBgn0052488,1.0,0.6,0.58,0.3,0.3,0.57,0.11,0.33,0.33,0.2
FBtr0073008_FBgn0052488,0.6,1.0,0.58,0.3,0.3,0.57,0.11,0.33,0.33,0.2
FBtr0071773_FBgn0034713,0.58,0.58,1.0,0.3,0.3,0.57,0.11,0.33,0.33,0.2
FBtr0347063_FBgn0036759,0.3,0.3,0.3,1.0,0.86,0.3,0.11,0.21,0.21,0.11
FBtr0075162_FBgn0036759,0.3,0.3,0.3,0.86,1.0,0.3,0.11,0.21,0.21,0.11
FBtr0073007_FBgn0052487,0.57,0.57,0.57,0.3,0.3,1.0,0.11,0.33,0.33,0.2
FBtr0075161_FBgn0036760,0.11,0.11,0.11,0.11,0.11,0.11,1.0,0.13,0.13,0.14
C45E5.1.1_WBGene00016664,0.33,0.33,0.33,0.21,0.21,0.33,0.13,1.0,0.7,0.31
C45E5.1.2_WBGene00016664,0.33,0.33,0.33,0.21,0.21,0.33,0.13,0.7,1.0,0.31
ENSCSAVT00000009658_ENSCSAVG00000005605,0.2,0.2,0.2,0.11,0.11,0.2,0.14,0.31,0.31,1.0
