,ENSCSAVT00000006922_ENSCSAVG00000004079,ENSCSAVT00000006923_ENSCSAVG00000004079,ENSCSAVT00000006924_ENSCSAVG00000004079,ENSCSAVT00000006925_ENSCSAVG00000004079,ENSCSAVT00000006926_ENSCSAVG00000004079,ENSCSAVT00000006927_ENSCSAVG00000004079,ENSCSAVT00000006928_ENSCSAVG00000004079,ENSCSAVT00000006929_ENSCSAVG00000004079,ENSCSAVT00000006930_ENSCSAVG00000004079,ENSCINT00000017293_ENSCING00000008480,ENSCMIT00000004689_ENSCMIG00000002700,ENSCMIT00000004691_ENSCMIG00000002700,FBtr0306349_FBgn0025865,FBtr0306348_FBgn0025865,FBtr0306347_FBgn0025865,FBtr0084039_FBgn0025865
ENSCSAVT00000006922_ENSCSAVG00000004079,1.0,0.67,0.65,0.65,0.66,0.65,0.65,0.66,0.65,0.64,0.75,0.75,0.64,0.64,0.64,0.64
ENSCSAVT00000006923_ENSCSAVG00000004079,0.67,1.0,0.87,0.85,0.94,0.9,0.86,0.85,0.86,0.72,0.68,0.69,0.6,0.6,0.6,0.6
ENSCSAVT00000006924_ENSCSAVG00000004079,0.65,0.87,1.0,0.95,0.84,0.89,0.93,0.91,0.85,0.78,0.71,0.69,0.6,0.6,0.6,0.6
ENSCSAVT00000006925_ENSCSAVG00000004079,0.65,0.85,0.95,1.0,0.82,0.87,0.9,0.89,0.84,0.77,0.69,0.68,0.59,0.59,0.59,0.59
ENSCSAVT00000006926_ENSCSAVG00000004079,0.66,0.94,0.84,0.82,1.0,0.92,0.89,0.88,0.88,0.71,0.67,0.68,0.59,0.59,0.59,0.59
ENSCSAVT00000006927_ENSCSAVG00000004079,0.65,0.9,0.89,0.87,0.92,1.0,0.94,0.94,0.94,0.72,0.69,0.67,0.59,0.59,0.59,0.59
ENSCSAVT00000006928_ENSCSAVG00000004079,0.65,0.86,0.93,0.9,0.89,0.94,1.0,0.96,0.9,0.75,0.69,0.67,0.59,0.59,0.59,0.59
ENSCSAVT00000006929_ENSCSAVG00000004079,0.66,0.85,0.91,0.89,0.88,0.94,0.96,1.0,0.89,0.76,0.7,0.68,0.59,0.59,0.59,0.59
ENSCSAVT00000006930_ENSCSAVG00000004079,0.65,0.86,0.85,0.84,0.88,0.94,0.9,0.89,1.0,0.7,0.7,0.68,0.59,0.59,0.59,0.59
ENSCINT00000017293_ENSCING00000008480,0.64,0.72,0.78,0.77,0.71,0.72,0.75,0.76,0.7,1.0,0.69,0.68,0.58,0.58,0.58,0.58
ENSCMIT00000004689_ENSCMIG00000002700,0.75,0.68,0.71,0.69,0.67,0.69,0.69,0.7,0.7,0.69,1.0,0.84,0.69,0.69,0.69,0.69
ENSCMIT00000004691_ENSCMIG00000002700,0.75,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.68,0.68,0.84,1.0,0.7,0.7,0.7,0.7
FBtr0306349_FBgn0025865,0.64,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.69,0.7,1.0,0.97,0.97,0.97
FBtr0306348_FBgn0025865,0.64,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.69,0.7,0.97,1.0,0.97,0.97
FBtr0306347_FBgn0025865,0.64,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.69,0.7,0.97,0.97,1.0,0.97
FBtr0084039_FBgn0025865,0.64,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.69,0.7,0.97,0.97,0.97,1.0
