,ENSPMAT00000003774_ENSPMAG00000003441,ENSEBUT00000009194_ENSEBUG00000005614,ENSLACT00000002923_ENSLACG00000002593,ENSXETT00000010541_ENSXETG00000001424,ENSXETT00000010566_ENSXETG00000001424,ENSXETT00000010740_ENSXETG00000001424,ENSXETT00000010784_ENSXETG00000001424,ENSDCDT00000026355_ENSDCDG00000015201,ENSCHAT00000049422_ENSCHAG00000021098,ENSCHAT00000049528_ENSCHAG00000021098,ENSCHAT00000049539_ENSCHAG00000021098,ENSCHAT00000049548_ENSCHAG00000021098,ENSAMXT00000030348_ENSAMXG00000039015
ENSPMAT00000003774_ENSPMAG00000003441,1.0,0.73,0.83,0.17,0.71,0.83,0.61,0.73,0.75,0.6,0.74,0.61,0.83
ENSEBUT00000009194_ENSEBUG00000005614,0.73,1.0,0.79,0.17,0.68,0.79,0.59,0.7,0.71,0.58,0.7,0.59,0.79
ENSLACT00000002923_ENSLACG00000002593,0.83,0.79,1.0,0.17,0.81,0.95,0.7,0.81,0.85,0.67,0.83,0.7,0.95
ENSXETT00000010541_ENSXETG00000001424,0.17,0.17,0.17,1.0,0.18,0.17,0.39,0.16,0.19,0.16,0.17,0.08,0.17
ENSXETT00000010566_ENSXETG00000001424,0.71,0.68,0.81,0.18,1.0,0.86,0.72,0.7,0.74,0.65,0.8,0.58,0.81
ENSXETT00000010740_ENSXETG00000001424,0.83,0.79,0.95,0.17,0.86,1.0,0.75,0.81,0.85,0.66,0.83,0.7,0.95
ENSXETT00000010784_ENSXETG00000001424,0.61,0.59,0.7,0.39,0.72,0.75,1.0,0.61,0.61,0.56,0.69,0.48,0.69
ENSDCDT00000026355_ENSDCDG00000015201,0.73,0.7,0.81,0.16,0.7,0.81,0.61,1.0,0.77,0.77,0.75,0.62,0.84
ENSCHAT00000049422_ENSCHAG00000021098,0.75,0.71,0.85,0.19,0.74,0.85,0.61,0.77,1.0,0.66,0.79,0.65,0.87
ENSCHAT00000049528_ENSCHAG00000021098,0.6,0.58,0.67,0.16,0.65,0.66,0.56,0.77,0.66,1.0,0.72,0.51,0.69
ENSCHAT00000049539_ENSCHAG00000021098,0.74,0.7,0.83,0.17,0.8,0.83,0.69,0.75,0.79,0.72,1.0,0.64,0.85
ENSCHAT00000049548_ENSCHAG00000021098,0.61,0.59,0.7,0.08,0.58,0.7,0.48,0.62,0.65,0.51,0.64,1.0,0.72
ENSAMXT00000030348_ENSAMXG00000039015,0.83,0.79,0.95,0.17,0.81,0.95,0.69,0.84,0.87,0.69,0.85,0.72,1.0
