,ENSATET00000024996_ENSATEG00000017077,ENSGAGT00000009656_ENSGAGG00000006668,ENSGAGT00000009658_ENSGAGG00000006668,ENSGAGT00000009659_ENSGAGG00000006668,ENSECRT00000033400_ENSECRG00000022138,ENSCMIT00000000982_ENSCMIG00000000636,ENSCMIT00000003028_ENSCMIG00000001719,ENSSFOT00015022876_ENSSFOG00015014551,ENSPKIT00000035428_ENSPKIG00000004107,ENSAMXT00000005170_ENSAMXG00000005045
ENSATET00000024996_ENSATEG00000017077,1.0,0.71,0.72,0.72,0.79,0.82,0.84,0.24,0.24,0.22
ENSGAGT00000009656_ENSGAGG00000006668,0.71,1.0,0.99,0.99,0.78,0.83,0.84,0.16,0.17,0.14
ENSGAGT00000009658_ENSGAGG00000006668,0.72,0.99,1.0,0.99,0.78,0.84,0.85,0.17,0.18,0.15
ENSGAGT00000009659_ENSGAGG00000006668,0.72,0.99,0.99,1.0,0.77,0.84,0.85,0.16,0.17,0.14
ENSECRT00000033400_ENSECRG00000022138,0.79,0.78,0.78,0.77,1.0,0.85,0.86,0.25,0.26,0.23
ENSCMIT00000000982_ENSCMIG00000000636,0.82,0.83,0.84,0.84,0.85,1.0,0.95,0.18,0.19,0.16
ENSCMIT00000003028_ENSCMIG00000001719,0.84,0.84,0.85,0.85,0.86,0.95,1.0,0.21,0.21,0.18
ENSSFOT00015022876_ENSSFOG00015014551,0.24,0.16,0.17,0.16,0.25,0.18,0.21,1.0,0.78,0.71
ENSPKIT00000035428_ENSPKIG00000004107,0.24,0.17,0.18,0.17,0.26,0.19,0.21,0.78,1.0,0.7
ENSAMXT00000005170_ENSAMXG00000005045,0.22,0.14,0.15,0.14,0.23,0.16,0.18,0.71,0.7,1.0
