,FBtr0074281_FBgn0262734,FBtr0074279_FBgn0262734,FBtr0343632_FBgn0262734,FBtr0074280_FBgn0262734,FBtr0343633_FBgn0262734,FBtr0339513_FBgn0039797,FBtr0085699_FBgn0039797,H05C05.1a.1_WBGene00019157,H05C05.1b.1_WBGene00019157,H05C05.1c.1_WBGene00019157,ENSAOWT00000030158_ENSAOWG00000017949,ENSARWT00000010008_ENSARWG00000006134,ENSARWT00000010009_ENSARWG00000006134,ENSDNVT00000010770_ENSDNVG00000006363,ENSDNVT00000010776_ENSDNVG00000006363
FBtr0074281_FBgn0262734,1.0,0.77,0.76,0.77,0.7,0.33,0.33,0.22,0.3,0.2,0.38,0.38,0.37,0.38,0.4
FBtr0074279_FBgn0262734,0.77,1.0,0.68,0.87,0.78,0.35,0.35,0.24,0.31,0.21,0.4,0.4,0.39,0.4,0.41
FBtr0343632_FBgn0262734,0.76,0.68,1.0,0.68,0.63,0.31,0.31,0.25,0.29,0.22,0.4,0.4,0.39,0.4,0.41
FBtr0074280_FBgn0262734,0.77,0.87,0.68,1.0,0.78,0.35,0.35,0.24,0.32,0.21,0.4,0.4,0.39,0.4,0.41
FBtr0343633_FBgn0262734,0.7,0.78,0.63,0.78,1.0,0.35,0.35,0.22,0.32,0.19,0.4,0.4,0.39,0.4,0.42
FBtr0339513_FBgn0039797,0.33,0.35,0.31,0.35,0.35,1.0,0.95,0.21,0.27,0.19,0.31,0.31,0.35,0.31,0.32
FBtr0085699_FBgn0039797,0.33,0.35,0.31,0.35,0.35,0.95,1.0,0.21,0.27,0.19,0.31,0.31,0.35,0.31,0.32
H05C05.1a.1_WBGene00019157,0.22,0.24,0.25,0.24,0.22,0.21,0.21,1.0,0.31,0.87,0.21,0.21,0.22,0.21,0.22
H05C05.1b.1_WBGene00019157,0.3,0.31,0.29,0.32,0.32,0.27,0.27,0.31,1.0,0.28,0.34,0.34,0.37,0.34,0.35
H05C05.1c.1_WBGene00019157,0.2,0.21,0.22,0.21,0.19,0.19,0.19,0.87,0.28,1.0,0.18,0.18,0.2,0.18,0.19
ENSAOWT00000030158_ENSAOWG00000017949,0.38,0.4,0.4,0.4,0.4,0.31,0.31,0.21,0.34,0.18,1.0,0.93,0.75,0.93,0.85
ENSARWT00000010008_ENSARWG00000006134,0.38,0.4,0.4,0.4,0.4,0.31,0.31,0.21,0.34,0.18,0.93,1.0,0.75,0.93,0.85
ENSARWT00000010009_ENSARWG00000006134,0.37,0.39,0.39,0.39,0.39,0.35,0.35,0.22,0.37,0.2,0.75,0.75,1.0,0.74,0.68
ENSDNVT00000010770_ENSDNVG00000006363,0.38,0.4,0.4,0.4,0.4,0.31,0.31,0.21,0.34,0.18,0.93,0.93,0.74,1.0,0.85
ENSDNVT00000010776_ENSDNVG00000006363,0.4,0.41,0.41,0.41,0.42,0.32,0.32,0.22,0.35,0.19,0.85,0.85,0.68,0.85,1.0
