,ENSPPAT00000016096_ENSPPAG00000014553,ENSPTRT00000030817_ENSPTRG00000016582,ENSPTRT00000090711_ENSPTRG00000016582,ENSPTRT00000087250_ENSPTRG00000016582,ENSPTRT00000107134_ENSPTRG00000016582,ENST00000511577_ENSG00000181381,ENST00000505890_ENSG00000181381,ENST00000505696_ENSG00000181381,ENST00000514748_ENSG00000181381,ENST00000512371_ENSG00000181381,ENST00000260184_ENSG00000181381,ENSGGOT00000014849_ENSGGOG00000014778,ENSGGOT00000022102_ENSGGOG00000014778,ENSGGOT00000050998_ENSGGOG00000014778,ENSPPYT00000017653_ENSPPYG00000015185,ENSNLET00000008369_ENSNLEG00000006565,ENSNLET00000060326_ENSNLEG00000006565,ENSPANT00000020705_ENSPANG00000017684,ENSTGET00000030849_ENSTGEG00000020834,ENSTGET00000030855_ENSTGEG00000020834,ENSCATT00000067858_ENSCATG00000044236,ENSMLET00000030250_ENSMLEG00000027365,ENSMFAT00000002182_ENSMFAG00000045327,ENSMMUT00000055171_ENSMMUG00000003634,ENSMMUT00000005148_ENSMMUG00000003634,ENSMNET00000034501_ENSMNEG00000029554,ENSCSAT00000001179_ENSCSAG00000003149,ENSRROT00000056419_ENSRROG00000039658
ENSPPAT00000016096_ENSPPAG00000014553,1.0,0.98,0.99,0.94,0.86,0.98,0.85,0.51,0.52,0.5,0.96,0.99,0.95,0.85,0.93,0.95,0.84,0.94,0.93,0.91,0.91,0.95,0.93,0.93,0.92,0.91,0.92,0.93
ENSPTRT00000030817_ENSPTRG00000016582,0.98,1.0,0.98,0.93,0.88,0.99,0.87,0.53,0.53,0.52,0.97,0.98,0.95,0.87,0.94,0.96,0.85,0.96,0.92,0.91,0.93,0.96,0.94,0.93,0.93,0.92,0.93,0.94
ENSPTRT00000090711_ENSPTRG00000016582,0.99,0.98,1.0,0.94,0.86,0.98,0.85,0.51,0.52,0.5,0.96,0.99,0.95,0.85,0.93,0.95,0.84,0.94,0.93,0.91,0.91,0.95,0.93,0.93,0.92,0.91,0.92,0.93
ENSPTRT00000087250_ENSPTRG00000016582,0.94,0.93,0.94,1.0,0.8,0.92,0.8,0.51,0.52,0.5,0.91,0.93,0.9,0.8,0.88,0.9,0.79,0.9,0.88,0.93,0.88,0.9,0.89,0.89,0.88,0.87,0.88,0.88
ENSPTRT00000107134_ENSPTRG00000016582,0.86,0.88,0.86,0.8,1.0,0.87,0.99,0.54,0.54,0.53,0.85,0.85,0.85,0.99,0.84,0.83,0.98,0.83,0.8,0.78,0.81,0.84,0.82,0.8,0.81,0.8,0.81,0.82
ENST00000511577_ENSG00000181381,0.98,0.99,0.98,0.92,0.87,1.0,0.88,0.54,0.54,0.52,0.98,0.98,0.95,0.87,0.94,0.96,0.85,0.95,0.92,0.91,0.93,0.96,0.94,0.93,0.93,0.92,0.93,0.94
ENST00000505890_ENSG00000181381,0.85,0.87,0.85,0.8,0.99,0.88,1.0,0.55,0.55,0.53,0.85,0.85,0.85,0.99,0.84,0.83,0.98,0.83,0.79,0.78,0.81,0.84,0.81,0.8,0.81,0.8,0.81,0.82
ENST00000505696_ENSG00000181381,0.51,0.53,0.51,0.51,0.54,0.54,0.55,1.0,1.0,0.75,0.54,0.51,0.51,0.54,0.52,0.51,0.52,0.5,0.49,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51
ENST00000514748_ENSG00000181381,0.52,0.53,0.52,0.52,0.54,0.54,0.55,1.0,1.0,0.75,0.54,0.52,0.52,0.54,0.52,0.51,0.52,0.5,0.49,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51
ENST00000512371_ENSG00000181381,0.5,0.52,0.5,0.5,0.53,0.52,0.53,0.75,0.75,1.0,0.52,0.51,0.51,0.53,0.51,0.5,0.51,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
ENST00000260184_ENSG00000181381,0.96,0.97,0.96,0.91,0.85,0.98,0.85,0.54,0.54,0.52,1.0,0.96,0.92,0.85,0.96,0.98,0.83,0.93,0.94,0.9,0.95,0.94,0.96,0.95,0.95,0.94,0.95,0.92
ENSGGOT00000014849_ENSGGOG00000014778,0.99,0.98,0.99,0.93,0.85,0.98,0.85,0.51,0.52,0.51,0.96,1.0,0.96,0.86,0.93,0.95,0.84,0.94,0.93,0.91,0.91,0.95,0.93,0.93,0.92,0.91,0.92,0.93
ENSGGOT00000022102_ENSGGOG00000014778,0.95,0.95,0.95,0.9,0.85,0.95,0.85,0.51,0.52,0.51,0.92,0.96,1.0,0.86,0.89,0.91,0.84,0.91,0.89,0.88,0.88,0.91,0.89,0.89,0.89,0.88,0.89,0.89
ENSGGOT00000050998_ENSGGOG00000014778,0.85,0.87,0.85,0.8,0.99,0.87,0.99,0.54,0.54,0.53,0.85,0.86,0.86,1.0,0.84,0.83,0.98,0.83,0.8,0.78,0.81,0.84,0.81,0.8,0.81,0.8,0.81,0.82
ENSPPYT00000017653_ENSPPYG00000015185,0.93,0.94,0.93,0.88,0.84,0.94,0.84,0.52,0.52,0.51,0.96,0.93,0.89,0.84,1.0,0.96,0.83,0.91,0.92,0.87,0.93,0.92,0.94,0.93,0.93,0.92,0.93,0.89
ENSNLET00000008369_ENSNLEG00000006565,0.95,0.96,0.95,0.9,0.83,0.96,0.83,0.51,0.51,0.5,0.98,0.95,0.91,0.83,0.96,1.0,0.85,0.93,0.94,0.9,0.95,0.94,0.96,0.95,0.95,0.94,0.95,0.92
ENSNLET00000060326_ENSNLEG00000006565,0.84,0.85,0.84,0.79,0.98,0.85,0.98,0.52,0.52,0.51,0.83,0.84,0.84,0.98,0.83,0.85,1.0,0.83,0.8,0.78,0.81,0.84,0.81,0.8,0.81,0.8,0.81,0.81
ENSPANT00000020705_ENSPANG00000017684,0.94,0.96,0.94,0.9,0.83,0.95,0.83,0.5,0.5,0.48,0.93,0.94,0.91,0.83,0.91,0.93,0.83,1.0,0.95,0.93,0.95,0.99,0.96,0.95,0.96,0.96,0.95,0.95
ENSTGET00000030849_ENSTGEG00000020834,0.93,0.92,0.93,0.88,0.8,0.92,0.79,0.49,0.49,0.48,0.94,0.93,0.89,0.8,0.92,0.94,0.8,0.95,1.0,0.95,0.96,0.95,0.97,0.99,0.98,0.95,0.97,0.93
ENSTGET00000030855_ENSTGEG00000020834,0.91,0.91,0.91,0.93,0.78,0.91,0.78,0.49,0.49,0.48,0.9,0.91,0.88,0.78,0.87,0.9,0.78,0.93,0.95,1.0,0.9,0.93,0.92,0.93,0.92,0.9,0.92,0.91
ENSCATT00000067858_ENSCATG00000044236,0.91,0.93,0.91,0.88,0.81,0.93,0.81,0.5,0.5,0.49,0.95,0.91,0.88,0.81,0.93,0.95,0.81,0.95,0.96,0.9,1.0,0.96,0.98,0.97,0.97,0.99,0.97,0.95
ENSMLET00000030250_ENSMLEG00000027365,0.95,0.96,0.95,0.9,0.84,0.96,0.84,0.5,0.5,0.49,0.94,0.95,0.91,0.84,0.92,0.94,0.84,0.99,0.95,0.93,0.96,1.0,0.97,0.96,0.96,0.95,0.96,0.96
ENSMFAT00000002182_ENSMFAG00000045327,0.93,0.94,0.93,0.89,0.82,0.94,0.81,0.51,0.51,0.49,0.96,0.93,0.89,0.81,0.94,0.96,0.81,0.96,0.97,0.92,0.98,0.97,1.0,0.98,0.99,0.98,0.98,0.94
ENSMMUT00000055171_ENSMMUG00000003634,0.93,0.93,0.93,0.89,0.8,0.93,0.8,0.5,0.5,0.49,0.95,0.93,0.89,0.8,0.93,0.95,0.8,0.95,0.99,0.93,0.97,0.96,0.98,1.0,0.99,0.96,0.98,0.94
ENSMMUT00000005148_ENSMMUG00000003634,0.92,0.93,0.92,0.88,0.81,0.93,0.81,0.5,0.5,0.49,0.95,0.92,0.89,0.81,0.93,0.95,0.81,0.96,0.98,0.92,0.97,0.96,0.99,0.99,1.0,0.97,0.99,0.95
ENSMNET00000034501_ENSMNEG00000029554,0.91,0.92,0.91,0.87,0.8,0.92,0.8,0.5,0.5,0.49,0.94,0.91,0.88,0.8,0.92,0.94,0.8,0.96,0.95,0.9,0.99,0.95,0.98,0.96,0.97,1.0,0.96,0.95
ENSCSAT00000001179_ENSCSAG00000003149,0.92,0.93,0.92,0.88,0.81,0.93,0.81,0.5,0.5,0.49,0.95,0.92,0.89,0.81,0.93,0.95,0.81,0.95,0.97,0.92,0.97,0.96,0.98,0.98,0.99,0.96,1.0,0.94
ENSRROT00000056419_ENSRROG00000039658,0.93,0.94,0.93,0.88,0.82,0.94,0.82,0.51,0.51,0.49,0.92,0.93,0.89,0.82,0.89,0.92,0.81,0.95,0.93,0.91,0.95,0.96,0.94,0.94,0.95,0.95,0.94,1.0
