,ENSCHAT00000033148_ENSCHAG00000014656,ENSCHAT00000033163_ENSCHAG00000014656,ENSCHAT00000033181_ENSCHAG00000014656,ENSCHAT00000033194_ENSCHAG00000014656,ENSDCDT00000055524_ENSDCDG00000028172,ENSDCDT00000055527_ENSDCDG00000028172,ENSPNAT00000023771_ENSPNAG00000021581,ENSAMXT00000034228_ENSAMXG00000034670,ENSEEET00000044929_ENSEEEG00000020984,ENSEEET00000044930_ENSEEEG00000020984,ENSIPUT00000002909_ENSIPUG00000001970,ENSIPUT00000002928_ENSIPUG00000001970
ENSCHAT00000033148_ENSCHAG00000014656,1.0,0.77,0.23,0.12,0.59,0.47,0.62,0.58,0.62,0.42,0.62,0.36
ENSCHAT00000033163_ENSCHAG00000014656,0.77,1.0,0.23,0.12,0.75,0.61,0.8,0.75,0.79,0.56,0.79,0.48
ENSCHAT00000033181_ENSCHAG00000014656,0.23,0.23,1.0,0.48,0.2,0.1,0.24,0.24,0.24,0.25,0.24,0.23
ENSCHAT00000033194_ENSCHAG00000014656,0.12,0.12,0.48,1.0,0.13,0.04,0.13,0.13,0.13,0.13,0.13,0.12
ENSDCDT00000055524_ENSDCDG00000028172,0.59,0.75,0.2,0.13,1.0,0.77,0.82,0.77,0.82,0.56,0.82,0.47
ENSDCDT00000055527_ENSDCDG00000028172,0.47,0.61,0.1,0.04,0.77,1.0,0.65,0.61,0.65,0.43,0.65,0.36
ENSPNAT00000023771_ENSPNAG00000021581,0.62,0.8,0.24,0.13,0.82,0.65,1.0,0.83,0.89,0.61,0.88,0.52
ENSAMXT00000034228_ENSAMXG00000034670,0.58,0.75,0.24,0.13,0.77,0.61,0.83,1.0,0.83,0.61,0.83,0.52
ENSEEET00000044929_ENSEEEG00000020984,0.62,0.79,0.24,0.13,0.82,0.65,0.89,0.83,1.0,0.63,0.88,0.52
ENSEEET00000044930_ENSEEEG00000020984,0.42,0.56,0.25,0.13,0.56,0.43,0.61,0.61,0.63,1.0,0.61,0.62
ENSIPUT00000002909_ENSIPUG00000001970,0.62,0.79,0.24,0.13,0.82,0.65,0.88,0.83,0.88,0.61,1.0,0.54
ENSIPUT00000002928_ENSIPUG00000001970,0.36,0.48,0.23,0.12,0.47,0.36,0.52,0.52,0.52,0.62,0.54,1.0
