,ENSEBUT00000022168_ENSEBUG00000013327,ENSCHAT00000054529_ENSCHAG00000023154,ENSCHAT00000054544_ENSCHAG00000023154,ENSCHAT00000054583_ENSCHAG00000023154,ENSDCDT00000027212_ENSDCDG00000015327,ENSDCDT00000027299_ENSDCDG00000015327,ENSDCDT00000027318_ENSDCDG00000015327,ENSDCDT00000027358_ENSDCDG00000015327,ENSDCDT00000027376_ENSDCDG00000015327,ENSEEET00000035014_ENSEEEG00000016463,ENSEEET00000006250_ENSEEEG00000003284,ENSEEET00000006257_ENSEEEG00000003288,ENSEEET00000006259_ENSEEEG00000003288,ENSIPUT00000031331_ENSIPUG00000020341,ENSIPUT00000031357_ENSIPUG00000020341,ENSAMXT00000003582_ENSAMXG00000003488,ENSAMXT00000042913_ENSAMXG00000003488
ENSEBUT00000022168_ENSEBUG00000013327,1.0,0.74,0.76,0.59,0.81,0.59,0.63,0.65,0.66,0.63,0.25,0.6,0.59,0.8,0.68,0.8,0.72
ENSCHAT00000054529_ENSCHAG00000023154,0.74,1.0,0.83,0.64,0.78,0.59,0.63,0.65,0.65,0.63,0.26,0.59,0.58,0.78,0.66,0.78,0.71
ENSCHAT00000054544_ENSCHAG00000023154,0.76,0.83,1.0,0.64,0.8,0.59,0.62,0.65,0.65,0.65,0.25,0.61,0.6,0.8,0.69,0.8,0.73
ENSCHAT00000054583_ENSCHAG00000023154,0.59,0.64,0.64,1.0,0.63,0.54,0.57,0.65,0.6,0.47,0.34,0.44,0.42,0.61,0.52,0.61,0.55
ENSDCDT00000027212_ENSDCDG00000015327,0.81,0.78,0.8,0.63,1.0,0.69,0.72,0.75,0.75,0.66,0.28,0.62,0.61,0.83,0.71,0.83,0.74
ENSDCDT00000027299_ENSDCDG00000015327,0.59,0.59,0.59,0.54,0.69,1.0,0.82,0.8,0.8,0.54,0.25,0.56,0.49,0.62,0.63,0.61,0.55
ENSDCDT00000027318_ENSDCDG00000015327,0.63,0.63,0.62,0.57,0.72,0.82,1.0,0.83,0.84,0.57,0.27,0.6,0.53,0.65,0.67,0.64,0.58
ENSDCDT00000027358_ENSDCDG00000015327,0.65,0.65,0.65,0.65,0.75,0.8,0.83,1.0,0.87,0.6,0.26,0.62,0.55,0.68,0.69,0.67,0.6
ENSDCDT00000027376_ENSDCDG00000015327,0.66,0.65,0.65,0.6,0.75,0.8,0.84,0.87,1.0,0.6,0.26,0.62,0.55,0.68,0.7,0.67,0.6
ENSEEET00000035014_ENSEEEG00000016463,0.63,0.63,0.65,0.47,0.66,0.54,0.57,0.6,0.6,1.0,0.27,0.69,0.69,0.69,0.66,0.7,0.7
ENSEEET00000006250_ENSEEEG00000003284,0.25,0.26,0.25,0.34,0.28,0.25,0.27,0.26,0.26,0.27,1.0,0.19,0.15,0.27,0.21,0.26,0.27
ENSEEET00000006257_ENSEEEG00000003288,0.6,0.59,0.61,0.44,0.62,0.56,0.6,0.62,0.62,0.69,0.19,1.0,0.72,0.65,0.71,0.66,0.66
ENSEEET00000006259_ENSEEEG00000003288,0.59,0.58,0.6,0.42,0.61,0.49,0.53,0.55,0.55,0.69,0.15,0.72,1.0,0.65,0.62,0.65,0.65
ENSIPUT00000031331_ENSIPUG00000020341,0.8,0.78,0.8,0.61,0.83,0.62,0.65,0.68,0.68,0.69,0.27,0.65,0.65,1.0,0.8,0.86,0.77
ENSIPUT00000031357_ENSIPUG00000020341,0.68,0.66,0.69,0.52,0.71,0.63,0.67,0.69,0.7,0.66,0.21,0.71,0.62,0.8,1.0,0.73,0.66
ENSAMXT00000003582_ENSAMXG00000003488,0.8,0.78,0.8,0.61,0.83,0.61,0.64,0.67,0.67,0.7,0.26,0.66,0.65,0.86,0.73,1.0,0.84
ENSAMXT00000042913_ENSAMXG00000003488,0.72,0.71,0.73,0.55,0.74,0.55,0.58,0.6,0.6,0.7,0.27,0.66,0.65,0.77,0.66,0.84,1.0
