,ENSCINT00000031968_ENSCING00000020168,ENSMMOT00000023469_ENSMMOG00000017568,C27H5.3a.1_WBGene00016173,C27H5.3a.2_WBGene00016173,C27H5.3b.1_WBGene00016173,C27H5.3b.2_WBGene00016173,C27H5.3b.3_WBGene00016173,FBtr0074217_FBgn0285954,FBtr0334992_FBgn0285954,FBtr0334991_FBgn0285954,FBtr0334990_FBgn0285954
ENSCINT00000031968_ENSCING00000020168,1.0,0.23,0.11,0.11,0.12,0.12,0.12,0.18,0.16,0.2,0.18
ENSMMOT00000023469_ENSMMOG00000017568,0.23,1.0,0.06,0.06,0.07,0.07,0.07,0.09,0.13,0.1,0.1
C27H5.3a.1_WBGene00016173,0.11,0.06,1.0,1.0,0.59,0.59,0.59,0.18,0.16,0.18,0.18
C27H5.3a.2_WBGene00016173,0.11,0.06,1.0,1.0,0.59,0.59,0.59,0.18,0.16,0.18,0.18
C27H5.3b.1_WBGene00016173,0.12,0.07,0.59,0.59,1.0,0.92,0.92,0.12,0.13,0.13,0.12
C27H5.3b.2_WBGene00016173,0.12,0.07,0.59,0.59,0.92,1.0,0.92,0.12,0.13,0.13,0.12
C27H5.3b.3_WBGene00016173,0.12,0.07,0.59,0.59,0.92,0.92,1.0,0.12,0.13,0.13,0.12
FBtr0074217_FBgn0285954,0.18,0.09,0.18,0.18,0.12,0.12,0.12,1.0,0.46,0.9,0.95
FBtr0334992_FBgn0285954,0.16,0.13,0.16,0.16,0.13,0.13,0.13,0.46,1.0,0.35,0.4
FBtr0334991_FBgn0285954,0.2,0.1,0.18,0.18,0.13,0.13,0.13,0.9,0.35,1.0,0.9
FBtr0334990_FBgn0285954,0.18,0.1,0.18,0.18,0.12,0.12,0.12,0.95,0.4,0.9,1.0
