,ENSGGOT00000001095_ENSGGOG00000001087,ENST00000564831_ENSG00000184730,ENST00000431282_ENSG00000184730,ENSPTRT00000095396_ENSPTRG00000050722,ENSPTRT00000100613_ENSPTRG00000050722,ENSPPYT00000008512_ENSPPYG00000007230,ENSNLET00000055006_ENSNLEG00000029244,ENSTGET00000021897_ENSTGEG00000014828,ENSPANT00000022691_ENSPANG00000019063,ENSMLET00000046954_ENSMLEG00000035916,ENSCATT00000013459_ENSCATG00000012046,ENSCATT00000013493_ENSCATG00000012046,ENSMMUT00000001018_ENSMMUG00000000707,ENSMFAT00000000744_ENSMFAG00000044719,ENSMNET00000043917_ENSMNEG00000033686,ENSCSAT00000004318_ENSCSAG00000006282,ENSRROT00000065712_ENSRROG00000043816,ENSRBIT00000067648_ENSRBIG00000044956
ENSGGOT00000001095_ENSGGOG00000001087,1.0,0.55,0.55,0.31,0.33,0.54,0.54,0.54,0.54,0.54,0.46,0.54,0.47,0.54,0.46,0.46,0.54,0.46
ENST00000564831_ENSG00000184730,0.55,1.0,0.94,0.19,0.31,0.93,0.92,0.92,0.92,0.92,0.76,0.92,0.76,0.91,0.76,0.76,0.91,0.76
ENST00000431282_ENSG00000184730,0.55,0.94,1.0,0.19,0.31,0.92,0.92,0.92,0.92,0.92,0.77,0.92,0.76,0.92,0.76,0.76,0.92,0.76
ENSPTRT00000095396_ENSPTRG00000050722,0.31,0.19,0.19,1.0,0.37,0.18,0.18,0.19,0.19,0.19,0.14,0.19,0.15,0.19,0.14,0.14,0.19,0.15
ENSPTRT00000100613_ENSPTRG00000050722,0.33,0.31,0.31,0.37,1.0,0.3,0.31,0.31,0.31,0.32,0.25,0.31,0.25,0.32,0.24,0.25,0.32,0.25
ENSPPYT00000008512_ENSPPYG00000007230,0.54,0.93,0.92,0.18,0.3,1.0,0.92,0.91,0.91,0.91,0.76,0.91,0.75,0.91,0.76,0.76,0.91,0.75
ENSNLET00000055006_ENSNLEG00000029244,0.54,0.92,0.92,0.18,0.31,0.92,1.0,0.92,0.92,0.91,0.76,0.92,0.76,0.91,0.76,0.76,0.91,0.76
ENSTGET00000021897_ENSTGEG00000014828,0.54,0.92,0.92,0.19,0.31,0.91,0.92,1.0,0.94,0.93,0.78,0.93,0.77,0.93,0.78,0.78,0.93,0.77
ENSPANT00000022691_ENSPANG00000019063,0.54,0.92,0.92,0.19,0.31,0.91,0.92,0.94,1.0,0.93,0.78,0.93,0.77,0.93,0.78,0.78,0.93,0.77
ENSMLET00000046954_ENSMLEG00000035916,0.54,0.92,0.92,0.19,0.32,0.91,0.91,0.93,0.93,1.0,0.78,0.93,0.78,0.94,0.77,0.77,0.93,0.78
ENSCATT00000013459_ENSCATG00000012046,0.46,0.76,0.77,0.14,0.25,0.76,0.76,0.78,0.78,0.78,1.0,0.78,0.94,0.78,0.94,0.94,0.77,0.94
ENSCATT00000013493_ENSCATG00000012046,0.54,0.92,0.92,0.19,0.31,0.91,0.92,0.93,0.93,0.93,0.78,1.0,0.77,0.93,0.78,0.77,0.93,0.77
ENSMMUT00000001018_ENSMMUG00000000707,0.47,0.76,0.76,0.15,0.25,0.75,0.76,0.77,0.77,0.78,0.94,0.77,1.0,0.78,0.94,0.94,0.77,0.94
ENSMFAT00000000744_ENSMFAG00000044719,0.54,0.91,0.92,0.19,0.32,0.91,0.91,0.93,0.93,0.94,0.78,0.93,0.78,1.0,0.78,0.77,0.93,0.78
ENSMNET00000043917_ENSMNEG00000033686,0.46,0.76,0.76,0.14,0.24,0.76,0.76,0.78,0.78,0.77,0.94,0.78,0.94,0.78,1.0,0.94,0.77,0.94
ENSCSAT00000004318_ENSCSAG00000006282,0.46,0.76,0.76,0.14,0.25,0.76,0.76,0.78,0.78,0.77,0.94,0.77,0.94,0.77,0.94,1.0,0.77,0.93
ENSRROT00000065712_ENSRROG00000043816,0.54,0.91,0.92,0.19,0.32,0.91,0.91,0.93,0.93,0.93,0.77,0.93,0.77,0.93,0.77,0.77,1.0,0.78
ENSRBIT00000067648_ENSRBIG00000044956,0.46,0.76,0.76,0.15,0.25,0.75,0.76,0.77,0.77,0.78,0.94,0.77,0.94,0.78,0.94,0.93,0.78,1.0
