,ENSHHUT00000026092_ENSHHUG00000015833,ENSPTET00000013269_ENSPTEG00000009892,F07A11.2a.1_WBGene00008546,F07A11.2a.2_WBGene00008546,F07A11.2a.3_WBGene00008546,F07A11.2a.4_WBGene00008546,F07A11.2b.1_WBGene00008546,F07A11.2b.2_WBGene00008546,F07A11.2b.3_WBGene00008546,F22B3.4.1_WBGene00009035,F22B3.4.2_WBGene00009035,YKL104C_mRNA_YKL104C,YMR085W_mRNA_YMR085W,YMR084W_mRNA_YMR084W
ENSHHUT00000026092_ENSHHUG00000015833,1.0,0.22,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.57,0.57,0.53
ENSPTET00000013269_ENSPTEG00000009892,0.22,1.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.19,0.19,0.17
F07A11.2a.1_WBGene00008546,0.19,0.12,1.0,0.93,0.93,0.93,0.77,0.77,0.77,0.5,0.5,0.17,0.23,0.13
F07A11.2a.2_WBGene00008546,0.19,0.12,0.93,1.0,0.93,0.93,0.77,0.77,0.77,0.5,0.5,0.17,0.23,0.13
F07A11.2a.3_WBGene00008546,0.19,0.12,0.93,0.93,1.0,0.93,0.77,0.77,0.77,0.5,0.5,0.17,0.23,0.13
F07A11.2a.4_WBGene00008546,0.19,0.12,0.93,0.93,0.93,1.0,0.77,0.77,0.77,0.5,0.5,0.17,0.23,0.13
F07A11.2b.1_WBGene00008546,0.19,0.12,0.77,0.77,0.77,0.77,1.0,0.9,0.9,0.5,0.5,0.18,0.24,0.13
F07A11.2b.2_WBGene00008546,0.19,0.12,0.77,0.77,0.77,0.77,0.9,1.0,0.9,0.5,0.5,0.18,0.24,0.13
F07A11.2b.3_WBGene00008546,0.19,0.12,0.77,0.77,0.77,0.77,0.9,0.9,1.0,0.5,0.5,0.18,0.24,0.13
F22B3.4.1_WBGene00009035,0.19,0.12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.18,0.24,0.13
F22B3.4.2_WBGene00009035,0.19,0.12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.18,0.24,0.13
YKL104C_mRNA_YKL104C,0.57,0.19,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,1.0,0.56,0.52
YMR085W_mRNA_YMR085W,0.57,0.19,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.56,1.0,0.51
YMR084W_mRNA_YMR084W,0.53,0.17,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.52,0.51,1.0
