,ENSCHAT00000005532_ENSCHAG00000003036,ENSCHAT00000005778_ENSCHAG00000003036,ENSDCDT00000027198_ENSDCDG00000015400,ENSDCDT00000027279_ENSDCDG00000015400,ENSDCDT00000027284_ENSDCDG00000015400,ENSDCDT00000027461_ENSDCDG00000015400,ENSDCDT00000028105_ENSDCDG00000015400,ENSAMXT00000045240_ENSAMXG00000041089,ENSAMXT00000051898_ENSAMXG00000041089,ENSAMXT00000032889_ENSAMXG00000041089,ENSAMXT00000048532_ENSAMXG00000041089
ENSCHAT00000005532_ENSCHAG00000003036,1.0,0.5,0.73,0.61,0.61,0.52,0.39,0.72,0.69,0.61,0.67
ENSCHAT00000005778_ENSCHAG00000003036,0.5,1.0,0.48,0.47,0.47,0.45,0.32,0.53,0.55,0.48,0.48
ENSDCDT00000027198_ENSDCDG00000015400,0.73,0.48,1.0,0.7,0.7,0.71,0.48,0.76,0.72,0.65,0.69
ENSDCDT00000027279_ENSDCDG00000015400,0.61,0.47,0.7,1.0,0.88,0.55,0.43,0.73,0.69,0.62,0.65
ENSDCDT00000027284_ENSDCDG00000015400,0.61,0.47,0.7,0.88,1.0,0.55,0.47,0.73,0.69,0.62,0.65
ENSDCDT00000027461_ENSDCDG00000015400,0.52,0.45,0.71,0.55,0.55,1.0,0.45,0.61,0.63,0.58,0.54
ENSDCDT00000028105_ENSDCDG00000015400,0.39,0.32,0.48,0.43,0.47,0.45,1.0,0.43,0.45,0.33,0.45
ENSAMXT00000045240_ENSAMXG00000041089,0.72,0.53,0.76,0.73,0.73,0.61,0.43,1.0,0.92,0.84,0.88
ENSAMXT00000051898_ENSAMXG00000041089,0.69,0.55,0.72,0.69,0.69,0.63,0.45,0.92,1.0,0.8,0.84
ENSAMXT00000032889_ENSAMXG00000041089,0.61,0.48,0.65,0.62,0.62,0.58,0.33,0.84,0.8,1.0,0.76
ENSAMXT00000048532_ENSAMXG00000041089,0.67,0.48,0.69,0.65,0.65,0.54,0.45,0.88,0.84,0.76,1.0
