,Y5H2B.1a.1_WBGene00021164,Y5H2B.1b.1_WBGene00021164,F31F4.17.1_WBGene00017963,F31F4.11a.1_WBGene00017960,F31F4.11b.1_WBGene00017960,C17A2.4.1_WBGene00015872,F11A5.5a.1_WBGene00008673,F11A5.5b.1_WBGene00008673,C14C6.3.1_WBGene00015757,W07G4.2.1_WBGene00012336,C18G1.8.1_WBGene00015986,Y71H2AM.14a.1_WBGene00022179,Y71H2AM.14b.1_WBGene00022179,T28A8.2.1_WBGene00012108,C06E1.7.1_WBGene00015522,EGAP9.3.1_WBGene00017151,EGAP9.2.1_WBGene00001506,T28F2.1.1_WBGene00020900,F17B5.6.1_WBGene00044058,F41D3.6.1_WBGene00009611,F08A8.5a.1_WBGene00008568,F08A8.5b.1_WBGene00008568,T26E4.4.1_WBGene00012046,T26H5.8.1_WBGene00012070,T26H5.8.2_WBGene00012070,T26H5.8.3_WBGene00012070,T26H5.8.4_WBGene00012070,T26E4.3.1_WBGene00012045,F58D5.3.1_WBGene00010243,T25D10.1.1_WBGene00020799
Y5H2B.1a.1_WBGene00021164,1.0,0.6,0.58,0.58,0.58,0.36,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.27,0.26,0.3
Y5H2B.1b.1_WBGene00021164,0.6,1.0,0.58,0.58,0.58,0.36,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.26,0.3
F31F4.17.1_WBGene00017963,0.58,0.58,1.0,0.58,0.58,0.36,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.32,0.4,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.26,0.3
F31F4.11a.1_WBGene00017960,0.58,0.58,0.58,1.0,0.6,0.37,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.26,0.3
F31F4.11b.1_WBGene00017960,0.58,0.58,0.58,0.6,1.0,0.37,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.27,0.26,0.3
C17A2.4.1_WBGene00015872,0.36,0.36,0.36,0.37,0.37,1.0,0.36,0.36,0.36,0.36,0.36,0.36,0.27,0.24,0.27,0.26,0.26,0.26,0.26,0.27,0.23,0.23,0.29,0.3,0.3,0.3,0.3,0.23,0.23,0.27
F11A5.5a.1_WBGene00008673,0.57,0.57,0.57,0.57,0.57,0.36,1.0,0.6,0.57,0.57,0.57,0.57,0.41,0.33,0.4,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.26,0.3
F11A5.5b.1_WBGene00008673,0.57,0.57,0.57,0.57,0.57,0.36,0.6,1.0,0.57,0.57,0.57,0.57,0.41,0.33,0.4,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.26,0.3
C14C6.3.1_WBGene00015757,0.57,0.57,0.57,0.57,0.57,0.36,0.57,0.57,1.0,0.58,0.58,0.57,0.42,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.26,0.26,0.35,0.36,0.36,0.36,0.36,0.27,0.26,0.3
W07G4.2.1_WBGene00012336,0.57,0.57,0.57,0.57,0.57,0.36,0.57,0.57,0.58,1.0,0.58,0.57,0.42,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.27,0.27,0.35,0.36,0.36,0.36,0.36,0.27,0.26,0.3
C18G1.8.1_WBGene00015986,0.57,0.57,0.57,0.57,0.57,0.36,0.57,0.57,0.58,0.58,1.0,0.58,0.42,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.27,0.26,0.35,0.36,0.36,0.36,0.36,0.27,0.26,0.3
Y71H2AM.14a.1_WBGene00022179,0.57,0.57,0.57,0.57,0.57,0.36,0.57,0.57,0.57,0.57,0.58,1.0,0.43,0.33,0.41,0.4,0.4,0.4,0.4,0.4,0.27,0.26,0.35,0.36,0.36,0.36,0.36,0.27,0.26,0.3
Y71H2AM.14b.1_WBGene00022179,0.41,0.41,0.41,0.41,0.41,0.27,0.41,0.41,0.42,0.42,0.42,0.43,1.0,0.45,0.49,0.48,0.48,0.48,0.48,0.48,0.39,0.39,0.26,0.27,0.27,0.27,0.27,0.39,0.32,0.24
T28A8.2.1_WBGene00012108,0.33,0.33,0.32,0.33,0.33,0.24,0.33,0.33,0.33,0.33,0.33,0.33,0.45,1.0,0.45,0.44,0.45,0.44,0.44,0.45,0.37,0.37,0.23,0.24,0.24,0.24,0.24,0.37,0.32,0.22
C06E1.7.1_WBGene00015522,0.41,0.41,0.4,0.41,0.41,0.27,0.4,0.4,0.41,0.41,0.41,0.41,0.49,0.45,1.0,0.56,0.56,0.56,0.56,0.56,0.39,0.38,0.26,0.26,0.26,0.26,0.26,0.39,0.38,0.24
EGAP9.3.1_WBGene00017151,0.4,0.4,0.4,0.4,0.4,0.26,0.4,0.4,0.4,0.4,0.4,0.4,0.48,0.44,0.56,1.0,0.59,0.59,0.58,0.58,0.39,0.39,0.26,0.27,0.27,0.27,0.27,0.39,0.38,0.24
EGAP9.2.1_WBGene00001506,0.4,0.4,0.4,0.4,0.4,0.26,0.4,0.4,0.4,0.4,0.4,0.4,0.48,0.45,0.56,0.59,1.0,0.59,0.58,0.58,0.39,0.39,0.26,0.27,0.27,0.27,0.27,0.39,0.38,0.24
T28F2.1.1_WBGene00020900,0.4,0.4,0.4,0.4,0.4,0.26,0.4,0.4,0.4,0.4,0.4,0.4,0.48,0.44,0.56,0.59,0.59,1.0,0.58,0.58,0.39,0.39,0.26,0.27,0.27,0.27,0.27,0.39,0.38,0.24
F17B5.6.1_WBGene00044058,0.4,0.4,0.4,0.4,0.4,0.26,0.4,0.4,0.4,0.4,0.4,0.4,0.48,0.44,0.56,0.58,0.58,0.58,1.0,0.58,0.39,0.38,0.26,0.27,0.27,0.27,0.27,0.39,0.38,0.24
F41D3.6.1_WBGene00009611,0.4,0.4,0.4,0.4,0.4,0.27,0.4,0.4,0.4,0.4,0.4,0.4,0.48,0.45,0.56,0.58,0.58,0.58,0.58,1.0,0.39,0.39,0.26,0.27,0.27,0.27,0.27,0.39,0.38,0.24
F08A8.5a.1_WBGene00008568,0.26,0.26,0.26,0.26,0.26,0.23,0.26,0.26,0.26,0.27,0.27,0.27,0.39,0.37,0.39,0.39,0.39,0.39,0.39,0.39,1.0,0.77,0.57,0.57,0.57,0.57,0.57,0.57,0.62,0.27
F08A8.5b.1_WBGene00008568,0.26,0.26,0.26,0.26,0.26,0.23,0.26,0.26,0.26,0.27,0.26,0.26,0.39,0.37,0.38,0.39,0.39,0.39,0.38,0.39,0.77,1.0,0.57,0.58,0.58,0.58,0.58,0.57,0.62,0.27
T26E4.4.1_WBGene00012046,0.35,0.35,0.35,0.35,0.35,0.29,0.35,0.35,0.35,0.35,0.35,0.35,0.26,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.57,0.57,1.0,0.71,0.71,0.71,0.71,0.41,0.5,0.32
T26H5.8.1_WBGene00012070,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.36,0.36,0.36,0.36,0.27,0.24,0.26,0.27,0.27,0.27,0.27,0.27,0.57,0.58,0.71,1.0,0.74,0.74,0.74,0.41,0.51,0.33
T26H5.8.2_WBGene00012070,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.36,0.36,0.36,0.36,0.27,0.24,0.26,0.27,0.27,0.27,0.27,0.27,0.57,0.58,0.71,0.74,1.0,0.74,0.74,0.41,0.51,0.33
T26H5.8.3_WBGene00012070,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.36,0.36,0.36,0.36,0.27,0.24,0.26,0.27,0.27,0.27,0.27,0.27,0.57,0.58,0.71,0.74,0.74,1.0,0.74,0.41,0.51,0.33
T26H5.8.4_WBGene00012070,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.36,0.36,0.36,0.36,0.27,0.24,0.26,0.27,0.27,0.27,0.27,0.27,0.57,0.58,0.71,0.74,0.74,0.74,1.0,0.41,0.51,0.33
T26E4.3.1_WBGene00012045,0.27,0.26,0.26,0.26,0.27,0.23,0.26,0.26,0.27,0.27,0.27,0.27,0.39,0.37,0.39,0.39,0.39,0.39,0.39,0.39,0.57,0.57,0.41,0.41,0.41,0.41,0.41,1.0,0.51,0.26
F58D5.3.1_WBGene00010243,0.26,0.26,0.26,0.26,0.26,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.32,0.32,0.38,0.38,0.38,0.38,0.38,0.38,0.62,0.62,0.5,0.51,0.51,0.51,0.51,0.51,1.0,0.27
T25D10.1.1_WBGene00020799,0.3,0.3,0.3,0.3,0.3,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.24,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27,0.32,0.33,0.33,0.33,0.33,0.26,0.27,1.0
