,ENSCINT00000018503_ENSCING00000009117,ENSCINT00000018502_ENSCING00000009117,ENSCINT00000022019_ENSCING00000009117,FBtr0087887_FBgn0022764,FBtr0087888_FBgn0022764,FBtr0303565_FBgn0022764,FBtr0339651_FBgn0022764,FBtr0303566_FBgn0022764,FBtr0304683_FBgn0022764,FBtr0087889_FBgn0022764,FBtr0347014_FBgn0022764,FBtr0087890_FBgn0022764,FBtr0339650_FBgn0022764,F02E9.4a.1_WBGene00004117,F02E9.4b.1_WBGene00004117,YOL004W_mRNA_YOL004W
ENSCINT00000018503_ENSCING00000009117,1.0,0.83,0.81,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.1
ENSCINT00000018502_ENSCING00000009117,0.83,1.0,0.75,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.1
ENSCINT00000022019_ENSCING00000009117,0.81,0.75,1.0,0.13,0.15,0.13,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.18,0.18,0.11
FBtr0087887_FBgn0022764,0.14,0.14,0.13,1.0,0.62,0.82,0.62,0.62,0.82,0.62,0.59,0.82,0.82,0.1,0.1,0.08
FBtr0087888_FBgn0022764,0.14,0.14,0.15,0.62,1.0,0.62,0.67,0.8,0.62,0.67,0.63,0.62,0.62,0.11,0.11,0.09
FBtr0303565_FBgn0022764,0.14,0.14,0.13,0.82,0.62,1.0,0.62,0.62,0.82,0.62,0.59,0.82,0.82,0.1,0.1,0.08
FBtr0339651_FBgn0022764,0.14,0.14,0.15,0.62,0.67,0.62,1.0,0.67,0.62,0.67,0.63,0.62,0.62,0.11,0.11,0.09
FBtr0303566_FBgn0022764,0.14,0.14,0.15,0.62,0.8,0.62,0.67,1.0,0.62,0.67,0.63,0.62,0.62,0.11,0.11,0.09
FBtr0304683_FBgn0022764,0.14,0.14,0.13,0.82,0.62,0.82,0.62,0.62,1.0,0.62,0.59,0.82,0.82,0.1,0.1,0.08
FBtr0087889_FBgn0022764,0.14,0.14,0.15,0.62,0.67,0.62,0.67,0.67,0.62,1.0,0.63,0.62,0.62,0.11,0.11,0.09
FBtr0347014_FBgn0022764,0.14,0.14,0.14,0.59,0.63,0.59,0.63,0.63,0.59,0.63,1.0,0.59,0.59,0.11,0.11,0.09
FBtr0087890_FBgn0022764,0.14,0.14,0.13,0.82,0.62,0.82,0.62,0.62,0.82,0.62,0.59,1.0,0.82,0.1,0.1,0.08
FBtr0339650_FBgn0022764,0.14,0.14,0.14,0.82,0.62,0.82,0.62,0.62,0.82,0.62,0.59,0.82,1.0,0.1,0.1,0.08
F02E9.4a.1_WBGene00004117,0.16,0.16,0.18,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,1.0,0.89,0.11
F02E9.4b.1_WBGene00004117,0.16,0.16,0.18,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.89,1.0,0.11
YOL004W_mRNA_YOL004W,0.1,0.1,0.11,0.08,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.11,0.11,1.0
