,ENSDCDT00000057857_ENSDCDG00000023630,ENSDCDT00000058135_ENSDCDG00000023630,ENSCHAT00000024277_ENSCHAG00000010813,ENSEEET00000020426_ENSEEEG00000006868,ENSEEET00000020589_ENSEEEG00000006868,ENSEEET00000020660_ENSEEEG00000006868,ENSEEET00000020662_ENSEEEG00000006868,ENSEEET00000020928_ENSEEEG00000006868,ENSIPUT00000010064_ENSIPUG00000006364,ENSIPUT00000010129_ENSIPUG00000006364,ENSAMXT00000036179_ENSAMXG00000020608,ENSAMXT00000021232_ENSAMXG00000020608
ENSDCDT00000057857_ENSDCDG00000023630,1.0,0.84,0.76,0.89,0.76,0.71,0.88,0.41,0.93,0.85,0.89,0.62
ENSDCDT00000058135_ENSDCDG00000023630,0.84,1.0,0.68,0.74,0.69,0.69,0.77,0.34,0.77,0.8,0.74,0.56
ENSCHAT00000024277_ENSCHAG00000010813,0.76,0.68,1.0,0.79,0.66,0.61,0.75,0.29,0.75,0.74,0.79,0.53
ENSEEET00000020426_ENSEEEG00000006868,0.89,0.74,0.79,1.0,0.8,0.75,0.92,0.44,0.91,0.82,0.95,0.62
ENSEEET00000020589_ENSEEEG00000006868,0.76,0.69,0.66,0.8,1.0,0.94,0.83,0.38,0.78,0.77,0.74,0.57
ENSEEET00000020660_ENSEEEG00000006868,0.71,0.69,0.61,0.75,0.94,1.0,0.78,0.38,0.72,0.72,0.7,0.57
ENSEEET00000020662_ENSEEEG00000006868,0.88,0.77,0.75,0.92,0.83,0.78,1.0,0.41,0.89,0.86,0.86,0.67
ENSEEET00000020928_ENSEEEG00000006868,0.41,0.34,0.29,0.44,0.38,0.38,0.41,1.0,0.42,0.37,0.41,0.49
ENSIPUT00000010064_ENSIPUG00000006364,0.93,0.77,0.75,0.91,0.78,0.72,0.89,0.42,1.0,0.92,0.91,0.63
ENSIPUT00000010129_ENSIPUG00000006364,0.85,0.8,0.74,0.82,0.77,0.72,0.86,0.37,0.92,1.0,0.82,0.61
ENSAMXT00000036179_ENSAMXG00000020608,0.89,0.74,0.79,0.95,0.74,0.7,0.86,0.41,0.91,0.82,1.0,0.66
ENSAMXT00000021232_ENSAMXG00000020608,0.62,0.56,0.53,0.62,0.57,0.57,0.67,0.49,0.63,0.61,0.66,1.0
