,ENSAOCT00000011386_ENSAOCG00000005621,ENSAPOT00000025515_ENSAPOG00000019640,ENSSPAT00000024398_ENSSPAG00000018121,ENSLCAT00010056084_ENSLCAG00010025479,ENSAPET00000004985_ENSAPEG00000003505,ENSSDUT00000007525_ENSSDUG00000005425,ENSPRNT00000059786_ENSPRNG00000026492,ENSSMAT00000028035_ENSSMAG00000016938,ENSCGOT00000019346_ENSCGOG00000008608,ENSMAMT00000021159_ENSMAMG00000013894,ENSMAMT00000021168_ENSMAMG00000013894,ENSMMOT00000004682_ENSMMOG00000003667
ENSAOCT00000011386_ENSAOCG00000005621,1.0,0.98,0.94,0.89,1.0,0.9,0.89,0.85,0.88,0.85,0.64,0.82
ENSAPOT00000025515_ENSAPOG00000019640,0.98,1.0,0.94,0.89,0.97,0.89,0.89,0.85,0.88,0.85,0.63,0.81
ENSSPAT00000024398_ENSSPAG00000018121,0.94,0.94,1.0,0.89,0.93,0.9,0.9,0.87,0.89,0.85,0.64,0.82
ENSLCAT00010056084_ENSLCAG00010025479,0.89,0.89,0.89,1.0,0.89,0.92,0.9,0.88,0.87,0.85,0.64,0.81
ENSAPET00000004985_ENSAPEG00000003505,1.0,0.97,0.93,0.89,1.0,0.89,0.89,0.85,0.88,0.85,0.64,0.82
ENSSDUT00000007525_ENSSDUG00000005425,0.9,0.89,0.9,0.92,0.89,1.0,0.91,0.89,0.89,0.88,0.67,0.85
ENSPRNT00000059786_ENSPRNG00000026492,0.89,0.89,0.9,0.9,0.89,0.91,1.0,0.91,0.88,0.86,0.65,0.82
ENSSMAT00000028035_ENSSMAG00000016938,0.85,0.85,0.87,0.88,0.85,0.89,0.91,1.0,0.86,0.86,0.64,0.82
ENSCGOT00000019346_ENSCGOG00000008608,0.88,0.88,0.89,0.87,0.88,0.89,0.88,0.86,1.0,0.88,0.67,0.82
ENSMAMT00000021159_ENSMAMG00000013894,0.85,0.85,0.85,0.85,0.85,0.88,0.86,0.86,0.88,1.0,0.79,0.82
ENSMAMT00000021168_ENSMAMG00000013894,0.64,0.63,0.64,0.64,0.64,0.67,0.65,0.64,0.67,0.79,1.0,0.61
ENSMMOT00000004682_ENSMMOG00000003667,0.82,0.81,0.82,0.81,0.82,0.85,0.82,0.82,0.82,0.82,0.61,1.0
