,ENSHHUT00000069936_ENSHHUG00000039862,ENSELUT00000004751_ENSELUG00000009508,ENSGWIT00000052729_ENSGWIG00000023859,ENSHCOT00000022003_ENSHCOG00000017754,ENSHCOT00000027667_ENSHCOG00000017754,ENSSMAT00000016488_ENSSMAG00000009981,ENSTRUT00000026877_ENSTRUG00000010603,ENSTNIT00000014998_ENSTNIG00000011842,ENSMMOT00000003157_ENSMMOG00000001606,ENSMMOT00000003333_ENSMMOG00000001606,ENSGACT00000005455_ENSGACG00000004139,ENSGACT00000005462_ENSGACG00000004139,ENSLCRT00005021303_ENSLCRG00005008496,ENSLCRT00005021306_ENSLCRG00005008496,ENSLBET00000002454_ENSLBEG00000001832,ENSSDUT00000011961_ENSSDUG00000008563
ENSHHUT00000069936_ENSHHUG00000039862,1.0,0.9,0.85,0.77,0.77,0.79,0.81,0.82,0.58,0.52,0.68,0.8,0.83,0.77,0.82,0.83
ENSELUT00000004751_ENSELUG00000009508,0.9,1.0,0.85,0.77,0.77,0.79,0.81,0.81,0.58,0.52,0.68,0.79,0.82,0.77,0.82,0.82
ENSGWIT00000052729_ENSGWIG00000023859,0.85,0.85,1.0,0.78,0.78,0.79,0.81,0.82,0.58,0.52,0.68,0.79,0.83,0.77,0.83,0.82
ENSHCOT00000022003_ENSHCOG00000017754,0.77,0.77,0.78,1.0,0.89,0.79,0.81,0.81,0.58,0.55,0.67,0.79,0.82,0.76,0.82,0.82
ENSHCOT00000027667_ENSHCOG00000017754,0.77,0.77,0.78,0.89,1.0,0.79,0.81,0.81,0.58,0.55,0.67,0.79,0.82,0.76,0.82,0.82
ENSSMAT00000016488_ENSSMAG00000009981,0.79,0.79,0.79,0.79,0.79,1.0,0.83,0.83,0.6,0.54,0.7,0.82,0.85,0.79,0.85,0.86
ENSTRUT00000026877_ENSTRUG00000010603,0.81,0.81,0.81,0.81,0.81,0.83,1.0,0.89,0.63,0.57,0.72,0.83,0.87,0.81,0.87,0.87
ENSTNIT00000014998_ENSTNIG00000011842,0.82,0.81,0.82,0.81,0.81,0.83,0.89,1.0,0.64,0.57,0.72,0.83,0.88,0.81,0.87,0.87
ENSMMOT00000003157_ENSMMOG00000001606,0.58,0.58,0.58,0.58,0.58,0.6,0.63,0.64,1.0,0.66,0.53,0.6,0.64,0.61,0.63,0.64
ENSMMOT00000003333_ENSMMOG00000001606,0.52,0.52,0.52,0.55,0.55,0.54,0.57,0.57,0.66,1.0,0.51,0.54,0.58,0.54,0.57,0.58
ENSGACT00000005455_ENSGACG00000004139,0.68,0.68,0.68,0.67,0.67,0.7,0.72,0.72,0.53,0.51,1.0,0.74,0.73,0.69,0.73,0.74
ENSGACT00000005462_ENSGACG00000004139,0.8,0.79,0.79,0.79,0.79,0.82,0.83,0.83,0.6,0.54,0.74,1.0,0.85,0.79,0.85,0.85
ENSLCRT00005021303_ENSLCRG00005008496,0.83,0.82,0.83,0.82,0.82,0.85,0.87,0.88,0.64,0.58,0.73,0.85,1.0,0.86,0.89,0.89
ENSLCRT00005021306_ENSLCRG00005008496,0.77,0.77,0.77,0.76,0.76,0.79,0.81,0.81,0.61,0.54,0.69,0.79,0.86,1.0,0.83,0.83
ENSLBET00000002454_ENSLBEG00000001832,0.82,0.82,0.83,0.82,0.82,0.85,0.87,0.87,0.63,0.57,0.73,0.85,0.89,0.83,1.0,0.89
ENSSDUT00000011961_ENSSDUG00000008563,0.83,0.82,0.82,0.82,0.82,0.86,0.87,0.87,0.64,0.58,0.74,0.85,0.89,0.83,0.89,1.0
