,ENSRROT00000032570_ENSRROG00000028705,ENSRBIT00000031009_ENSRBIG00000027612,ENSMFAT00000028061_ENSMFAG00000036339,ENSMNET00000066316_ENSMNEG00000043712,ENSCATT00000069721_ENSCATG00000045056,ENSMLET00000054993_ENSMLEG00000039919,ENSPANT00000034508_ENSPANG00000032470,ENSPPAT00000016938_ENSPPAG00000015511,ENSPTRT00000086678_ENSPTRG00000045929,ENSCCAT00000041408_ENSCCAG00000029740
ENSRROT00000032570_ENSRROG00000028705,1.0,0.75,0.33,0.33,0.5,0.5,0.25,0.5,0.5,0.25
ENSRBIT00000031009_ENSRBIG00000027612,0.75,1.0,0.33,0.33,0.5,0.5,0.25,0.5,0.5,0.25
ENSMFAT00000028061_ENSMFAG00000036339,0.33,0.33,1.0,1.0,0.5,0.5,0.17,0.33,0.33,0.17
ENSMNET00000066316_ENSMNEG00000043712,0.33,0.33,1.0,1.0,0.5,0.5,0.17,0.33,0.33,0.17
ENSCATT00000069721_ENSCATG00000045056,0.5,0.5,0.5,0.5,1.0,0.75,0.25,0.5,0.5,0.25
ENSMLET00000054993_ENSMLEG00000039919,0.5,0.5,0.5,0.5,0.75,1.0,0.25,0.5,0.5,0.25
ENSPANT00000034508_ENSPANG00000032470,0.25,0.25,0.17,0.17,0.25,0.25,1.0,0.25,0.25,0.5
ENSPPAT00000016938_ENSPPAG00000015511,0.5,0.5,0.33,0.33,0.5,0.5,0.25,1.0,0.75,0.5
ENSPTRT00000086678_ENSPTRG00000045929,0.5,0.5,0.33,0.33,0.5,0.5,0.25,0.75,1.0,0.5
ENSCCAT00000041408_ENSCCAG00000029740,0.25,0.25,0.17,0.17,0.25,0.25,0.5,0.5,0.5,1.0
