,B0244.4a.1_WBGene00015079,B0244.4b.1_WBGene00015079,B0244.4c.1_WBGene00015079,B0244.5.1_WBGene00015080,B0244.15.1_WBGene00206513,B0244.10a.1_WBGene00015085,B0244.10b.1_WBGene00015085,B0244.17.1_WBGene00271715,B0244.16.1_WBGene00271577,B0244.6.1_WBGene00015081,B0244.7.1_WBGene00015082
B0244.4a.1_WBGene00015079,1.0,0.68,0.54,0.66,0.43,0.63,0.42,0.63,0.49,0.62,0.42
B0244.4b.1_WBGene00015079,0.68,1.0,0.68,0.79,0.43,0.76,0.39,0.76,0.46,0.53,0.53
B0244.4c.1_WBGene00015079,0.54,0.68,1.0,0.65,0.34,0.62,0.41,0.63,0.39,0.42,0.53
B0244.5.1_WBGene00015080,0.66,0.79,0.65,1.0,0.43,0.76,0.38,0.76,0.45,0.53,0.53
B0244.15.1_WBGene00206513,0.43,0.43,0.34,0.43,1.0,0.42,0.28,0.43,0.33,0.39,0.45
B0244.10a.1_WBGene00015085,0.63,0.76,0.62,0.76,0.42,1.0,0.4,0.76,0.46,0.54,0.53
B0244.10b.1_WBGene00015085,0.42,0.39,0.41,0.38,0.28,0.4,1.0,0.39,0.38,0.38,0.32
B0244.17.1_WBGene00271715,0.63,0.76,0.63,0.76,0.43,0.76,0.39,1.0,0.46,0.54,0.53
B0244.16.1_WBGene00271577,0.49,0.46,0.39,0.45,0.33,0.46,0.38,0.46,1.0,0.49,0.34
B0244.6.1_WBGene00015081,0.62,0.53,0.42,0.53,0.39,0.54,0.38,0.54,0.49,1.0,0.37
B0244.7.1_WBGene00015082,0.42,0.53,0.53,0.53,0.45,0.53,0.32,0.53,0.34,0.37,1.0
