,ENSEEUT00000003053_ENSEEUG00000003059,ENSSART00000006667_ENSSARG00000006676,ENSCCNT00000035509_ENSCCNG00000027104,ENSDORT00000002402_ENSDORG00000002406,ENSSTOT00000015304_ENSSTOG00000015313,ENSSTOT00000033743_ENSSTOG00000015313,ENSSDAT00000030466_ENSSDAG00000024172,ENSUPAT00010020714_ENSUPAG00010014449,ENSUPAT00010020728_ENSUPAG00010014449,ENSUPAT00010020731_ENSUPAG00010014449
ENSEEUT00000003053_ENSEEUG00000003059,1.0,0.2,0.21,0.17,0.21,0.25,0.21,0.21,0.21,0.25
ENSSART00000006667_ENSSARG00000006676,0.2,1.0,0.6,0.39,0.6,0.66,0.6,0.6,0.6,0.67
ENSCCNT00000035509_ENSCCNG00000027104,0.21,0.6,1.0,0.39,0.94,0.76,0.94,0.94,0.94,0.76
ENSDORT00000002402_ENSDORG00000002406,0.17,0.39,0.39,1.0,0.39,0.44,0.39,0.39,0.39,0.44
ENSSTOT00000015304_ENSSTOG00000015313,0.21,0.6,0.94,0.39,1.0,0.77,0.95,0.95,0.95,0.77
ENSSTOT00000033743_ENSSTOG00000015313,0.25,0.66,0.76,0.44,0.77,1.0,0.77,0.77,0.77,0.88
ENSSDAT00000030466_ENSSDAG00000024172,0.21,0.6,0.94,0.39,0.95,0.77,1.0,0.95,0.95,0.77
ENSUPAT00010020714_ENSUPAG00010014449,0.21,0.6,0.94,0.39,0.95,0.77,0.95,1.0,0.95,0.77
ENSUPAT00010020728_ENSUPAG00010014449,0.21,0.6,0.94,0.39,0.95,0.77,0.95,0.95,1.0,0.77
ENSUPAT00010020731_ENSUPAG00010014449,0.25,0.67,0.76,0.44,0.77,0.88,0.77,0.77,0.77,1.0
