,ENSSCAT00000012948_ENSSCAG00000008605,ENSZALT00000003348_ENSZALG00000002185,ENSMVIT00005030185_ENSMVIG00005018696,ENSMVIT00005030207_ENSMVIG00005018708,ENSMVIT00005031207_ENSMVIG00005019333,ENSMVIT00005030222_ENSMVIG00005018721,ENSZALT00000007376_ENSZALG00000004605,ENSLCOT00000007838_ENSLCOG00000005412,ENSSCAT00000012951_ENSSCAG00000008608,ENSCPUT00000003340_ENSCPUG00000002097,ENSCPUT00000025122_ENSCPUG00000014494,ENSLCOT00000007842_ENSLCOG00000005416,ENSDNVT00000032511_ENSDNVG00000018705
ENSSCAT00000012948_ENSSCAG00000008605,1.0,0.57,0.3,0.3,0.3,0.3,0.58,0.3,0.12,0.18,0.18,0.31,0.77
ENSZALT00000003348_ENSZALG00000002185,0.57,1.0,0.57,0.57,0.57,0.57,0.84,0.43,0.12,0.28,0.28,0.43,0.7
ENSMVIT00005030185_ENSMVIG00005018696,0.3,0.57,1.0,1.0,1.0,1.0,0.43,0.78,0.27,0.36,0.36,0.78,0.3
ENSMVIT00005030207_ENSMVIG00005018708,0.3,0.57,1.0,1.0,1.0,1.0,0.43,0.78,0.27,0.36,0.36,0.78,0.3
ENSMVIT00005031207_ENSMVIG00005019333,0.3,0.57,1.0,1.0,1.0,1.0,0.43,0.78,0.27,0.36,0.36,0.78,0.3
ENSMVIT00005030222_ENSMVIG00005018721,0.3,0.57,1.0,1.0,1.0,1.0,0.43,0.78,0.27,0.36,0.36,0.78,0.3
ENSZALT00000007376_ENSZALG00000004605,0.58,0.84,0.43,0.43,0.43,0.43,1.0,0.57,0.13,0.39,0.39,0.57,0.7
ENSLCOT00000007838_ENSLCOG00000005412,0.3,0.43,0.78,0.78,0.78,0.78,0.57,1.0,0.27,0.5,0.5,0.98,0.3
ENSSCAT00000012951_ENSSCAG00000008608,0.12,0.12,0.27,0.27,0.27,0.27,0.13,0.27,1.0,0.05,0.05,0.27,0.12
ENSCPUT00000003340_ENSCPUG00000002097,0.18,0.28,0.36,0.36,0.36,0.36,0.39,0.5,0.05,1.0,0.86,0.5,0.18
ENSCPUT00000025122_ENSCPUG00000014494,0.18,0.28,0.36,0.36,0.36,0.36,0.39,0.5,0.05,0.86,1.0,0.5,0.18
ENSLCOT00000007842_ENSLCOG00000005416,0.31,0.43,0.78,0.78,0.78,0.78,0.57,0.98,0.27,0.5,0.5,1.0,0.3
ENSDNVT00000032511_ENSDNVG00000018705,0.77,0.7,0.3,0.3,0.3,0.3,0.7,0.3,0.12,0.18,0.18,0.3,1.0
