,ENSEBUT00000008210_ENSEBUG00000005036,ENSEBUT00000010705_ENSEBUG00000006533,ENSVURT00010020644_ENSVURG00010013866,ENSVURT00010020661_ENSVURG00010013866,ENSVURT00010020680_ENSVURG00010013866,ENSVURT00010020697_ENSVURG00010013866,ENSVURT00010020709_ENSVURG00010013866,ENSVURT00010020753_ENSVURG00010013866,ENSVURT00010020769_ENSVURG00010013866,ENSPCIT00000029170_ENSPCIG00000017911,ENSPCIT00000064398_ENSPCIG00000017911,ENSPCIT00000029169_ENSPCIG00000017911,ENSPCIT00000029171_ENSPCIG00000017911,ENSPCIT00000061318_ENSPCIG00000017911,ENSPCIT00000029168_ENSPCIG00000017911,ENSSHAT00000020294_ENSSHAG00000017080,ENSMODT00000021640_ENSMODG00000017043,ENSMODT00000070261_ENSMODG00000017043,ENSPCAT00000004783_ENSPCAG00000004757,ENSLAFT00000029524_ENSLAFG00000025636,ENSETET00000008121_ENSETEG00000008120,ENSCLAT00000004201_ENSCLAG00000002939,ENSCPOT00000015184_ENSCPOG00000015037,ENSCAPT00000018093_ENSCAPG00000014708
ENSEBUT00000008210_ENSEBUG00000005036,1.0,0.45,0.35,0.37,0.36,0.34,0.38,0.32,0.32,0.21,0.22,0.32,0.32,0.27,0.35,0.36,0.36,0.35,0.35,0.36,0.36,0.37,0.37,0.38
ENSEBUT00000010705_ENSEBUG00000006533,0.45,1.0,0.33,0.34,0.35,0.36,0.37,0.32,0.32,0.19,0.2,0.32,0.32,0.25,0.33,0.33,0.35,0.36,0.3,0.36,0.35,0.36,0.36,0.3
ENSVURT00010020644_ENSVURG00010013866,0.35,0.33,1.0,0.91,0.92,0.87,0.86,0.15,0.15,0.62,0.64,0.15,0.16,0.75,0.9,0.89,0.89,0.84,0.5,0.52,0.68,0.79,0.78,0.49
ENSVURT00010020661_ENSVURG00010013866,0.37,0.34,0.91,1.0,0.88,0.83,0.81,0.16,0.16,0.59,0.61,0.16,0.17,0.72,0.86,0.85,0.84,0.8,0.51,0.54,0.65,0.75,0.75,0.48
ENSVURT00010020680_ENSVURG00010013866,0.36,0.35,0.92,0.88,1.0,0.91,0.89,0.15,0.15,0.61,0.63,0.15,0.15,0.74,0.91,0.9,0.93,0.88,0.5,0.54,0.71,0.82,0.82,0.5
ENSVURT00010020697_ENSVURG00010013866,0.34,0.36,0.87,0.83,0.91,1.0,0.84,0.16,0.16,0.58,0.6,0.16,0.16,0.7,0.86,0.85,0.88,0.91,0.48,0.56,0.7,0.79,0.78,0.47
ENSVURT00010020709_ENSVURG00010013866,0.38,0.37,0.86,0.81,0.89,0.84,1.0,0.16,0.16,0.57,0.58,0.16,0.17,0.68,0.84,0.83,0.85,0.8,0.46,0.49,0.65,0.76,0.76,0.49
ENSVURT00010020753_ENSVURG00010013866,0.32,0.32,0.15,0.16,0.15,0.16,0.16,1.0,0.92,0.46,0.42,1.0,0.83,0.31,0.15,0.15,0.15,0.16,0.16,0.18,0.16,0.17,0.17,0.17
ENSVURT00010020769_ENSVURG00010013866,0.32,0.32,0.15,0.16,0.15,0.16,0.16,0.92,1.0,0.49,0.46,0.91,0.9,0.31,0.15,0.15,0.15,0.16,0.16,0.18,0.16,0.17,0.17,0.17
ENSPCIT00000029170_ENSPCIG00000017911,0.21,0.19,0.62,0.59,0.61,0.58,0.57,0.46,0.49,1.0,0.96,0.46,0.49,0.81,0.63,0.59,0.59,0.56,0.32,0.34,0.44,0.51,0.51,0.31
ENSPCIT00000064398_ENSPCIG00000017911,0.22,0.2,0.64,0.61,0.63,0.6,0.58,0.42,0.46,0.96,1.0,0.42,0.46,0.83,0.65,0.61,0.61,0.57,0.33,0.35,0.46,0.53,0.53,0.32
ENSPCIT00000029169_ENSPCIG00000017911,0.32,0.32,0.15,0.16,0.15,0.16,0.16,1.0,0.91,0.46,0.42,1.0,0.84,0.31,0.15,0.15,0.15,0.16,0.16,0.18,0.16,0.17,0.17,0.17
