,ENSOCUT00000013006_ENSOCUG00000013004,ENSTBET00000005852_ENSTBEG00000005842,ENSTGET00000044306_ENSTGEG00000029701,ENSPTET00000013588_ENSPTEG00000010122,ENSPPYT00000019399_ENSPPYG00000016678,ENSPPAT00000048223_ENSPPAG00000035830,ENSPPAT00000048225_ENSPPAG00000035830,ENST00000507065_ENSG00000164393,ENST00000296862_ENSG00000164393,ENST00000398742_ENSG00000164393,ENSNLET00000005401_ENSNLEG00000004235,ENSNLET00000054938_ENSNLEG00000004235,ENSRROT00000046407_ENSRROG00000034989
ENSOCUT00000013006_ENSOCUG00000013004,1.0,0.24,0.8,0.8,0.66,0.37,0.8,0.56,0.37,0.8,0.8,0.31,0.8
ENSTBET00000005852_ENSTBEG00000005842,0.24,1.0,0.26,0.26,0.26,0.33,0.26,0.29,0.33,0.26,0.26,0.34,0.26
ENSTGET00000044306_ENSTGEG00000029701,0.8,0.26,1.0,1.0,0.82,0.44,1.0,0.68,0.44,0.99,0.99,0.36,1.0
ENSPTET00000013588_ENSPTEG00000010122,0.8,0.26,1.0,1.0,0.82,0.44,0.99,0.68,0.44,0.99,0.99,0.36,1.0
ENSPPYT00000019399_ENSPPYG00000016678,0.66,0.26,0.82,0.82,1.0,0.48,0.83,0.76,0.48,0.83,0.82,0.38,0.82
ENSPPAT00000048223_ENSPPAG00000035830,0.37,0.33,0.44,0.44,0.48,1.0,0.44,0.62,0.94,0.44,0.44,0.73,0.44
ENSPPAT00000048225_ENSPPAG00000035830,0.8,0.26,1.0,0.99,0.83,0.44,1.0,0.69,0.44,1.0,1.0,0.36,0.99
ENST00000507065_ENSG00000164393,0.56,0.29,0.68,0.68,0.76,0.62,0.69,1.0,0.62,0.69,0.68,0.49,0.68
ENST00000296862_ENSG00000164393,0.37,0.33,0.44,0.44,0.48,0.94,0.44,0.62,1.0,0.44,0.44,0.72,0.44
ENST00000398742_ENSG00000164393,0.8,0.26,0.99,0.99,0.83,0.44,1.0,0.69,0.44,1.0,1.0,0.36,0.99
ENSNLET00000005401_ENSNLEG00000004235,0.8,0.26,0.99,0.99,0.82,0.44,1.0,0.68,0.44,1.0,1.0,0.36,0.99
ENSNLET00000054938_ENSNLEG00000004235,0.31,0.34,0.36,0.36,0.38,0.73,0.36,0.49,0.72,0.36,0.36,1.0,0.36
ENSRROT00000046407_ENSRROG00000034989,0.8,0.26,1.0,1.0,0.82,0.44,0.99,0.68,0.44,0.99,0.99,0.36,1.0
