,ENSDCDT00000006899_ENSDCDG00000002796,ENSDCDT00000006939_ENSDCDG00000002796,ENSDCDT00000006972_ENSDCDG00000002796,ENSDCDT00000007029_ENSDCDG00000002796,ENSDCDT00000007038_ENSDCDG00000002796,ENSDCDT00000007046_ENSDCDG00000002796,ENSCHAT00000025971_ENSCHAG00000011713,ENSAMXT00000031902_ENSAMXG00000013919,ENSAMXT00000014325_ENSAMXG00000013919,ENSPNAT00000003849_ENSPNAG00000002198,ENSIPUT00000032936_ENSIPUG00000021310,ENSEEET00000038000_ENSEEEG00000017863
ENSDCDT00000006899_ENSDCDG00000002796,1.0,0.64,0.6,0.58,0.6,0.6,0.64,0.81,0.77,0.75,0.78,0.33
ENSDCDT00000006939_ENSDCDG00000002796,0.64,1.0,0.77,0.71,0.73,0.74,0.67,0.6,0.61,0.52,0.59,0.43
ENSDCDT00000006972_ENSDCDG00000002796,0.6,0.77,1.0,0.8,0.81,0.82,0.67,0.57,0.58,0.48,0.56,0.51
ENSDCDT00000007029_ENSDCDG00000002796,0.58,0.71,0.8,1.0,0.9,0.86,0.62,0.55,0.56,0.46,0.55,0.49
ENSDCDT00000007038_ENSDCDG00000002796,0.6,0.73,0.81,0.9,1.0,0.88,0.64,0.57,0.58,0.48,0.56,0.5
ENSDCDT00000007046_ENSDCDG00000002796,0.6,0.74,0.82,0.86,0.88,1.0,0.64,0.57,0.59,0.49,0.57,0.5
ENSCHAT00000025971_ENSCHAG00000011713,0.64,0.67,0.67,0.62,0.64,0.64,1.0,0.63,0.6,0.55,0.61,0.44
ENSAMXT00000031902_ENSAMXG00000013919,0.81,0.6,0.57,0.55,0.57,0.57,0.63,1.0,0.95,0.83,0.81,0.33
ENSAMXT00000014325_ENSAMXG00000013919,0.77,0.61,0.58,0.56,0.58,0.59,0.6,0.95,1.0,0.8,0.77,0.34
ENSPNAT00000003849_ENSPNAG00000002198,0.75,0.52,0.48,0.46,0.48,0.49,0.55,0.83,0.8,1.0,0.77,0.34
ENSIPUT00000032936_ENSIPUG00000021310,0.78,0.59,0.56,0.55,0.56,0.57,0.61,0.81,0.77,0.77,1.0,0.34
ENSEEET00000038000_ENSEEEG00000017863,0.33,0.43,0.51,0.49,0.5,0.5,0.44,0.33,0.34,0.34,0.34,1.0
