,ENSPMJT00000008910_ENSPMJG00000005371,ENSCCET00000028128_ENSCCEG00000016835,ENSFALT00000002338_ENSFALG00000002237,ENSZALT00000006684_ENSZALG00000004157,ENSZALT00000006688_ENSZALG00000004157,ENSMVIT00005006322_ENSMVIG00005004228,ENSMVIT00005006330_ENSMVIG00005004228,ENSMVIT00005006353_ENSMVIG00005004228,ENSMVIT00005006388_ENSMVIG00005004228,ENSLCOT00000024712_ENSLCOG00000016407,ENSLCOT00000024713_ENSLCOG00000016407,ENSABRT00000004810_ENSABRG00000003143
ENSPMJT00000008910_ENSPMJG00000005371,1.0,0.85,0.65,0.65,0.62,0.85,0.81,0.83,0.81,0.49,0.48,0.69
ENSCCET00000028128_ENSCCEG00000016835,0.85,1.0,0.6,0.6,0.57,0.79,0.74,0.76,0.75,0.5,0.48,0.63
ENSFALT00000002338_ENSFALG00000002237,0.65,0.6,1.0,0.71,0.67,0.65,0.6,0.63,0.61,0.49,0.47,0.51
ENSZALT00000006684_ENSZALG00000004157,0.65,0.6,0.71,1.0,0.9,0.66,0.61,0.63,0.61,0.51,0.49,0.5
ENSZALT00000006688_ENSZALG00000004157,0.62,0.57,0.67,0.9,1.0,0.62,0.57,0.6,0.58,0.47,0.45,0.47
ENSMVIT00005006322_ENSMVIG00005004228,0.85,0.79,0.65,0.66,0.62,1.0,0.9,0.93,0.9,0.54,0.52,0.68
ENSMVIT00005006330_ENSMVIG00005004228,0.81,0.74,0.6,0.61,0.57,0.9,1.0,0.87,0.87,0.54,0.51,0.63
ENSMVIT00005006353_ENSMVIG00005004228,0.83,0.76,0.63,0.63,0.6,0.93,0.87,1.0,0.88,0.53,0.51,0.65
ENSMVIT00005006388_ENSMVIG00005004228,0.81,0.75,0.61,0.61,0.58,0.9,0.87,0.88,1.0,0.51,0.48,0.64
ENSLCOT00000024712_ENSLCOG00000016407,0.49,0.5,0.49,0.51,0.47,0.54,0.54,0.53,0.51,1.0,0.9,0.39
ENSLCOT00000024713_ENSLCOG00000016407,0.48,0.48,0.47,0.49,0.45,0.52,0.51,0.51,0.48,0.9,1.0,0.38
ENSABRT00000004810_ENSABRG00000003143,0.69,0.63,0.51,0.5,0.47,0.68,0.63,0.65,0.64,0.39,0.38,1.0
