,ENSPMAT00000006561_ENSPMAG00000005866,ENSEBUT00000021594_ENSEBUG00000012989,ENSDCDT00000063585_ENSDCDG00000031392,ENSDCDT00000063599_ENSDCDG00000031392,ENSDCDT00000063608_ENSDCDG00000031392,ENSDCDT00000063609_ENSDCDG00000031392,ENSDCDT00000063611_ENSDCDG00000031392,ENSDCDT00000063615_ENSDCDG00000031392,ENSDCDT00000063616_ENSDCDG00000031392,ENSCHAT00000056176_ENSCHAG00000023781,ENSCHAT00000056193_ENSCHAG00000023781,ENSCHAT00000056205_ENSCHAG00000023781,ENSCHAT00000056223_ENSCHAG00000023781,ENSCHAT00000056243_ENSCHAG00000023781,ENSCHAT00000056255_ENSCHAG00000023781,ENSCHAT00000056262_ENSCHAG00000023781,ENSCHAT00000056274_ENSCHAG00000023781,ENSCHAT00000056283_ENSCHAG00000023781,ENSCHAT00000056295_ENSCHAG00000023781,ENSAMXT00000008899_ENSAMXG00000008660
ENSPMAT00000006561_ENSPMAG00000005866,1.0,0.77,0.79,0.74,0.74,0.74,0.73,0.77,0.76,0.71,0.71,0.72,0.77,0.69,0.7,0.78,0.69,0.78,0.71,0.79
ENSEBUT00000021594_ENSEBUG00000012989,0.77,1.0,0.82,0.78,0.78,0.78,0.76,0.82,0.79,0.73,0.74,0.74,0.82,0.73,0.73,0.82,0.72,0.82,0.74,0.85
ENSDCDT00000063585_ENSDCDG00000031392,0.79,0.82,1.0,0.87,0.87,0.87,0.86,0.91,0.89,0.78,0.78,0.79,0.86,0.76,0.77,0.86,0.76,0.86,0.78,0.87
ENSDCDT00000063599_ENSDCDG00000031392,0.74,0.78,0.87,1.0,0.88,0.88,0.93,0.85,0.9,0.77,0.76,0.75,0.8,0.72,0.74,0.82,0.73,0.82,0.74,0.82
ENSDCDT00000063608_ENSDCDG00000031392,0.74,0.78,0.87,0.88,1.0,0.9,0.86,0.85,0.92,0.74,0.78,0.75,0.8,0.72,0.74,0.82,0.73,0.82,0.74,0.82
ENSDCDT00000063609_ENSDCDG00000031392,0.74,0.78,0.87,0.88,0.9,1.0,0.86,0.85,0.92,0.74,0.76,0.79,0.8,0.72,0.74,0.82,0.73,0.82,0.74,0.82
ENSDCDT00000063611_ENSDCDG00000031392,0.73,0.76,0.86,0.93,0.86,0.86,1.0,0.84,0.88,0.73,0.74,0.74,0.79,0.71,0.77,0.81,0.71,0.81,0.73,0.81
ENSDCDT00000063615_ENSDCDG00000031392,0.77,0.82,0.91,0.85,0.85,0.85,0.84,1.0,0.87,0.76,0.76,0.77,0.92,0.81,0.75,0.85,0.75,0.85,0.77,0.87
ENSDCDT00000063616_ENSDCDG00000031392,0.76,0.79,0.89,0.9,0.92,0.92,0.88,0.87,1.0,0.76,0.77,0.76,0.82,0.74,0.75,0.84,0.74,0.84,0.78,0.84
ENSCHAT00000056176_ENSCHAG00000023781,0.71,0.73,0.78,0.77,0.74,0.74,0.73,0.76,0.76,1.0,0.92,0.92,0.81,0.9,0.9,0.82,0.9,0.82,0.91,0.77
ENSCHAT00000056193_ENSCHAG00000023781,0.71,0.74,0.78,0.76,0.78,0.76,0.74,0.76,0.77,0.92,1.0,0.93,0.81,0.91,0.92,0.83,0.91,0.83,0.92,0.78
ENSCHAT00000056205_ENSCHAG00000023781,0.72,0.74,0.79,0.75,0.75,0.79,0.74,0.77,0.76,0.92,0.93,1.0,0.82,0.91,0.92,0.83,0.91,0.83,0.93,0.78
ENSCHAT00000056223_ENSCHAG00000023781,0.77,0.82,0.86,0.8,0.8,0.8,0.79,0.92,0.82,0.81,0.81,0.82,1.0,0.88,0.8,0.9,0.8,0.9,0.83,0.87
ENSCHAT00000056243_ENSCHAG00000023781,0.69,0.73,0.76,0.72,0.72,0.72,0.71,0.81,0.74,0.9,0.91,0.91,0.88,1.0,0.9,0.81,0.9,0.81,0.92,0.77
ENSCHAT00000056255_ENSCHAG00000023781,0.7,0.73,0.77,0.74,0.74,0.74,0.77,0.75,0.75,0.9,0.92,0.92,0.8,0.9,1.0,0.82,0.89,0.82,0.91,0.77
ENSCHAT00000056262_ENSCHAG00000023781,0.78,0.82,0.86,0.82,0.82,0.82,0.81,0.85,0.84,0.82,0.83,0.83,0.9,0.81,0.82,1.0,0.81,0.91,0.82,0.87
ENSCHAT00000056274_ENSCHAG00000023781,0.69,0.72,0.76,0.73,0.73,0.73,0.71,0.75,0.74,0.9,0.91,0.91,0.8,0.9,0.89,0.81,1.0,0.81,0.91,0.76
ENSCHAT00000056283_ENSCHAG00000023781,0.78,0.82,0.86,0.82,0.82,0.82,0.81,0.85,0.84,0.82,0.83,0.83,0.9,0.81,0.82,0.91,0.81,1.0,0.82,0.87
ENSCHAT00000056295_ENSCHAG00000023781,0.71,0.74,0.78,0.74,0.74,0.74,0.73,0.77,0.78,0.91,0.92,0.93,0.83,0.92,0.91,0.82,0.91,0.82,1.0,0.78
ENSAMXT00000008899_ENSAMXG00000008660,0.79,0.85,0.87,0.82,0.82,0.82,0.81,0.87,0.84,0.77,0.78,0.78,0.87,0.77,0.77,0.87,0.76,0.87,0.78,1.0
