,ENSPCIT00000022062_ENSPCIG00000013654,ENSPCIT00000067292_ENSPCIG00000013654,ENSVURT00010031173_ENSVURG00010020943,ENSMODT00000024881_ENSMODG00000019594,ENSPPAT00000062374_ENSPPAG00000042428,ENSGGOT00000016288_ENSGGOG00000037532,ENST00000252744_ENSG00000130449,ENSPPYT00000029404_ENSPPYG00000025925,ENSNLET00000003632_ENSNLEG00000002851,ENSMMUT00000041615_ENSMMUG00000002532,ENSCATT00000034594_ENSCATG00000029524,ENSPANT00000047443_ENSPANG00000007582,ENSTGET00000022644_ENSTGEG00000015312,ENSCSAT00000014126_ENSCSAG00000016034,ENSRBIT00000031996_ENSRBIG00000028085
ENSPCIT00000022062_ENSPCIG00000013654,1.0,0.91,0.91,0.82,0.85,0.15,0.9,0.78,0.62,0.98,0.9,0.98,0.79,0.81,0.76
ENSPCIT00000067292_ENSPCIG00000013654,0.91,1.0,0.82,0.74,0.77,0.16,0.81,0.7,0.55,0.89,0.81,0.89,0.72,0.72,0.69
ENSVURT00010031173_ENSVURG00010020943,0.91,0.82,1.0,0.87,0.9,0.16,0.95,0.83,0.66,0.9,0.95,0.89,0.84,0.86,0.8
ENSMODT00000024881_ENSMODG00000019594,0.82,0.74,0.87,1.0,0.89,0.16,0.87,0.76,0.64,0.81,0.87,0.81,0.78,0.85,0.79
ENSPPAT00000062374_ENSPPAG00000042428,0.85,0.77,0.9,0.89,1.0,0.19,0.92,0.81,0.67,0.86,0.92,0.86,0.82,0.93,0.81
ENSGGOT00000016288_ENSGGOG00000037532,0.15,0.16,0.16,0.16,0.19,1.0,0.16,0.08,0.17,0.15,0.17,0.15,0.15,0.21,0.17
ENST00000252744_ENSG00000130449,0.9,0.81,0.95,0.87,0.92,0.16,1.0,0.84,0.67,0.91,0.96,0.91,0.85,0.87,0.81
ENSPPYT00000029404_ENSPPYG00000025925,0.78,0.7,0.83,0.76,0.81,0.08,0.84,1.0,0.63,0.8,0.85,0.8,0.76,0.76,0.72
ENSNLET00000003632_ENSNLEG00000002851,0.62,0.55,0.66,0.64,0.67,0.17,0.67,0.63,1.0,0.63,0.67,0.63,0.61,0.63,0.72
ENSMMUT00000041615_ENSMMUG00000002532,0.98,0.89,0.9,0.81,0.86,0.15,0.91,0.8,0.63,1.0,0.91,1.0,0.81,0.82,0.77
ENSCATT00000034594_ENSCATG00000029524,0.9,0.81,0.95,0.87,0.92,0.17,0.96,0.85,0.67,0.91,1.0,0.91,0.86,0.87,0.82
ENSPANT00000047443_ENSPANG00000007582,0.98,0.89,0.89,0.81,0.86,0.15,0.91,0.8,0.63,1.0,0.91,1.0,0.81,0.82,0.77
ENSTGET00000022644_ENSTGEG00000015312,0.79,0.72,0.84,0.78,0.82,0.15,0.85,0.76,0.61,0.81,0.86,0.81,1.0,0.78,0.74
ENSCSAT00000014126_ENSCSAG00000016034,0.81,0.72,0.86,0.85,0.93,0.21,0.87,0.76,0.63,0.82,0.87,0.82,0.78,1.0,0.78
ENSRBIT00000031996_ENSRBIG00000028085,0.76,0.69,0.8,0.79,0.81,0.17,0.81,0.72,0.72,0.77,0.82,0.77,0.74,0.78,1.0
