,FBtr0075519_FBgn0036557,C32A3.2.1_WBGene00007859,ENSEEET00000037010_ENSEEEG00000017376,ENSIPUT00000032804_ENSIPUG00000021226,ENSDART00000147007_ENSDARG00000057855,ENSDART00000080609_ENSDARG00000057855,ENSDCDT00000062769_ENSDCDG00000031065,ENSCHAT00000007010_ENSCHAG00000003907,ENSGWIT00000024364_ENSGWIG00000011932,ENSPMGT00000003930_ENSPMGG00000003183,ENSTRUT00000042290_ENSTRUG00000016490,ENSLCRT00005056358_ENSLCRG00005020685,ENSCGOT00000045961_ENSCGOG00000019427,ENSSDUT00000014365_ENSSDUG00000010247
FBtr0075519_FBgn0036557,1.0,0.17,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C32A3.2.1_WBGene00007859,0.17,1.0,0.05,0.05,0.05,0.05,1e-18,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,0.1
ENSEEET00000037010_ENSEEEG00000017376,1e-18,0.05,1.0,0.64,0.64,0.64,0.43,0.64,0.36,0.38,0.43,0.43,0.38,0.5
ENSIPUT00000032804_ENSIPUG00000021226,1e-18,0.05,0.64,1.0,0.64,0.64,0.43,0.57,0.36,0.38,0.43,0.43,0.38,0.5
ENSDART00000147007_ENSDARG00000057855,1e-18,0.05,0.64,0.64,1.0,0.71,0.43,0.57,0.36,0.38,0.43,0.43,0.38,0.5
ENSDART00000080609_ENSDARG00000057855,1e-18,0.05,0.64,0.64,0.71,1.0,0.43,0.57,0.36,0.38,0.43,0.43,0.38,0.5
ENSDCDT00000062769_ENSDCDG00000031065,1e-18,1e-18,0.43,0.43,0.43,0.43,1.0,0.36,0.42,0.43,0.58,0.58,0.43,0.43
ENSCHAT00000007010_ENSCHAG00000003907,1e-18,0.05,0.64,0.57,0.57,0.57,0.36,1.0,0.29,0.31,0.36,0.36,0.31,0.43
ENSGWIT00000024364_ENSGWIG00000011932,1e-18,1e-18,0.36,0.36,0.36,0.36,0.42,0.29,1.0,0.29,0.42,0.42,0.29,0.5
ENSPMGT00000003930_ENSPMGG00000003183,1e-18,1e-18,0.38,0.38,0.38,0.38,0.43,0.31,0.29,1.0,0.5,0.5,0.5,0.31
ENSTRUT00000042290_ENSTRUG00000016490,1e-18,1e-18,0.43,0.43,0.43,0.43,0.58,0.36,0.42,0.5,1.0,0.67,0.5,0.43
ENSLCRT00005056358_ENSLCRG00005020685,1e-18,1e-18,0.43,0.43,0.43,0.43,0.58,0.36,0.42,0.5,0.67,1.0,0.5,0.43
ENSCGOT00000045961_ENSCGOG00000019427,1e-18,1e-18,0.38,0.38,0.38,0.38,0.43,0.31,0.29,0.5,0.5,0.5,1.0,0.31
ENSSDUT00000014365_ENSSDUG00000010247,1e-18,0.1,0.5,0.5,0.5,0.5,0.43,0.43,0.5,0.31,0.43,0.43,0.31,1.0
