,FBtr0333842_FBgn0036279,FBtr0333838_FBgn0036279,FBtr0075987_FBgn0036279,FBtr0333840_FBgn0036279,FBtr0333839_FBgn0036279,FBtr0333841_FBgn0036279,Y37A1C.1a.1_WBGene00012543,Y37A1C.1b.1_WBGene00012543,Y37A1C.1c.1_WBGene00012543,Y37A1C.1d.1_WBGene00012543,Y37A1C.1e.1_WBGene00012543,Y37A1C.1f.1_WBGene00012543,Y37A1C.1g.1_WBGene00012543,Y37A1C.1h.1_WBGene00012543
FBtr0333842_FBgn0036279,1.0,0.94,0.97,0.9,0.94,0.94,0.14,0.17,0.09,0.13,0.16,0.1,0.1,0.1
FBtr0333838_FBgn0036279,0.94,1.0,0.94,0.93,0.97,0.97,0.13,0.16,0.08,0.13,0.16,0.09,0.1,0.09
FBtr0075987_FBgn0036279,0.97,0.94,1.0,0.9,0.94,0.94,0.14,0.17,0.09,0.13,0.16,0.1,0.1,0.1
FBtr0333840_FBgn0036279,0.9,0.93,0.9,1.0,0.93,0.93,0.13,0.16,0.08,0.12,0.16,0.09,0.09,0.09
FBtr0333839_FBgn0036279,0.94,0.97,0.94,0.93,1.0,0.97,0.13,0.16,0.08,0.13,0.16,0.09,0.1,0.09
FBtr0333841_FBgn0036279,0.94,0.97,0.94,0.93,0.97,1.0,0.13,0.16,0.08,0.13,0.16,0.09,0.1,0.09
Y37A1C.1a.1_WBGene00012543,0.14,0.13,0.14,0.13,0.13,0.13,1.0,0.39,0.77,0.52,0.32,0.71,0.78,0.69
Y37A1C.1b.1_WBGene00012543,0.17,0.16,0.17,0.16,0.16,0.16,0.39,1.0,0.32,0.23,0.3,0.28,0.31,0.27
Y37A1C.1c.1_WBGene00012543,0.09,0.08,0.09,0.08,0.08,0.08,0.77,0.32,1.0,0.72,0.5,0.92,0.95,0.89
Y37A1C.1d.1_WBGene00012543,0.13,0.13,0.13,0.12,0.13,0.13,0.52,0.23,0.72,1.0,0.67,0.73,0.7,0.71
Y37A1C.1e.1_WBGene00012543,0.16,0.16,0.16,0.16,0.16,0.16,0.32,0.3,0.5,0.67,1.0,0.51,0.49,0.51
Y37A1C.1f.1_WBGene00012543,0.1,0.09,0.1,0.09,0.09,0.09,0.71,0.28,0.92,0.73,0.51,1.0,0.89,0.94
Y37A1C.1g.1_WBGene00012543,0.1,0.1,0.1,0.09,0.1,0.1,0.78,0.31,0.95,0.7,0.49,0.89,1.0,0.86
Y37A1C.1h.1_WBGene00012543,0.1,0.09,0.1,0.09,0.09,0.09,0.69,0.27,0.89,0.71,0.51,0.94,0.86,1.0
