,ENSMICT00000044649_ENSMICG00000027228,ENSMICT00000046466_ENSMICG00000027228,ENSPSMT00000021245_ENSPSMG00000012991,ENSPPAT00000037604_ENSPPAG00000030623,ENSPTRT00000016093_ENSPTRG00000008741,ENST00000649935_ENSG00000184619,ENST00000396267_ENSG00000184619,ENST00000643221_ENSG00000184619,ENST00000647210_ENSG00000184619,ENST00000331336_ENSG00000184619,ENSGGOT00000045859_ENSGGOG00000025913,ENSPPYT00000009316_ENSPPYG00000007961,ENSNLET00000012755_ENSNLEG00000009979,ENSRROT00000048713_ENSRROG00000036048,ENSRBIT00000012227_ENSRBIG00000011287,ENSPTET00000008211_ENSPTEG00000006176,ENSCATT00000048451_ENSCATG00000035639,ENSMLET00000056179_ENSMLEG00000040515,ENSTGET00000039319_ENSTGEG00000026466,ENSPANT00000022957_ENSPANG00000023804,ENSMFAT00000027378_ENSMFAG00000037296,ENSMMUT00000042237_ENSMMUG00000008754,ENSMMUT00000092152_ENSMMUG00000008754,ENSCSAT00000008534_ENSCSAG00000010451,ENSCCAT00000057096_ENSCCAG00000037461
ENSMICT00000044649_ENSMICG00000027228,1.0,0.8,0.67,0.68,0.68,0.69,0.71,0.64,0.69,0.64,0.68,0.59,0.68,0.71,0.71,0.7,0.64,0.64,0.63,0.64,0.64,0.7,0.7,0.64,0.7
ENSMICT00000046466_ENSMICG00000027228,0.8,1.0,0.69,0.69,0.69,0.69,0.72,0.64,0.69,0.64,0.69,0.6,0.69,0.71,0.71,0.71,0.64,0.64,0.64,0.64,0.64,0.71,0.71,0.64,0.7
ENSPSMT00000021245_ENSPSMG00000012991,0.67,0.69,1.0,0.67,0.67,0.67,0.68,0.64,0.67,0.64,0.67,0.6,0.66,0.65,0.65,0.65,0.63,0.63,0.63,0.63,0.63,0.65,0.65,0.63,0.65
ENSPPAT00000037604_ENSPPAG00000030623,0.68,0.69,0.67,1.0,0.97,0.86,0.72,0.81,0.86,0.81,0.96,0.75,0.95,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.79,0.82
ENSPTRT00000016093_ENSPTRG00000008741,0.68,0.69,0.67,0.97,1.0,0.86,0.72,0.81,0.86,0.81,0.96,0.75,0.95,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.79,0.82
ENST00000649935_ENSG00000184619,0.69,0.69,0.67,0.86,0.86,1.0,0.73,0.85,0.9,0.85,0.86,0.78,0.85,0.86,0.86,0.86,0.82,0.82,0.82,0.82,0.82,0.86,0.86,0.82,0.85
ENST00000396267_ENSG00000184619,0.71,0.72,0.68,0.72,0.72,0.73,1.0,0.67,0.73,0.67,0.72,0.61,0.71,0.72,0.72,0.72,0.65,0.65,0.65,0.65,0.65,0.72,0.72,0.65,0.72
ENST00000643221_ENSG00000184619,0.64,0.64,0.64,0.81,0.81,0.85,0.67,1.0,0.85,0.9,0.81,0.75,0.8,0.81,0.81,0.81,0.87,0.87,0.87,0.87,0.87,0.81,0.81,0.87,0.8
ENST00000647210_ENSG00000184619,0.69,0.69,0.67,0.86,0.86,0.9,0.73,0.85,1.0,0.85,0.86,0.78,0.85,0.86,0.86,0.86,0.82,0.82,0.82,0.82,0.82,0.86,0.86,0.82,0.85
ENST00000331336_ENSG00000184619,0.64,0.64,0.64,0.81,0.81,0.85,0.67,0.9,0.85,1.0,0.81,0.75,0.8,0.81,0.81,0.81,0.87,0.87,0.87,0.87,0.87,0.81,0.81,0.87,0.8
