,ENSAOCT00000021805_ENSAOCG00000018259,ENSAOCT00000027885_ENSAOCG00000023525,ENSAPET00000007619_ENSAPEG00000005355,ENSAPOT00000025750_ENSAPOG00000019816,ENSPFOT00000018002_ENSPFOG00000017899,ENSPLAT00000002401_ENSPLAG00000011351,ENSPMET00000005883_ENSPMEG00000007898,ENSXMAT00000018024_ENSXMAG00000017963,ENSFHET00000007348_ENSFHEG00000006302,ENSCVAT00000008028_ENSCVAG00000005938,ENSKMAT00000007097_ENSKMAG00000005288
ENSAOCT00000021805_ENSAOCG00000018259,1.0,0.97,1.0,0.99,0.94,0.91,0.92,0.94,0.9,0.9,0.93
ENSAOCT00000027885_ENSAOCG00000023525,0.97,1.0,0.97,0.96,0.92,0.94,0.95,0.92,0.92,0.88,0.91
ENSAPET00000007619_ENSAPEG00000005355,1.0,0.97,1.0,0.99,0.94,0.91,0.92,0.94,0.9,0.9,0.94
ENSAPOT00000025750_ENSAPOG00000019816,0.99,0.96,0.99,1.0,0.94,0.91,0.91,0.94,0.9,0.9,0.93
ENSPFOT00000018002_ENSPFOG00000017899,0.94,0.92,0.94,0.94,1.0,0.97,0.97,0.99,0.93,0.92,0.93
ENSPLAT00000002401_ENSPLAG00000011351,0.91,0.94,0.91,0.91,0.97,1.0,0.99,0.96,0.95,0.89,0.9
ENSPMET00000005883_ENSPMEG00000007898,0.92,0.95,0.92,0.91,0.97,0.99,1.0,0.96,0.95,0.9,0.9
ENSXMAT00000018024_ENSXMAG00000017963,0.94,0.92,0.94,0.94,0.99,0.96,0.96,1.0,0.93,0.92,0.93
ENSFHET00000007348_ENSFHEG00000006302,0.9,0.92,0.9,0.9,0.93,0.95,0.95,0.93,1.0,0.91,0.9
ENSCVAT00000008028_ENSCVAG00000005938,0.9,0.88,0.9,0.9,0.92,0.89,0.9,0.92,0.91,1.0,0.9
ENSKMAT00000007097_ENSKMAG00000005288,0.93,0.91,0.94,0.93,0.93,0.9,0.9,0.93,0.9,0.9,1.0
