,ENSCINT00000024898_ENSCING00000013420,ENSCSAVT00000004011_ENSCSAVG00000002347,ENSCSAVT00000004012_ENSCSAVG00000002347,ENSCINT00000028767_ENSCING00000016466,ENSCSAVT00000017634_ENSCSAVG00000010273,ENSSFOT00015019182_ENSSFOG00015012200,ENSPKIT00000010778_ENSPKIG00000011008,ENSSFOT00015018134_ENSSFOG00015011538,ENSSFOT00015018148_ENSSFOG00015011538,ENSPKIT00000007065_ENSPKIG00000008848,ENSCHAT00000032120_ENSCHAG00000014159,ENSDCDT00000039945_ENSDCDG00000021522,ENSDCDT00000039946_ENSDCDG00000021522,ENSEEET00000050899_ENSEEEG00000023673,ENSIPUT00000018117_ENSIPUG00000011801,ENSAMXT00000002123_ENSAMXG00000002077
ENSCINT00000024898_ENSCING00000013420,1.0,0.82,0.8,0.67,0.62,0.61,0.61,0.61,0.61,0.61,0.6,0.61,0.6,0.6,0.61,0.6
ENSCSAVT00000004011_ENSCSAVG00000002347,0.82,1.0,0.84,0.69,0.61,0.62,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.61
ENSCSAVT00000004012_ENSCSAVG00000002347,0.8,0.84,1.0,0.67,0.63,0.62,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.62
ENSCINT00000028767_ENSCING00000016466,0.67,0.69,0.67,1.0,0.67,0.59,0.59,0.59,0.59,0.59,0.58,0.59,0.58,0.58,0.59,0.59
ENSCSAVT00000017634_ENSCSAVG00000010273,0.62,0.61,0.63,0.67,1.0,0.59,0.58,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58
ENSSFOT00015019182_ENSSFOG00015012200,0.61,0.62,0.62,0.59,0.59,1.0,0.91,0.9,0.9,0.87,0.85,0.9,0.85,0.86,0.9,0.9
ENSPKIT00000010778_ENSPKIG00000011008,0.61,0.62,0.62,0.59,0.58,0.91,1.0,0.9,0.9,0.87,0.85,0.9,0.85,0.87,0.9,0.9
ENSSFOT00015018134_ENSSFOG00015011538,0.61,0.62,0.62,0.59,0.59,0.9,0.9,1.0,0.92,0.87,0.85,0.9,0.85,0.86,0.9,0.9
ENSSFOT00015018148_ENSSFOG00015011538,0.61,0.62,0.62,0.59,0.59,0.9,0.9,0.92,1.0,0.87,0.85,0.9,0.85,0.86,0.9,0.9
ENSPKIT00000007065_ENSPKIG00000008848,0.61,0.62,0.62,0.59,0.59,0.87,0.87,0.87,0.87,1.0,0.82,0.87,0.81,0.84,0.87,0.87
ENSCHAT00000032120_ENSCHAG00000014159,0.6,0.61,0.61,0.58,0.58,0.85,0.85,0.85,0.85,0.82,1.0,0.85,0.82,0.82,0.85,0.85
ENSDCDT00000039945_ENSDCDG00000021522,0.61,0.62,0.62,0.59,0.58,0.9,0.9,0.9,0.9,0.87,0.85,1.0,0.87,0.87,0.9,0.9
ENSDCDT00000039946_ENSDCDG00000021522,0.6,0.61,0.61,0.58,0.58,0.85,0.85,0.85,0.85,0.81,0.82,0.87,1.0,0.82,0.85,0.84
ENSEEET00000050899_ENSEEEG00000023673,0.6,0.61,0.61,0.58,0.58,0.86,0.87,0.86,0.86,0.84,0.82,0.87,0.82,1.0,0.87,0.87
ENSIPUT00000018117_ENSIPUG00000011801,0.61,0.62,0.62,0.59,0.58,0.9,0.9,0.9,0.9,0.87,0.85,0.9,0.85,0.87,1.0,0.91
ENSAMXT00000002123_ENSAMXG00000002077,0.6,0.61,0.62,0.59,0.58,0.9,0.9,0.9,0.9,0.87,0.85,0.9,0.84,0.87,0.91,1.0
